candidate_id,route,route_name,top_pair_count,bottom_pair_count,top_termination_nm,bottom_termination_nm,cavity_thickness_nm,mdc_m,mdc_sio2_nm,mdc_tio2_nm,cap_thickness_nm,target_wavelength_nm,te_tm_angle_grid_deg
F0_0035,A,high_top_DBR_RCLED,5,10,120,60,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0036,A,high_top_DBR_RCLED,5,10,120,120,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0037,A,high_top_DBR_RCLED,5,10,0,0,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0038,A,high_top_DBR_RCLED,5,10,0,60,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0039,A,high_top_DBR_RCLED,5,10,0,120,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0040,A,high_top_DBR_RCLED,5,10,40,0,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0041,A,high_top_DBR_RCLED,5,10,40,60,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0042,A,high_top_DBR_RCLED,5,10,40,120,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0043,A,high_top_DBR_RCLED,5,10,80,0,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0044,A,high_top_DBR_RCLED,5,10,80,60,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0045,A,high_top_DBR_RCLED,5,10,80,120,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0046,A,high_top_DBR_RCLED,5,10,120,0,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0047,A,high_top_DBR_RCLED,5,10,120,60,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0048,A,high_top_DBR_RCLED,5,10,120,120,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0049,A,high_top_DBR_RCLED,6,10,0,0,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0050,A,high_top_DBR_RCLED,6,10,0,60,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0051,A,high_top_DBR_RCLED,6,10,0,120,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0052,A,high_top_DBR_RCLED,6,10,40,0,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0053,A,high_top_DBR_RCLED,6,10,40,60,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0054,A,high_top_DBR_RCLED,6,10,40,120,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0055,A,high_top_DBR_RCLED,6,10,80,0,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0056,A,high_top_DBR_RCLED,6,10,80,60,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0057,A,high_top_DBR_RCLED,6,10,80,120,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0058,A,high_top_DBR_RCLED,6,10,120,0,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0059,A,high_top_DBR_RCLED,6,10,120,60,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0060,A,high_top_DBR_RCLED,6,10,120,120,205,n/a,n/a,n/a,120,453,0:0.5:60
F0_0061,A,high_top_DBR_RCLED,6,10,0,0,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0062,A,high_top_DBR_RCLED,6,10,0,60,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0063,A,high_top_DBR_RCLED,6,10,0,120,230,n/a,n/a,n/a,0,453,0:0.5:60
F0_0064,A,high_top_DBR_RCLED,6,10,40,0,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0065,A,high_top_DBR_RCLED,6,10,40,60,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0066,A,high_top_DBR_RCLED,6,10,40,120,230,n/a,n/a,n/a,40,453,0:0.5:60
F0_0067,A,high_top_DBR_RCLED,6,10,80,0,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0068,A,high_top_DBR_RCLED,6,10,80,60,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0069,A,high_top_DBR_RCLED,6,10,80,120,230,n/a,n/a,n/a,80,453,0:0.5:60
F0_0070,A,high_top_DBR_RCLED,6,10,120,0,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0071,A,high_top_DBR_RCLED,6,10,120,60,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0072,A,high_top_DBR_RCLED,6,10,120,120,230,n/a,n/a,n/a,120,453,0:0.5:60
F0_0073,A,high_top_DBR_RCLED,6,10,0,0,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0074,A,high_top_DBR_RCLED,6,10,0,60,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0075,A,high_top_DBR_RCLED,6,10,0,120,255,n/a,n/a,n/a,0,453,0:0.5:60
F0_0076,A,high_top_DBR_RCLED,6,10,40,0,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0077,A,high_top_DBR_RCLED,6,10,40,60,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0078,A,high_top_DBR_RCLED,6,10,40,120,255,n/a,n/a,n/a,40,453,0:0.5:60
F0_0079,A,high_top_DBR_RCLED,6,10,80,0,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0080,A,high_top_DBR_RCLED,6,10,80,60,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0081,A,high_top_DBR_RCLED,6,10,80,120,255,n/a,n/a,n/a,80,453,0:0.5:60
F0_0082,A,high_top_DBR_RCLED,6,10,120,0,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0083,A,high_top_DBR_RCLED,6,10,120,60,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0084,A,high_top_DBR_RCLED,6,10,120,120,255,n/a,n/a,n/a,120,453,0:0.5:60
F0_0085,A,high_top_DBR_RCLED,6,10,0,0,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0086,A,high_top_DBR_RCLED,6,10,0,60,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0087,A,high_top_DBR_RCLED,6,10,0,120,280,n/a,n/a,n/a,0,453,0:0.5:60
F0_0088,A,high_top_DBR_RCLED,6,10,40,0,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0089,A,high_top_DBR_RCLED,6,10,40,60,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0090,A,high_top_DBR_RCLED,6,10,40,120,280,n/a,n/a,n/a,40,453,0:0.5:60
F0_0091,A,high_top_DBR_RCLED,6,10,80,0,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0092,A,high_top_DBR_RCLED,6,10,80,60,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0093,A,high_top_DBR_RCLED,6,10,80,120,280,n/a,n/a,n/a,80,453,0:0.5:60
F0_0094,A,high_top_DBR_RCLED,6,10,120,0,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0095,A,high_top_DBR_RCLED,6,10,120,60,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0096,A,high_top_DBR_RCLED,6,10,120,120,280,n/a,n/a,n/a,120,453,0:0.5:60
F0_0097,A,high_top_DBR_RCLED,7,10,0,0,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0098,A,high_top_DBR_RCLED,7,10,0,60,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0099,A,high_top_DBR_RCLED,7,10,0,120,205,n/a,n/a,n/a,0,453,0:0.5:60
F0_0100,A,high_top_DBR_RCLED,7,10,40,0,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0101,A,high_top_DBR_RCLED,7,10,40,60,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0102,A,high_top_DBR_RCLED,7,10,40,120,205,n/a,n/a,n/a,40,453,0:0.5:60
F0_0103,A,high_top_DBR_RCLED,7,10,80,0,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0104,A,high_top_DBR_RCLED,7,10,80,60,205,n/a,n/a,n/a,80,453,0:0.5:60
F0_0105,A,high_top_DBR_RCLED,7,10,80,120,205,n/a,n/a,n/a,80,453,0:0.5:60
