candidate_id,wavelength_nm,selected_phase_deg,nearest_bin_deg,phase_err_to_original_240_deg,phase_err_to_reassigned_120_deg,phase_err_to_nearest_bin_deg,selected_Tx,conversion_to_leakage_ratio,y_direct_leakage,matrix_error
LPML1A4_0283_B240_exploration_B240_H650,450,137.350704,120,102.649296,17.350704,17.350704,0.835117,20.629945,0.022615,0.229689
LPML1A4_0283_B240_exploration_B240_H650,450.5,136.894328,120,103.105672,16.894328,16.894328,0.868800,22.907404,0.024012,0.214359
LPML1A4_0283_B240_exploration_B240_H650,451,136.213789,120,103.786211,16.213789,16.213789,0.900698,26.744471,0.020801,0.195414
LPML1A4_0283_B240_exploration_B240_H650,451.5,134.697078,120,105.302922,14.697078,14.697078,0.913453,33.467241,0.017055,0.177221
LPML1A4_0283_B240_exploration_B240_H650,452,132.457755,120,107.542245,12.457755,12.457755,0.917259,40.805510,0.015377,0.161157
LPML1A4_0283_B240_exploration_B240_H650,452.5,130.535108,120,109.464892,10.535108,10.535108,0.935656,47.920876,0.013663,0.146140
LPML1A4_0283_B240_exploration_B240_H650,453,128.783975,120,111.216025,8.783975,8.783975,0.951767,64.037104,0.010123,0.125101
LPML1A4_0283_B240_exploration_B240_H650,453.5,126.073309,120,113.926691,6.073309,6.073309,0.942391,96.098947,0.006973,0.105689
LPML1A4_0283_B240_exploration_B240_H650,454,122.906319,120,117.093681,2.906319,2.906319,0.938297,103.904738,0.006785,0.118100
