template,runtime_fsp,dbr_name,tio2_nm,sio2_nm,status
H1J3,D:\project\worktrees\blue_apcd_rcled_mdc\runtime\r2_4h1j3_rcled_mdc_corrected_derived_fsp_DO_NOT_COMMIT\MDC_blue_oujizi_RCLED_QWexact453_10pair_H1J3.fsp,QWexact453_10pair,44.7,79.4,previous_exact_quarter_wave_reference_not_preferred_unless_requested
H1J4,D:\project\worktrees\blue_apcd_rcled_mdc\runtime\r2_4h1j4_rcled_mdc_integer_dbr_derived_fsp_DO_NOT_COMMIT\MDC_blue_oujizi_RCLED_QWinteger453_10pair_H1J4.fsp,QWinteger453_10pair,45.0,79.0,preferred_integer_dbr_gui_audited_forward_template
