candidate_id,scale_profile,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,top_high_scale_multiplier,top_low_scale_multiplier,bottom_high_scale_multiplier,bottom_low_scale_multiplier,TE_normal_phase_error_deg,TM_normal_phase_error_deg,TE_phase_margin_deg,TM_phase_margin_deg,TE_30_40_risk_deg,TM_30_40_risk_deg,TE_normal_resonance_nm,TM_normal_resonance_nm,TE_normal_offaxis_ratio,TM_normal_offaxis_ratio,TE_top_outcoupling_proxy,TM_top_outcoupling_proxy,worst_pol_normal_phase_error_deg,worst_pol_phase_margin_deg,max_pol_offaxis_30_40_risk_deg,min_pol_normal_window_response,conservative_normal_offaxis_ratio,min_pol_top_outcoupling_proxy,avg_normal_resonance_nm,combined_accept,failure_mode,score
D5_BASE_13461,base,10,12,182.0,0.0,113.0,1.0,1.0,1.0,1.0,1.1020865148970096,1.1020865148971113,138.65381730507588,40.970659726280594,131.99943837294626,9.682026956833303,453.0,453.0,133362492198.47302,133362492198.47276,0.13591762014712339,0.1359176201471236,1.1020865148971113,40.970659726280594,9.682026956833303,0.13336249219847277,133362492198.47276,0.13591762014712339,453.0,True,none,533449968802.7034
D5_BASE_13481,base,10,12,182.0,5.0,108.0,1.0,1.0,1.0,1.0,1.0822071424318596,1.0822071424318596,134.24307062045636,40.931232016885126,130.26486566763145,8.091639552428338,453.0,453.0,122123311926.56564,122123311926.56564,0.12437868894973003,0.12437868894973003,1.0822071424318596,40.931232016885126,8.091639552428338,0.12212331192656564,122123311926.56564,0.12437868894973003,453.0,True,none,488493247715.27594
D5_BASE_13881,base,10,12,183.0,0.0,113.0,1.0,1.0,1.0,1.0,2.9667876572884264,2.966787657288325,137.35278395526413,35.51335592791235,128.83732924235576,12.931574356654894,452.5,452.5,118453489494.71773,118453489494.71902,0.13591762014712339,0.1359176201471236,2.9667876572884264,35.51335592791235,12.931574356654894,0.11845348949471772,118453489494.71773,0.13591762014712339,452.5,True,none,473813957985.1289
D5_BASE_14322,base,10,12,184.0,5.0,113.0,1.0,1.0,1.0,1.0,2.275271555603761,2.275271555603761,138.6639262179504,38.45555542059523,127.09854747721626,12.740531744022622,453.0,453.0,114714038202.57716,114714038202.57716,0.12437868894973003,0.12437868894973003,2.275271555603761,38.45555542059523,12.740531744022622,0.11471403820257717,114714038202.57716,0.12437868894973003,453.0,True,none,458856152817.58826
D5_BASE_08955,base,10,12,171.0,30.0,53.0,1.0,1.0,1.0,1.0,2.6850732402235717,2.6850732402234843,49.45518886004753,36.22393739426878,59.914422196292286,31.83064942141692,452.5,452.5,85386285633.70113,85386285633.70177,0.09556778479646144,0.09556778479646144,2.6850732402235717,36.22393739426878,31.83064942141692,0.08538628563370113,85386285633.70113,0.09556778479646144,452.5,True,none,341545142538.3828
D5_BASE_13901,base,10,12,183.0,5.0,108.0,1.0,1.0,1.0,1.0,5.151081314617296,5.151081314617296,133.19795923484918,33.269755188722655,127.10275653704095,11.34118695224993,452.5,452.5,82166095222.57481,82166095222.57481,0.12437868894973003,0.12437868894973003,5.151081314617296,33.269755188722655,11.34118695224993,0.08216609522257481,82166095222.57481,0.12437868894973003,452.5,True,none,328664380895.4358
D5_BASE_11399,base,10,12,177.0,10.0,93.0,1.0,1.0,1.0,1.0,0.33525443279518813,0.33525443279518813,111.97438653547026,37.198118205868965,128.11375138954904,6.676430796180411,453.0,453.0,114884333708.30397,76041655831.52144,0.11508626856898407,0.1150862685689843,0.33525443279518813,37.198118205868965,6.676430796180411,0.11488433370830396,76041655831.52144,0.11508626856898407,453.0,True,none,304166623334.61176
D5_BASE_08534,base,10,12,170.0,30.0,48.0,1.0,1.0,1.0,1.0,5.652153867568924,5.6521538675688365,45.718599598971984,33.38311225151531,56.17932635559007,32.848137174929654,452.5,452.5,58012955536.47736,58012955536.47826,0.09556778479646144,0.09556778479646144,5.652153867568924,33.38311225151531,32.848137174929654,0.05801295553647736,58012955536.47736,0.09556778479646144,452.5,True,none,232051822147.5865
D5_REFINE_34084,bottom_plus2,10,12,185.0,5.0,113.0,1.0,1.0,1.02,1.02,7.326754132653933,7.326754132653831,55.84980523316928,32.114198472209466,121.1486349431613,21.384232703766727,454.0,454.0,53761636376.659744,53761636376.660995,0.12437868894973003,0.12437868894973003,7.326754132653933,32.114198472209466,21.384232703766727,0.05376163637665975,53761636376.659744,0.12437868894973003,454.0,True,none,215046545509.16867
D5_BASE_07693,base,10,12,168.0,30.0,43.0,1.0,1.0,1.0,1.0,4.895836489148442,4.8958364891484045,41.66350913672472,32.73386601700346,49.26817460978244,30.34933763836677,452.5,452.5,65714315973.44339,52362342703.75149,0.09556778479646144,0.09556778479646144,4.895836489148442,32.73386601700346,30.34933763836677,0.06571431597344339,52362342703.75149,0.09556778479646144,452.5,True,none,209449370817.16022
D5_BASE_09355,base,10,12,172.0,25.0,58.0,1.0,1.0,1.0,1.0,6.7636521632072855,6.763652163207299,61.158380203189694,32.53670266998714,77.30919791262512,27.460011538176214,452.0,452.0,48044121183.36692,48044121183.367004,0.0981911911243506,0.09819119112435104,6.763652163207299,32.53670266998714,27.460011538176214,0.04804412118336692,48044121183.36692,0.0981911911243506,452.0,True,none,192176484735.31018
D5_BASE_14742,base,10,12,185.0,5.0,113.0,1.0,1.0,1.0,1.0,1.7936026165816759,1.7936026165816759,137.45496714154896,35.34462170364039,123.93643834662586,15.990079143844213,453.0,453.0,118281226959.39493,42798956954.002846,0.12437868894973003,0.12437868894973003,1.7936026165816759,35.34462170364039,15.990079143844213,0.11828122695939493,42798956954.002846,0.12437868894973003,453.0,True,none,171195827822.19443
D5_BASE_08114,base,10,12,169.0,30.0,48.0,1.0,1.0,1.0,1.0,1.5832796953834882,1.5832796953834005,46.76371098457919,35.47316576642263,53.06238790623706,29.360431283860986,453.0,453.0,91896912373.67282,41974180051.224724,0.09556778479646144,0.09556778479646144,1.5832796953834882,35.47316576642263,29.360431283860986,0.09189691237367281,41974180051.224724,0.09556778479646144,453.0,True,none,167896720209.0957
D5_BASE_10176,base,10,12,174.0,20.0,68.0,1.0,1.0,1.0,1.0,8.67187388208714,8.671873882087242,75.93411106830153,30.564414666720385,96.8300428338454,18.57622676149315,452.0,452.0,31564197586.17155,31564197586.17055,0.10221161415914048,0.10221161415914004,8.671873882087242,30.564414666720385,18.57622676149315,0.03156419758617055,31564197586.17055,0.10221161415914004,452.0,True,none,126256790346.70834
