candidate_id,score,TE_normal_phase_error_deg,TM_normal_phase_error_deg,TE_phase_margin_deg,TM_phase_margin_deg,TE_30_40_risk_deg,TM_30_40_risk_deg,combined_accept,failure_mode
D5_BASE_13461,533449968802.7034,1.1020865148970096,1.1020865148971113,138.65381730507588,40.970659726280594,131.99943837294626,9.682026956833303,True,none
D5_BASE_13481,488493247715.27594,1.0822071424318596,1.0822071424318596,134.24307062045636,40.931232016885126,130.26486566763145,8.091639552428338,True,none
D5_BASE_13881,473813957985.1289,2.9667876572884264,2.966787657288325,137.35278395526413,35.51335592791235,128.83732924235576,12.931574356654894,True,none
D5_BASE_14322,458856152817.58826,2.275271555603761,2.275271555603761,138.6639262179504,38.45555542059523,127.09854747721626,12.740531744022622,True,none
D5_BASE_08955,341545142538.3828,2.6850732402235717,2.6850732402234843,49.45518886004753,36.22393739426878,59.914422196292286,31.83064942141692,True,none
D5_BASE_13901,328664380895.4358,5.151081314617296,5.151081314617296,133.19795923484918,33.269755188722655,127.10275653704095,11.34118695224993,True,none
D5_BASE_11399,304166623334.61176,0.33525443279518813,0.33525443279518813,111.97438653547026,37.198118205868965,128.11375138954904,6.676430796180411,True,none
D5_BASE_08534,232051822147.5865,5.652153867568924,5.6521538675688365,45.718599598971984,33.38311225151531,56.17932635559007,32.848137174929654,True,none
D5_REFINE_34084,215046545509.16867,7.326754132653933,7.326754132653831,55.84980523316928,32.114198472209466,121.1486349431613,21.384232703766727,True,none
D5_BASE_07693,209449370817.16022,4.895836489148442,4.8958364891484045,41.66350913672472,32.73386601700346,49.26817460978244,30.34933763836677,True,none
D5_BASE_09355,192176484735.31018,6.7636521632072855,6.763652163207299,61.158380203189694,32.53670266998714,77.30919791262512,27.460011538176214,True,none
D5_BASE_14742,171195827822.19443,1.7936026165816759,1.7936026165816759,137.45496714154896,35.34462170364039,123.93643834662586,15.990079143844213,True,none
D5_BASE_08114,167896720209.0957,1.5832796953834882,1.5832796953834005,46.76371098457919,35.47316576642263,53.06238790623706,29.360431283860986,True,none
D5_BASE_10176,126256790346.70834,8.67187388208714,8.671873882087242,75.93411106830153,30.564414666720385,96.8300428338454,18.57622676149315,True,none
D5_BASE_08535,112985424764.55565,1.3838009319618643,1.3838009319619518,47.73269838173101,35.323393747047525,56.797483746939285,28.342943530348144,True,none
D5_BASE_08975,99143213616.29167,3.0567426357415624,3.0567426357414753,36.250074488340914,33.937107180293836,44.45978863399314,30.676923860717817,True,none
D5_BASE_10177,98827571191.7004,2.0013941714267225,2.0013941714267225,81.33593179091628,35.21150079941316,97.25372917257283,15.657392670837137,True,none
D5_BASE_09756,83949042145.72234,4.602999709901806,4.602999709901806,76.97922245390865,32.10782558799379,93.7131043844924,21.82577416131474,True,none
D5_BASE_08935,78179819104.32614,2.6947779910218492,2.6947779910218634,62.2034915887969,33.76092433782276,74.19225946327222,30.709558937997805,True,none
D5_BASE_09356,76381278714.61781,0.10006727489493562,0.10006727489494967,66.13811180583822,36.44541932077307,77.82211160385391,28.36820047745488,True,none
