candidate_id,stack,layer_index,material,thickness_nm
D5_BASE_13461,top,0,TiO2,36.0
D5_BASE_13461,top,1,SiO2,121.0
D5_BASE_13461,top,2,TiO2,37.0
D5_BASE_13461,top,3,SiO2,119.0
D5_BASE_13461,top,4,TiO2,37.0
D5_BASE_13461,top,5,SiO2,117.0
D5_BASE_13461,top,6,TiO2,38.0
D5_BASE_13461,top,7,SiO2,115.0
D5_BASE_13461,top,8,TiO2,39.0
D5_BASE_13461,top,9,SiO2,113.0
D5_BASE_13461,top,10,TiO2,39.0
D5_BASE_13461,top,11,SiO2,111.0
D5_BASE_13461,top,12,TiO2,40.0
D5_BASE_13461,top,13,SiO2,109.0
D5_BASE_13461,top,14,TiO2,41.0
D5_BASE_13461,top,15,SiO2,108.0
D5_BASE_13461,top,16,TiO2,41.0
D5_BASE_13461,top,17,SiO2,106.0
D5_BASE_13461,top,18,TiO2,42.0
D5_BASE_13461,top,19,SiO2,104.0
D5_BASE_13461,bottom,0,SiO2_termination,113.0
D5_BASE_13461,bottom,1,TiO2,47.0
D5_BASE_13461,bottom,2,SiO2,90.0
D5_BASE_13461,bottom,3,TiO2,47.0
D5_BASE_13461,bottom,4,SiO2,90.0
D5_BASE_13461,bottom,5,TiO2,47.0
D5_BASE_13461,bottom,6,SiO2,91.0
D5_BASE_13461,bottom,7,TiO2,47.0
D5_BASE_13461,bottom,8,SiO2,91.0
D5_BASE_13461,bottom,9,TiO2,47.0
D5_BASE_13461,bottom,10,SiO2,91.0
D5_BASE_13461,bottom,11,TiO2,46.0
D5_BASE_13461,bottom,12,SiO2,92.0
D5_BASE_13461,bottom,13,TiO2,46.0
D5_BASE_13461,bottom,14,SiO2,92.0
D5_BASE_13461,bottom,15,TiO2,46.0
D5_BASE_13461,bottom,16,SiO2,93.0
D5_BASE_13461,bottom,17,TiO2,46.0
D5_BASE_13461,bottom,18,SiO2,93.0
D5_BASE_13461,bottom,19,TiO2,45.0
D5_BASE_13461,bottom,20,SiO2,93.0
D5_BASE_13461,bottom,21,TiO2,45.0
D5_BASE_13461,bottom,22,SiO2,94.0
D5_BASE_13461,bottom,23,TiO2,45.0
D5_BASE_13461,bottom,24,SiO2,94.0
