candidate_id,worst_pol_phase_margin_deg,TE_phase_margin_deg,TM_phase_margin_deg,max_pol_offaxis_30_40_risk_deg
D5_BASE_13461,40.970659726280594,138.65381730507588,40.970659726280594,9.682026956833303
D5_BASE_13481,40.931232016885126,134.24307062045636,40.931232016885126,8.091639552428338
D5_BASE_13881,35.51335592791235,137.35278395526413,35.51335592791235,12.931574356654894
D5_BASE_14322,38.45555542059523,138.6639262179504,38.45555542059523,12.740531744022622
D5_BASE_08955,36.22393739426878,49.45518886004753,36.22393739426878,31.83064942141692
D5_BASE_13901,33.269755188722655,133.19795923484918,33.269755188722655,11.34118695224993
D5_BASE_11399,37.198118205868965,111.97438653547026,37.198118205868965,6.676430796180411
D5_BASE_08534,33.38311225151531,45.718599598971984,33.38311225151531,32.848137174929654
D5_REFINE_34084,32.114198472209466,55.84980523316928,32.114198472209466,21.384232703766727
D5_BASE_07693,32.73386601700346,41.66350913672472,32.73386601700346,30.34933763836677
D5_BASE_09355,32.53670266998714,61.158380203189694,32.53670266998714,27.460011538176214
D5_BASE_14742,35.34462170364039,137.45496714154896,35.34462170364039,15.990079143844213
D5_BASE_08114,35.47316576642263,46.76371098457919,35.47316576642263,29.360431283860986
D5_BASE_10176,30.564414666720385,75.93411106830153,30.564414666720385,18.57622676149315
D5_BASE_08535,35.323393747047525,47.73269838173101,35.323393747047525,28.342943530348144
D5_BASE_08975,33.937107180293836,36.250074488340914,33.937107180293836,30.676923860717817
D5_BASE_10177,35.21150079941316,81.33593179091628,35.21150079941316,15.657392670837137
D5_BASE_09756,32.10782558799379,76.97922245390865,32.10782558799379,21.82577416131474
D5_BASE_08935,33.76092433782276,62.2034915887969,33.76092433782276,30.709558937997805
D5_BASE_09356,36.44541932077307,66.13811180583822,36.44541932077307,28.36820047745488
