candidate_id,TE_top_outcoupling_proxy,TM_top_outcoupling_proxy,min_pol_top_outcoupling_proxy,conservative_normal_offaxis_ratio
D5_BASE_13461,0.13591762014712339,0.1359176201471236,0.13591762014712339,133362492198.47276
D5_BASE_13481,0.12437868894973003,0.12437868894973003,0.12437868894973003,122123311926.56564
D5_BASE_13881,0.13591762014712339,0.1359176201471236,0.13591762014712339,118453489494.71773
D5_BASE_14322,0.12437868894973003,0.12437868894973003,0.12437868894973003,114714038202.57716
D5_BASE_08955,0.09556778479646144,0.09556778479646144,0.09556778479646144,85386285633.70113
D5_BASE_13901,0.12437868894973003,0.12437868894973003,0.12437868894973003,82166095222.57481
D5_BASE_11399,0.11508626856898407,0.1150862685689843,0.11508626856898407,76041655831.52144
D5_BASE_08534,0.09556778479646144,0.09556778479646144,0.09556778479646144,58012955536.47736
D5_REFINE_34084,0.12437868894973003,0.12437868894973003,0.12437868894973003,53761636376.659744
D5_BASE_07693,0.09556778479646144,0.09556778479646144,0.09556778479646144,52362342703.75149
D5_BASE_09355,0.0981911911243506,0.09819119112435104,0.0981911911243506,48044121183.36692
D5_BASE_14742,0.12437868894973003,0.12437868894973003,0.12437868894973003,42798956954.002846
D5_BASE_08114,0.09556778479646144,0.09556778479646144,0.09556778479646144,41974180051.224724
D5_BASE_10176,0.10221161415914048,0.10221161415914004,0.10221161415914004,31564197586.17055
D5_BASE_08535,0.09556778479646144,0.09556778479646144,0.09556778479646144,28246356190.04347
D5_BASE_08975,0.09424279040422001,0.09424279040422023,0.09424279040422001,24785803403.311512
D5_BASE_10177,0.10221161415914048,0.10221161415914004,0.10221161415914004,24706892796.422493
D5_BASE_09756,0.10221161415914048,0.10221161415914004,0.10221161415914004,20987260535.580914
D5_BASE_08935,0.0981911911243506,0.09819119112435104,0.0981911911243506,19544954775.297737
D5_BASE_09356,0.0981911911243506,0.09819119112435104,0.0981911911243506,19095319677.375534
