candidate_id,score,failure_mode,worst_pol_normal_phase_error_deg,worst_pol_phase_margin_deg,conservative_normal_offaxis_ratio
D5_BASE_13061,-998.5791975713843,30_40_phase_risk_too_close,2.9866670297535762,42.080242861578235,108196935479.43045
D5_BASE_12240,-998.579403480338,30_40_phase_risk_too_close,0.04208979826071889,42.05965196620513,115083082969.20334
D5_BASE_12640,-998.599759414603,30_40_phase_risk_too_close,3.236976616232344,40.02405853969577,105595085326.13791
D5_BASE_12620,-998.6058188595563,30_40_phase_risk_too_close,2.255392183138611,39.41811404437206,125532892179.08179
D5_BASE_12220,-998.6060571350963,30_40_phase_risk_too_close,0.8318975559531943,39.39428649036916,123040985869.34926
D5_BASE_13041,-998.6174111086101,30_40_phase_risk_too_close,5.170960687082547,38.25888913898491,89501436914.74168
D5_BASE_13902,-998.6202071609562,30_40_phase_risk_too_close,6.344145727789196,37.979283904386726,66317443628.35716
D5_BASE_12200,-998.6334629236429,30_40_phase_risk_too_close,1.813481989046927,36.65370763570879,129109743311.39328
D5_BASE_13482,-998.6358976641009,normal_phase_error_gt10deg;30_40_phase_risk_too_close,10.413019899974634,36.41023358991406,22853327691.01777
D5_BASE_11819,-998.6366443936356,30_40_phase_risk_too_close,4.404128604980625,36.33556063643828,84996838279.20909
D5_BASE_11419,-998.6378773570407,30_40_phase_risk_too_close,0.33493434486222173,36.21226429593162,18642174669.839306
D5_BASE_12660,-998.6411877429457,30_40_phase_risk_too_close,4.026784373924717,35.881225705426466,89328693534.26358
D5_BASE_13081,-998.6456379231322,30_40_phase_risk_too_close,1.2112294461012951,35.43620768678223,22157488231.143955
D5_BASE_11379,-998.6482049656668,30_40_phase_risk_too_close,0.3372420918874838,35.17950343331902,7610030319.637026
D5_BASE_10998,-998.650396512461,30_40_phase_risk_too_close,3.6780456939343646,34.96034875389854,87242607993.6907
D5_BASE_12641,-998.6519494791336,30_40_phase_risk_too_close,7.055541201939012,34.80505208663806,57140206836.72138
D5_BASE_11820,-998.6521553880873,30_40_phase_risk_too_close,4.1109639704461545,34.78446119126495,88377651061.04106
D5_BASE_11799,-998.6568305413612,30_40_phase_risk_too_close,4.40611626407292,34.31694586388832,91834613883.76758
D5_BASE_12661,-998.6591005824337,30_40_phase_risk_too_close,5.280103618286732,34.08994175662914,74445321134.80472
D5_BASE_13040,-998.6656151058701,30_40_phase_risk_too_close,6.324266355324047,33.43848941299468,72755614505.9462
D5_BASE_11359,-998.6671482370501,30_40_phase_risk_too_close,0.34128748475355675,33.28517629499281,987315681.3992007
D5_BASE_10558,-998.6697259256929,30_40_phase_risk_too_close,0.08880483847133157,33.02740743071038,580894163.5126779
D5_BASE_10999,-998.6725261853433,30_40_phase_risk_too_close,3.733939827323215,32.74738146567025,17327327472.82708
D5_BASE_11779,-998.6757738127444,30_40_phase_risk_too_close,4.410161656938993,32.42261872556211,24903818887.85223
D5_BASE_12219,-998.6760172068441,30_40_phase_risk_too_close,8.474990436258356,32.398279315592866,40490120140.605675
D5_BASE_13060,-998.6763741828846,30_40_phase_risk_too_close,7.3058507884177795,32.36258171153331,54019190278.3164
D5_BASE_12239,-998.6778537612468,30_40_phase_risk_too_close,8.47300277716606,32.214623875321045,37484799631.236
D5_BASE_10978,-998.6783515013872,30_40_phase_risk_too_close,4.157679010656767,32.1648498612797,14376847003.64417
D5_BASE_11800,-998.6788090428457,30_40_phase_risk_too_close,4.900771728138631,32.119095715428976,28777247539.08789
D5_BASE_12199,-998.6843993884387,30_40_phase_risk_too_close,8.47903582912443,31.56006115613143,44199101408.3545
D5_BASE_11398,-998.6869770770816,30_40_phase_risk_too_close,8.226553182842203,31.30229229184901,39974499517.58735
D5_BASE_10577,-998.6890573672302,30_40_phase_risk_too_close,6.666985636609624,31.09426327696966,49565160307.13937
D5_BASE_13501,-998.6893281583523,30_40_phase_risk_too_close,2.857644726084141,31.067184164767145,957286845.5265474
D5_BASE_12241,-998.689504307104,30_40_phase_risk_too_close,9.348977790472167,31.04956928959994,29370891728.18771
D5_BASE_12621,-998.6901630163595,30_40_phase_risk_too_close,9.239834859267985,30.983698364044734,35804430830.12621
D5_BASE_10979,-998.6940656370348,30_40_phase_risk_too_close,3.7336197393902477,30.593436296519172,1673828945.7352254
D5_BASE_10538,-998.6976620992353,30_40_phase_risk_too_close,0.714586322943289,30.23379007646152,65804584.353422515
D5_BASE_12260,-998.7024792203332,30_40_phase_risk_too_close,0.5813839391860782,29.752077966674307,28855946.889647596
D5_BASE_11418,-998.7027881388476,30_40_phase_risk_too_close,7.746919866119802,29.72118611524436,20256474112.14097
D5_BASE_11840,-998.7043142008511,30_40_phase_risk_too_close,3.4874902329993582,29.568579914893377,361526692.53154385
D5_BASE_11839,-998.7057921811829,30_40_phase_risk_too_close,4.403808517047658,29.42078188171384,702292760.0391055
D5_BASE_11780,-998.7062148313923,30_40_phase_risk_too_close,5.882356161232363,29.378516860768617,3345502114.1038265
D5_BASE_10958,-998.7062876749297,30_40_phase_risk_too_close,4.7834604951287245,29.37123250703084,1210420537.73492
D5_BASE_13062,-998.7086495718503,normal_phase_error_gt10deg;30_40_phase_risk_too_close,14.48189407216007,29.13504281497389,4694416065.496324
D5_BASE_13080,-998.7091025670879,30_40_phase_risk_too_close,8.095658546110153,29.0897432912087,14686533552.331602
D5_BASE_10137,-998.7136494736628,30_40_phase_risk_too_close,3.4319161875434743,28.635052633722854,166005138.41191995
D5_BASE_10959,-998.7142120315784,30_40_phase_risk_too_close,3.7316320802980547,28.5787968421538,205073239.1092418
D5_BASE_11378,-998.714913250624,30_40_phase_risk_too_close,8.85233466731416,28.50867493760015,18244143420.255836
