batch_id,candidate_id,target_bin_deg,wavelength_nm,txx_re,txx_im,txy_re,txy_im,tyx_re,tyx_im,tyy_re,tyy_im,selected_Tx,leakage_xin_to_yout,leakage_yin_to_xout,y_direct_leakage,conversion_to_leakage_ratio,selected_phase_deg,nearest_bin_deg,phase_error_deg,matrix_error,spectral_pass,result_status,error_message,preliminary_status
LPML1B2A_BATCH_04,LPML1A4_0270_B240_exploration_B240_H600,240,450,-0.452822,0.316911,-0.433262,0.595562,-0.361257,0.703418,0.202933,-0.634861,0.305480,0.625304,0.542410,0.444230,0.309617,145.013416,120,94.986584,2.297118,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0270_B240_exploration_B240_H600,240,450.5,-0.416706,0.344531,-0.387397,0.628737,-0.318690,0.725887,0.156376,-0.641038,0.292345,0.628476,0.545387,0.435384,0.298077,140.416170,120,99.583830,2.346191,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0270_B240_exploration_B240_H600,240,451,-0.363986,0.411163,-0.351604,0.645073,-0.265597,0.748357,0.091131,-0.664641,0.301541,0.630580,0.539745,0.450052,0.304649,131.517123,120,108.482877,2.318114,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0270_B240_exploration_B240_H600,240,451.5,-0.339685,0.470140,-0.303590,0.646037,-0.212567,0.755403,0.053333,-0.694510,0.336418,0.615819,0.509531,0.485188,0.338204,125.848796,120,114.151204,2.187993,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0270_B240_exploration_B240_H600,240,452,-0.321981,0.482784,-0.258338,0.655070,-0.177863,0.759595,0.032278,-0.699355,0.336753,0.608619,0.495855,0.490140,0.341536,123.700321,120,116.299679,2.176068,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0270_B240_exploration_B240_H600,240,452.5,-0.250152,0.506092,-0.221852,0.663631,-0.132296,0.769827,-0.010869,-0.701541,0.318705,0.610136,0.489625,0.492278,0.324579,116.302334,120,123.697666,2.235025,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0270_B240_exploration_B240_H600,240,453,-0.161500,0.575438,-0.172974,0.660958,-0.064374,0.769850,-0.054495,-0.721623,0.357211,0.596814,0.466785,0.523710,0.360638,105.677122,120,134.322878,2.107990,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0270_B240_exploration_B240_H600,240,453.5,-0.131708,0.621073,-0.121086,0.661617,-0.018916,0.764658,-0.071985,-0.731923,0.403079,0.585059,0.452399,0.540893,0.405801,101.973083,120,138.026917,1.978822,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0270_B240_exploration_B240_H600,240,454,-0.060654,0.611732,-0.081458,0.653317,0.022547,0.760526,-0.096421,-0.734420,0.377894,0.578908,0.433459,0.548670,0.384771,95.662440,120,144.337560,2.032457,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0279_B240_exploration_B240_H500,240,450,0.285581,-0.118310,-0.126563,0.110379,0.010469,-0.051463,-0.000860,0.268198,0.095554,0.002758,0.028202,0.071931,0.954269,337.496774,0,97.496774,1.037683,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0279_B240_exploration_B240_H500,240,450.5,0.350848,-0.606403,0.005923,0.267035,-0.035289,-0.103511,0.008937,0.229250,0.490819,0.011960,0.071343,0.052636,3.958906,300.052464,300,60.052464,0.526272,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0279_B240_exploration_B240_H500,240,451,-0.132871,-0.926971,0.108479,0.220753,-0.157456,-0.040404,-0.008974,0.191622,0.876930,0.026425,0.060500,0.036799,9.012729,261.842825,240,21.842825,0.375616,loose,ok,,usable
LPML1B2A_BATCH_04,LPML1A4_0279_B240_exploration_B240_H500,240,451.5,-0.264514,-0.793982,0.104928,0.211380,-0.164706,0.098245,-0.036887,0.149857,0.700375,0.036780,0.055691,0.023818,8.808752,251.574607,240,11.574607,0.407478,strict,ok,,strong
LPML1B2A_BATCH_04,LPML1A4_0279_B240_exploration_B240_H500,240,452,-0.277089,-0.673642,0.133369,0.230279,-0.104678,0.231147,-0.053333,0.123173,0.530571,0.064387,0.070816,0.018016,5.972769,247.641174,240,7.641174,0.537382,loose,ok,,usable
LPML1B2A_BATCH_04,LPML1A4_0279_B240_exploration_B240_H500,240,452.5,-0.297648,-0.538597,0.188200,0.252399,0.003604,0.355836,-0.065990,0.111434,0.378681,0.126632,0.099124,0.016772,3.267402,241.073358,240,1.073358,0.800285,loose,ok,,usable
LPML1B2A_BATCH_04,LPML1A4_0279_B240_exploration_B240_H500,240,453,-0.297459,-0.387558,0.256404,0.262752,0.123295,0.427984,-0.087278,0.106473,0.238683,0.198372,0.134782,0.018954,1.552552,232.493014,240,7.506986,1.214582,fail,ok,,weak
LPML1B2A_BATCH_04,LPML1A4_0279_B240_exploration_B240_H500,240,453.5,-0.258270,-0.241361,0.331512,0.257224,0.250052,0.444911,-0.117324,0.097317,0.124959,0.260472,0.176065,0.023236,0.626986,223.061713,240,16.938287,1.918176,fail,ok,,weak
LPML1B2A_BATCH_04,LPML1A4_0279_B240_exploration_B240_H500,240,454,-0.190404,-0.087134,0.409327,0.235859,0.375016,0.418845,-0.144961,0.090443,0.043846,0.316069,0.223178,0.029194,0.173736,204.590104,180,35.409896,3.600619,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0283_B240_exploration_B240_H650,240,450,-0.672148,0.619140,0.050337,-0.123824,0.017010,0.057341,0.104284,-0.108349,0.835117,0.003577,0.017866,0.022615,20.629945,137.350704,120,102.649296,0.229689,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0283_B240_exploration_B240_H650,240,450.5,-0.680517,0.636943,0.037063,-0.111988,0.010702,0.043359,0.103681,-0.115161,0.868800,0.001995,0.013915,0.024012,22.907404,136.894328,120,103.105672,0.214359,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0283_B240_exploration_B240_H650,240,451,-0.685145,0.656714,0.028770,-0.109767,0.017824,0.019976,0.087889,-0.114354,0.900698,0.000717,0.012877,0.020801,26.744471,136.213789,120,103.786211,0.195414,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0283_B240_exploration_B240_H650,240,451.5,-0.672233,0.679379,0.019845,-0.099224,0.031495,0.020082,0.056880,-0.117556,0.913453,0.001395,0.010239,0.017055,33.467241,134.697078,120,105.302922,0.177221,fail,ok,,phase_wrong
LPML1B2A_BATCH_04,LPML1A4_0283_B240_exploration_B240_H650,240,452,-0.646517,0.706594,0.007495,-0.083937,0.017092,0.032431,0.035314,-0.118870,0.917259,0.001344,0.007102,0.015377,40.805510,132.457755,120,107.542245,0.161157,fail,ok,,phase_wrong
