candidate_id,target_bin,nearest_bin_mode,Tx_mean,ratio_median,phase_err_at_452nm,anomaly_count,preliminary_status,runtime_sec
LPML1A4_0279_B240_exploration_B240_H500,240,240,0.386713,3.267402,7.641174,0,usable,339.862126
LPML1A4_0511_global_escape_lhs_B120_H500,120,120,0.748726,0.994878,19.728549,0,weak,415.890151
LPML1A4_0283_B240_exploration_B240_H650,240,120,0.911493,40.805510,107.542245,0,phase_wrong,426.247845
LPML1A4_0524_global_escape_lhs_B180_H600,180,60,0.813230,1.685024,157.404876,0,phase_wrong,389.898956
LPML1A4_0536_global_escape_lhs_B180_H500,180,300,0.507860,0.525229,138.254233,0,phase_wrong,404.686936
LPML1A4_0270_B240_exploration_B240_H600,240,120,0.336603,0.338204,116.299679,0,phase_wrong,381.553898
