mdc_geometry_hash,test_geometry_id,source_geometry_id,wavelength_grid_reference,wavelength_grid_sha256,ux_theta_grid_reference,joint_profile_shape,predicted_normalized_joint_profile_reference,spectral_marginal_reference,angular_marginal_reference,auxiliary_screening_values_reference,model_ensemble_spread_reference,profile_scope,power_scope,coupling_mode,spectral_marginal,angular_marginal,auxiliary_screening_values,model_ensemble_spread
cb59661cde916920b4266c6c92d237ae9b64a4eeb293dcfc7d04de00448116e4,MDC_V2_TEST_G001,GEO_cb59661cde916920,lambda_420_480_301_v1,f3e2b786901c912240ea0267886d4ea9d9e5c62b78846bf1428dbed3c25a0ac9,farfieldangle_rad_to_degree_theta_v1,301x2000,frozen_test40_prediction_manifest:b3cddef0ad46dfe97766fce08f44537fc2809bbd5badcb3251c0734635237283:row_not_read,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields,RANKING_SCREENING_ONLY,NOT_QUANTITATIVELY_USABLE,SURROGATE_SHAPE_SCREENING_ONLY,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields
4e4b6bb3b36a3f1ee9878606fdafdebf7d525eaa53d71b9e4f274d69af96de19,MDC_V2_TEST_G002,GEO_4e4b6bb3b36a3f1e,lambda_420_480_301_v1,f3e2b786901c912240ea0267886d4ea9d9e5c62b78846bf1428dbed3c25a0ac9,farfieldangle_rad_to_degree_theta_v1,301x2000,frozen_test40_prediction_manifest:b3cddef0ad46dfe97766fce08f44537fc2809bbd5badcb3251c0734635237283:row_not_read,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields,RANKING_SCREENING_ONLY,NOT_QUANTITATIVELY_USABLE,SURROGATE_SHAPE_SCREENING_ONLY,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields
ed8ab5bfbf70439ba26c16cae78c6dad78bd181d95198a598f72b70acec90ed6,MDC_V2_TEST_G003,GEO_ed8ab5bfbf70439b,lambda_420_480_301_v1,f3e2b786901c912240ea0267886d4ea9d9e5c62b78846bf1428dbed3c25a0ac9,farfieldangle_rad_to_degree_theta_v1,301x2000,frozen_test40_prediction_manifest:b3cddef0ad46dfe97766fce08f44537fc2809bbd5badcb3251c0734635237283:row_not_read,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields,RANKING_SCREENING_ONLY,NOT_QUANTITATIVELY_USABLE,SURROGATE_SHAPE_SCREENING_ONLY,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields
5e150537d139582ad8a827fcd9ea80fafbcbffc1693125011c04b0ded6803512,MDC_V2_TEST_G004,GEO_5e150537d139582a,lambda_420_480_301_v1,f3e2b786901c912240ea0267886d4ea9d9e5c62b78846bf1428dbed3c25a0ac9,farfieldangle_rad_to_degree_theta_v1,301x2000,frozen_test40_prediction_manifest:b3cddef0ad46dfe97766fce08f44537fc2809bbd5badcb3251c0734635237283:row_not_read,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields,RANKING_SCREENING_ONLY,NOT_QUANTITATIVELY_USABLE,SURROGATE_SHAPE_SCREENING_ONLY,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields
f0330f6f9c5bd0976218086c0b126a6be48a64cb50b8e7eec132d334874a3836,MDC_V2_TEST_G005,GEO_f0330f6f9c5bd097,lambda_420_480_301_v1,f3e2b786901c912240ea0267886d4ea9d9e5c62b78846bf1428dbed3c25a0ac9,farfieldangle_rad_to_degree_theta_v1,301x2000,frozen_test40_prediction_manifest:b3cddef0ad46dfe97766fce08f44537fc2809bbd5badcb3251c0734635237283:row_not_read,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields,RANKING_SCREENING_ONLY,NOT_QUANTITATIVELY_USABLE,SURROGATE_SHAPE_SCREENING_ONLY,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields
576072b8fd3ba19b19bb0df9c43fa81f9c0e9511456ceaa4694a90d369e334ce,MDC_V2_TEST_G006,GEO_576072b8fd3ba19b,lambda_420_480_301_v1,f3e2b786901c912240ea0267886d4ea9d9e5c62b78846bf1428dbed3c25a0ac9,farfieldangle_rad_to_degree_theta_v1,301x2000,frozen_test40_prediction_manifest:b3cddef0ad46dfe97766fce08f44537fc2809bbd5badcb3251c0734635237283:row_not_read,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields,RANKING_SCREENING_ONLY,NOT_QUANTITATIVELY_USABLE,SURROGATE_SHAPE_SCREENING_ONLY,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields
8a1be585738c649560f93ddd02dfa540b511ff3e82e5c133e952c35b2a39a2cf,MDC_V2_TEST_G007,GEO_8a1be585738c6495,lambda_420_480_301_v1,f3e2b786901c912240ea0267886d4ea9d9e5c62b78846bf1428dbed3c25a0ac9,farfieldangle_rad_to_degree_theta_v1,301x2000,frozen_test40_prediction_manifest:b3cddef0ad46dfe97766fce08f44537fc2809bbd5badcb3251c0734635237283:row_not_read,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields,RANKING_SCREENING_ONLY,NOT_QUANTITATIVELY_USABLE,SURROGATE_SHAPE_SCREENING_ONLY,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields
3205fbff622c46919a8796f9b78abc0442a067478215288edcd36adbf78e5c64,MDC_V2_TEST_G008,GEO_3205fbff622c4691,lambda_420_480_301_v1,f3e2b786901c912240ea0267886d4ea9d9e5c62b78846bf1428dbed3c25a0ac9,farfieldangle_rad_to_degree_theta_v1,301x2000,frozen_test40_prediction_manifest:b3cddef0ad46dfe97766fce08f44537fc2809bbd5badcb3251c0734635237283:row_not_read,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields,RANKING_SCREENING_ONLY,NOT_QUANTITATIVELY_USABLE,SURROGATE_SHAPE_SCREENING_ONLY,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields
b5f43bd4684ec29562d07d84522ed74a8df5e3d7270acbb3dc4de284bd2edb94,MDC_V2_TEST_G009,GEO_b5f43bd4684ec295,lambda_420_480_301_v1,f3e2b786901c912240ea0267886d4ea9d9e5c62b78846bf1428dbed3c25a0ac9,farfieldangle_rad_to_degree_theta_v1,301x2000,frozen_test40_prediction_manifest:b3cddef0ad46dfe97766fce08f44537fc2809bbd5badcb3251c0734635237283:row_not_read,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields,RANKING_SCREENING_ONLY,NOT_QUANTITATIVELY_USABLE,SURROGATE_SHAPE_SCREENING_ONLY,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields
3cf95d9c53927baed4c3f98bff57cbb4b354793b321d9072e9c88f370fa004a0,MDC_V2_TEST_G010,GEO_3cf95d9c53927bae,lambda_420_480_301_v1,f3e2b786901c912240ea0267886d4ea9d9e5c62b78846bf1428dbed3c25a0ac9,farfieldangle_rad_to_degree_theta_v1,301x2000,frozen_test40_prediction_manifest:b3cddef0ad46dfe97766fce08f44537fc2809bbd5badcb3251c0734635237283:row_not_read,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields,RANKING_SCREENING_ONLY,NOT_QUANTITATIVELY_USABLE,SURROGATE_SHAPE_SCREENING_ONLY,final_ensemble_output_schema.geometry_fields.spectral_marginal,final_ensemble_output_schema.geometry_fields.angular_marginal,final_ensemble_output_schema.auxiliary_fields,final_ensemble_output_schema.uncertainty_fields
