simulation_time_ps,max_abs_closure_residual,structure_interval_448_delta_F,final_auto_shutoff,closure_gate,structure_gate,auto_shutoff_gate
1,0.0812666246641951,-0.08020762156035277,0.000261435,False,False,False
2,0.02059962733651377,-0.019825876414615418,0.000150024,False,True,False
3,0.004513767612906006,-0.003592535616673165,7.43634e-05,True,True,False
