wavelength_nm,order_n,u_x,angle_deg,transmitted_fraction,absolute_efficiency
445,-3,-0.767241379310345,-50.10680930186621,0.0005088375092938286,0.0003925521484420911
445,-2,-0.5114942528735632,-30.76341252641582,0.010397030566966562,0.008020982360645945
445,-1,-0.2557471264367816,-14.817860402183731,0.0006454021876733898,0.0004979075063314866
445,0,0.0,0.0,0.07195849106043187,0.05551371459157115
445,1,0.2557471264367816,14.817860402183731,0.8708749094516827,0.6718526258097849
445,2,0.5114942528735632,30.76341252641582,0.042928009812687754,0.033117610578081116
445,3,0.767241379310345,50.10680930186621,0.0026873194112640615,0.002073182478048572
446,-3,-0.7689655172413793,-50.26108387570818,0.0008627854847562624,0.0006629106516976734
446,-2,-0.5126436781609195,-30.840084814858216,0.010743029525936202,0.008254275054543358
446,-1,-0.25632183908045975,-14.85192444636312,0.0008225197373673615,0.0006319729582451568
446,0,0.0,0.0,0.07101122980074705,0.0545606080036974
446,1,0.25632183908045975,14.85192444636312,0.866415334423086,0.6656996021966244
446,2,0.5126436781609195,30.840084814858216,0.046684614424226396,0.035869551260428637
446,3,0.7689655172413793,50.26108387570818,0.0034604866038806014,0.0026588224654910753
447,-3,-0.7706896551724137,-50.415859737580426,0.0016043711072848048,0.0012258618107251719
447,-2,-0.5137931034482758,-30.916818412522304,0.01149647499484235,0.008784183154472831
447,-1,-0.2568965517241379,-14.885993861861795,0.0009224775516775337,0.0007048431604870594
447,0,0.0,0.0,0.06436493191150063,0.049179713859199996
447,1,0.2568965517241379,14.885993861861795,0.8699556987876135,0.6647124616768313
447,2,0.5137931034482758,30.916818412522304,0.047064250270883845,0.03596067443219455
447,3,0.7706896551724137,50.415859737580426,0.004591795376197417,0.003508481652895788
448,-3,-0.7724137931034484,-50.57114294660536,0.006549737508044375,0.0032864639395241775
448,-2,-0.5149425287356322,-30.993613604678192,0.02814405323323782,0.014121850829820808
448,-1,-0.2574712643678161,-14.92006866327333,0.0049505217178174386,0.0024840249074800126
448,0,0.0,0.0,0.05169683779423911,0.0259399392707764
448,1,0.2574712643678161,14.92006866327333,0.8708132844762493,0.4369482676175689
448,2,0.5149425287356322,30.993613604678192,0.03491401408406287,0.017518816308345782
448,3,0.7724137931034484,50.57114294660536,0.0029315511863490726,0.0014709654011282973
449,-3,-0.7741379310344828,-50.726939676851345,0.012612082647757825,0.00834508429261459
449,-2,-0.5160919540229885,-31.070470678185885,0.011556440490557103,0.007646593565054723
449,-1,-0.25804597701149423,-14.95414886521045,0.002105604512726506,0.0013932232793238324
449,0,0.0,0.0,0.0696915079040369,0.04611304287971799
449,1,0.25804597701149423,14.95414886521045,0.782646961563809,0.5178569668483581
449,2,0.5160919540229885,31.070470678185885,0.11636567198806681,0.07699611306303933
449,3,0.7741379310344828,50.726939676851345,0.0050217308930459595,0.003322747619699864
450,-3,-0.7758620689655172,-50.883256220421394,0.0033007853441289555,0.002436594921666591
450,-2,-0.5172413793103449,-31.14738992150898,0.008117088939706687,0.0059919248382462155
450,-1,-0.25862068965517243,-14.988234482305128,0.0039232494881483605,0.002896089500717282
450,0,0.0,0.0,0.07075824465107722,0.05223277541798286
450,1,0.25862068965517243,14.988234482305128,0.8401159177561884,0.6201621630612836
450,2,0.5172413793103449,31.14738992150898,0.07038918924830091,0.05196034373083367
450,3,0.7758620689655172,50.883256220421394,0.0033955245724494017,0.0025065301336060176
451,-3,-0.7775862068965518,-51.040098990649035,0.0031343405633206846,0.002339656899039826
451,-2,-0.5183908045977011,-31.224371624728384,0.007800781448632031,0.005822963958599825
451,-1,-0.2591954022988506,-15.022325529208606,0.00497668912375526,0.0037148946668496244
451,0,0.0,0.0,0.06557937676691798,0.04895231969460795
451,1,0.2591954022988506,15.022325529208606,0.8475389015757813,0.6326530886533821
451,2,0.5183908045977011,31.224371624728384,0.06675234098859126,0.04982788946059958
451,3,0.7775862068965518,51.040098990649035,0.0042175695330014815,0.003148242973511714
452,-3,-0.7793103448275862,-51.197474525406115,0.003369285002183545,0.0025316894581071028
452,-2,-0.5195402298850574,-31.301416079556272,0.007372482290371766,0.005539702246179626
452,-1,-0.2597701149425287,-15.056422020591514,0.006076219737021739,0.004565687213575243
452,0,0.0,0.0,0.06068548474035629,0.045599230067421274
452,1,0.2597701149425287,15.056422020591514,0.8525135367199292,0.6405808746985518
452,2,0.5195402298850574,31.301416079556272,0.0650140159551972,0.04885169960876264
452,3,0.7793103448275862,51.197474525406115,0.0049689755549402175,0.003733701073634713
453,-3,-0.7810344827586206,-51.35538949052732,0.0036462239102593944,0.0027572604523684015
453,-2,-0.5206896551724137,-31.3785235793501,0.006863849083182874,0.005190416193266332
453,-1,-0.26034482758620686,-15.0905239711439,0.0072876633188935095,0.005510902883068261
453,0,0.0,0.0,0.05629453809010342,0.04256971249720822
453,1,0.26034482758620686,15.0905239711439,0.8570204833334311,0.6480755827737456
453,2,0.5206896551724137,31.3785235793501,0.06321594415892808,0.04780365306093932
453,3,0.7810344827586206,51.35538949052732,0.005671298105201783,0.004288613745048993
454,-3,-0.7827586206896551,-51.51385068335645,0.0038759826685228703,0.0029506623243812885
454,-2,-0.52183908045977,-31.45569441912687,0.006370359501312118,0.004849552069965643
454,-1,-0.260919540229885,-15.124631395575323,0.00866213338783212,0.006594206636631321
454,0,0.0,0.0,0.05265124468593921,0.04008171793136197
454,1,0.260919540229885,15.124631395575323,0.8604133910637591,0.6550053479399345
454,2,0.52183908045977,31.45569441912687,0.06154288322482122,0.04685063953974842
454,3,0.7827586206896551,51.51385068335645,0.0064840054678134106,0.004936067129590781
455,-3,-0.7844827586206898,-51.67286503641983,0.0040878903186355,0.0031326287844404485
455,-2,-0.5229885057471265,-31.532928895577506,0.005903525994945449,0.004523985239318145
455,-1,-0.26149425287356326,-15.158744308614912,0.010099048965280017,0.007739094989874803
455,0,0.0,0.0,0.04955546693645878,0.03797530512104224
455,1,0.26149425287356326,15.158744308614912,0.8630594024162664,0.661378979364011
455,2,0.5229885057471265,31.532928895577506,0.05992108821430044,0.04591867958868547
455,3,0.7844827586206898,51.67286503641983,0.007373577154113275,0.005650513648071129
