wavelength_nm,order_n,u_x,reflected_fraction,absolute_efficiency
445,-5,-0.89661468453753,0.44183291186356916,0.10048384336287203
445,-4,-0.7172917476300239,0.05066898550228919,0.011523393268946445
445,-3,-0.537968810722518,0.05521659149847107,0.01255763249451482
445,-2,-0.35864587381501195,0.01203373770878044,0.0027367726181800607
445,-1,-0.17932293690750598,0.009190667522818288,0.002090187423720653
445,0,0.0,0.17209602761003617,0.039138936501586674
445,1,0.17932293690750598,0.08094186009632846,0.018408201320073724
445,2,0.35864587381501195,0.06478453545408175,0.014733622005312499
445,3,0.537968810722518,0.013433363880414476,0.0030550825793005626
445,4,0.7172917476300239,0.019032542387070667,0.0043284756673132785
445,5,0.89661468453753,0.08076877647614034,0.018368837780344857
446,-5,-0.8986295489971649,0.42607602334433725,0.09838504193806931
446,-4,-0.7189036391977318,0.04908911472478552,0.011335147594065873
446,-3,-0.5391777293982989,0.051691860300127096,0.011936146520440942
446,-2,-0.3594518195988659,0.013624509231274985,0.003146029907018041
446,-1,-0.17972590979943295,0.010977939838830487,0.0025349116407896877
446,0,0.0,0.17417647184677215,0.04021901855158069
446,1,0.17972590979943295,0.08561148243374733,0.019768512725761807
446,2,0.3594518195988659,0.06631567354498252,0.015312925312395738
446,3,0.5391777293982989,0.012685201159757962,0.0029291346607575298
446,4,0.7189036391977318,0.023384295606118363,0.005399658224938092
446,5,0.8986295489971649,0.0863674279692662,0.01994306780311901
447,-5,-0.9006444134567998,0.3898236572493194,0.09143977305753838
447,-4,-0.7205155307654397,0.052958512451554085,0.012422320374819634
447,-3,-0.5403866480740799,0.04185847982496529,0.0098186188153286
447,-2,-0.36025776538271986,0.016810661862166495,0.0039432268335638666
447,-1,-0.18012888269135993,0.013739115727875933,0.0032227434143760523
447,0,0.0,0.1751127041146432,0.04107566492172608
447,1,0.18012888269135993,0.09425952397006933,0.022110175511544806
447,2,0.36025776538271986,0.06343835903287848,0.014880546742700736
447,3,0.5403866480740799,0.014970794141780914,0.0035116545477896642
447,4,0.7205155307654397,0.03506451209096826,0.008224978059555788
447,5,0.9006444134567998,0.10196367953377865,0.023917316312891804
448,-5,-0.9026592779164347,0.05259311186540131,0.02596605577471381
448,-4,-0.7221274223331478,0.06602228635445935,0.03259625279906294
448,-3,-0.5415955667498609,0.03049535762189048,0.015056043059524139
448,-2,-0.3610637111665739,0.01124426586967488,0.005551472889927293
448,-1,-0.18053185558328694,0.003814360315881149,0.0018832103519659104
448,0,0.0,0.3373004817285116,0.1665306122941569
448,1,0.18053185558328694,0.00923420931082025,0.004559075998655219
448,2,0.3610637111665739,0.1674567907232374,0.08267608083169242
448,3,0.5415955667498609,0.03453025728958955,0.017048137196965206
448,4,0.7221274223331478,0.07835573030351373,0.03868547022919054
448,5,0.9026592779164347,0.20895314861702022,0.10316349268659518
449,-5,-0.9046741423760697,0.3769351762696176,0.12703238093315916
449,-4,-0.7237393139008557,0.09054721523045478,0.03051566704765257
449,-3,-0.5428044854256417,0.01714326759011107,0.0057775188840119025
449,-2,-0.36186965695042783,0.013817832367648289,0.004656801104023463
449,-1,-0.18093482847521392,0.045369503702244345,0.015290151834832693
449,0,0.0,0.2602764710481469,0.08771677970027551
449,1,0.18093482847521392,0.026862782026810094,0.009053130018603724
449,2,0.36186965695042783,0.07418735786074279,0.025002168270571418
449,3,0.5428044854256417,0.0002817816895558403,9.496433652571243e-05
449,4,0.7237393139008557,0.005416103139935346,0.001825301857084871
449,5,0.9046741423760697,0.08916250907473304,0.030049001873032957
450,-5,-0.9066890068357044,0.37992042130374176,0.09912581395178645
450,-4,-0.7253512054685635,0.04392802890126272,0.011461351840979284
450,-3,-0.5440134041014226,0.03687623817590122,0.009621454703914723
450,-2,-0.36267560273428173,0.013624921973665426,0.0035549062512472644
450,-1,-0.18133780136714087,0.018157654217099,0.004737550689032412
450,0,0.0,0.22482963204404344,0.058660759009394575
450,1,0.18133780136714087,0.058941762047564274,0.015378615655003697
450,2,0.36267560273428173,0.11080158960663097,0.02890946930206756
450,3,0.5440134041014226,0.0015467127916458242,0.000403555997056961
450,4,0.7253512054685635,0.009672800896228044,0.0025237502599672204
450,5,0.9066890068357044,0.10170023804221746,0.026534817055715754
451,-5,-0.9087038712953394,0.36406735639283355,0.09206013995320877
451,-4,-0.7269630970362714,0.045931326577167086,0.011614456167742739
451,-3,-0.5452223227772036,0.03401820977650677,0.00860203777677793
451,-2,-0.3634815485181357,0.014577563697236888,0.0036861655695832117
451,-1,-0.18174077425906784,0.016918829671311243,0.004278191384192097
451,0,0.0,0.21666607859513856,0.0547874154832466
451,1,0.18174077425906784,0.06292533846057728,0.015911658553185805
451,2,0.3634815485181357,0.12138856377414006,0.030695001827377007
451,3,0.5452223227772036,0.0017252075968119621,0.0004362457935928653
451,4,0.7269630970362714,0.01267140506380875,0.0032041634689140568
451,5,0.9087038712953394,0.10911012039446784,0.027590204882274063
452,-5,-0.9107187357549742,0.34942596957410105,0.08668640093516888
