monitor,z_m,wavelength_nm,signed_normalized_flux
N1_DIAG_PML_LOWER,-5e-07,445,-0.2273862072872875
N1_DIAG_PML_LOWER,-5e-07,446,-0.23094809991077045
N1_DIAG_PML_LOWER,-5e-07,447,-0.23452927728003128
N1_DIAG_PML_LOWER,-5e-07,448,-0.49372990190741683
N1_DIAG_PML_LOWER,-5e-07,449,-0.3369684860644096
N1_DIAG_PML_LOWER,-5e-07,450,-0.2609240740659405
N1_DIAG_PML_LOWER,-5e-07,451,-0.2528796562388214
N1_DIAG_PML_LOWER,-5e-07,452,-0.24804576218377108
N1_DIAG_PML_LOWER,-5e-07,453,-0.24319121803490068
N1_DIAG_PML_LOWER,-5e-07,454,-0.23829806638826284
N1_DIAG_PML_LOWER,-5e-07,455,-0.23332675592863114
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,445,0.7719242492114343
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,446,0.7685102527360586
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,447,0.7648447775427836
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,448,0.5054042955492656
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,449,0.6624968165683591
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,450,0.7386410379182621
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,451,0.7468778213398682
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,452,0.7516125077823929
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,453,0.7566477988115651
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,454,0.7616249960037613
N1_DIAG_LOWER_OUTSIDE,-1.1e-07,455,0.7665219639936293
N1_DIAG_LOWER_INSIDE,-9e-08,445,0.7719238570027422
N1_DIAG_LOWER_INSIDE,-9e-08,446,0.7685054206526635
N1_DIAG_LOWER_INSIDE,-9e-08,447,0.7648456034697252
N1_DIAG_LOWER_INSIDE,-9e-08,448,0.5053708003605148
N1_DIAG_LOWER_INSIDE,-9e-08,449,0.6625042890728399
N1_DIAG_LOWER_INSIDE,-9e-08,450,0.7386263242494858
N1_DIAG_LOWER_INSIDE,-9e-08,451,0.7468872495437591
N1_DIAG_LOWER_INSIDE,-9e-08,452,0.7516068719647623
N1_DIAG_LOWER_INSIDE,-9e-08,453,0.7566395845710248
N1_DIAG_LOWER_INSIDE,-9e-08,454,0.7616361952795069
N1_DIAG_LOWER_INSIDE,-9e-08,455,0.7665149111014824
N1_DIAG_UPPER_INSIDE,5.9e-07,445,0.7714663313513941
N1_DIAG_UPPER_INSIDE,5.9e-07,446,0.7683415217959769
N1_DIAG_UPPER_INSIDE,5.9e-07,447,0.7640733445759609
N1_DIAG_UPPER_INSIDE,5.9e-07,448,0.5017782647438417
N1_DIAG_UPPER_INSIDE,5.9e-07,449,0.6616666072005969
N1_DIAG_UPPER_INSIDE,5.9e-07,450,0.7381945112178687
N1_DIAG_UPPER_INSIDE,5.9e-07,451,0.7464514682762596
N1_DIAG_UPPER_INSIDE,5.9e-07,452,0.7514058837640037
N1_DIAG_UPPER_INSIDE,5.9e-07,453,0.7562025230349483
N1_DIAG_UPPER_INSIDE,5.9e-07,454,0.7612556964872514
N1_DIAG_UPPER_INSIDE,5.9e-07,455,0.7663267705039287
N1_DIAG_UPPER_OUTSIDE,6.1e-07,445,0.7714693338201968
N1_DIAG_UPPER_OUTSIDE,6.1e-07,446,0.7683371249594861
N1_DIAG_UPPER_OUTSIDE,6.1e-07,447,0.7640765961085789
N1_DIAG_UPPER_OUTSIDE,6.1e-07,448,0.5017710540848656
N1_DIAG_UPPER_OUTSIDE,6.1e-07,449,0.6616702820290514
N1_DIAG_UPPER_OUTSIDE,6.1e-07,450,0.7381911215459077
N1_DIAG_UPPER_OUTSIDE,6.1e-07,451,0.7464524444713861
N1_DIAG_UPPER_OUTSIDE,6.1e-07,452,0.7514068705172251
N1_DIAG_UPPER_OUTSIDE,6.1e-07,453,0.7561982368898383
N1_DIAG_UPPER_OUTSIDE,6.1e-07,454,0.7612591241497939
N1_DIAG_UPPER_OUTSIDE,6.1e-07,455,0.7663263201897823
N1_DIAG_PML_UPPER,1.1e-06,445,0.7714651864335424
N1_DIAG_PML_UPPER,1.1e-06,446,0.768340683817696
N1_DIAG_PML_UPPER,1.1e-06,447,0.7640711317288454
N1_DIAG_PML_UPPER,1.1e-06,448,0.5017797967102042
N1_DIAG_PML_UPPER,1.1e-06,449,0.6616620470262383
N1_DIAG_PML_UPPER,1.1e-06,450,0.738200439799851
N1_DIAG_PML_UPPER,1.1e-06,451,0.7464456399181597
N1_DIAG_PML_UPPER,1.1e-06,452,0.7514086881300582
N1_DIAG_PML_UPPER,1.1e-06,453,0.7562002827781729
N1_DIAG_PML_UPPER,1.1e-06,454,0.7612560670537116
N1_DIAG_PML_UPPER,1.1e-06,455,0.7663272063923467
