wavelength_nm,top_W,bottom_W,xminus_W,xplus_W,yminus_W,yplus_W,net_outward_W,sourcepower_W,net_over_sourcepower,max_T_times_sourcepower_vs_power_abs_error_W
400.00000000000006,2.253988700596214e-17,-2.973812310697311e-16,-1.114429108538111e-17,1.0897402827393749e-17,-1.5714444949357208e-17,1.683328729595036e-17,-2.739693899751632e-16,3.691946938625089e-15,-0.0742072934767561,3.0814879110195774e-33
401.0000000000001,2.43786506651547e-17,-2.994944234188551e-16,-1.164729577056822e-17,1.1483583223545522e-17,-1.6093958197878184e-17,1.7048727654476905e-17,-2.7432471584412434e-16,3.655257067216554e-15,-0.07504936336885881,3.0814879110195774e-33
402.0000000000001,2.52988706898452e-17,-3.02492879661677e-16,-1.2143520555308787e-17,1.2035849784227524e-17,-1.6899618260500868e-17,1.7576681332263454e-17,-2.766246166711505e-16,3.619021836839957e-15,-0.07643629387787626,4.930380657631324e-32
403.0000000000001,2.4440570731393832e-17,-3.026355813068139e-16,-1.170716306373171e-17,1.1705659913864175e-17,-1.6797399375921657e-17,1.7196282258564925e-17,-2.7779763084264434e-16,3.5832345038196555e-15,-0.0775270584569661,0.0
404.00000000000006,2.3853100611662228e-17,-3.023051645298786e-16,-1.0911657258524121e-17,1.0935740396417025e-17,-1.6696771626601744e-17,1.6950944824883922e-17,-2.781738075820413e-16,3.5478884408922163e-15,-0.07840545502385826,4.930380657631324e-32
405.00000000000017,2.2590551133614963e-17,-3.0189933287336294e-16,-1.0148773905064328e-17,1.0214282935296469e-17,-1.656829245599981e-17,1.667050657551017e-17,-2.791410585900055e-16,3.5129771349154225e-15,-0.07945997023881171,0.0
406.00000000000006,2.302731320834922e-17,-3.023117876718896e-16,-9.70919798872254e-18,9.808364686036798e-18,-1.651815194309655e-17,1.6469367259354883e-17,-2.792340924499678e-16,3.4784941846279072e-15,-0.08027441692556324,0.0
407.0000000000001,2.372181582503059e-17,-3.032626310270794e-16,-1.0002293147565219e-17,1.0075468615815763e-17,-1.6608851074179076e-17,1.654892998291847e-17,-2.795275608250588e-16,3.4444332984580984e-15,-0.08115342542710564,3.0814879110195774e-33
408.00000000000006,2.4579552221030663e-17,-3.046483820277657e-16,-1.0025960253438498e-17,1.0063990421019865e-17,-1.6577276850556627e-17,1.686111160488749e-17,-2.7974696488482277e-16,3.4107882923813796e-15,-0.0820182728754197,3.0814879110195774e-33
409.0,2.5055595131090735e-17,-3.079306220691128e-16,-1.0228436297499606e-17,1.0283973236157993e-17,-1.686381552780866e-17,1.7278861663721706e-17,-2.8240444386345053e-16,3.3775530878241718e-15,-0.08361214065931268,4.930380657631324e-32
410.00000000000017,2.523142130272163e-17,-3.1217728436216994e-16,-1.077024534606674e-17,1.0847590644029004e-17,-1.7262404517274267e-17,1.7605797658738366e-17,-2.86525124620022e-16,3.3447217096138784e-15,-0.08566486228030584,3.0814879110195774e-33
411.0,2.4943655828681035e-17,-3.15671015576795e-16,-1.1372665755692208e-17,1.1438369767712676e-17,-1.7408492156767923e-17,1.7530845102500386e-17,-2.9053930279036097e-16,3.3122882839735953e-15,-0.08771558447859941,3.0814879110195774e-33
412.0000000000001,2.4933668324919393e-17,-3.1824001595103376e-16,-1.1817809400405506e-17,1.18179595162879e-17,-1.781140570072728e-17,1.780756146968746e-17,-2.9331004174127183e-16,3.280247036560372e-15,-0.08941705867642007,3.0814879110195774e-33
413.0000000000001,2.5007776009984578e-17,-3.1897153696767223e-16,-1.2255549911846544e-17,1.225098640033459e-17,-1.8344234615044803e-17,1.856327160784508e-17,-2.9374928747639937e-16,3.248592290546181e-15,-0.09042356233229001,0.0
414.00000000000006,2.526455337343126e-17,-3.186046368210461e-16,-1.228722182406901e-17,1.2276737820132819e-17,-1.9246207129199777e-17,1.960852873821728e-17,-2.9298824584253355e-16,3.217318464740372e-15,-0.09106597592171431,4.930380657631324e-32
415.0000000000001,2.583915518131445e-17,-3.1874251643097265e-16,-1.2419268683608872e-17,1.2380641478868398e-17,-1.9757933338115718e-17,1.9822551946112705e-17,-2.928773698464017e-16,3.186420071752719e-15,-0.09191423705955439,3.0814879110195774e-33
416.0,2.5023898775099667e-17,-3.1947843285456645e-16,-1.2473446093081988e-17,1.2444505034213884e-17,-1.937461970814709e-17,1.9558456079019694e-17,-2.942996387674623e-16,3.1558917161960944e-15,-0.09325403569999285,4.930380657631324e-32
417.00000000000006,2.4037538029180872e-17,-3.207113472116093e-16,-1.2500190588752574e-17,1.2443335008016672e-17,-1.9066921720944402e-17,1.9656524034706217e-17,-2.9614106244940253e-16,3.1257280929277357e-15,-0.09474306582183221,4.930380657631324e-32
418.00000000000006,2.39095292968243e-17,-3.223425450823875e-16,-1.2929864387977974e-17,1.2867289480139361e-17,-1.913036217259762e-17,1.9520049305503503e-17,-2.9810590356049596e-16,3.0959239853283118e-15,-0.0962898007099754,4.930380657631324e-32
419.0000000000001,2.3508717400401056e-17,-3.250719488892342e-16,-1.2925025839401004e-17,1.2858514005979386e-17,-1.9158543674046047e-17,1.9570858447817225e-17,-3.0121742854848357e-16,3.06647426361777e-15,-0.0982292374412798,4.930380657631324e-32
420.00000000000017,2.266972670959021e-17,-3.2874938853040344e-16,-1.301587421605517e-17,1.2987310749180273e-17,-1.908067411006576e-17,1.9661022600306132e-17,-3.0552787679744777e-16,3.037373883207172e-15,-0.10058948570231334,4.930380657631324e-32
421.00000000000006,2.11758655126634e-17,-3.324754908054092e-16,-1.313482597265073e-17,1.3199504131940305e-17,-1.8992705985392483e-17,1.959863055530919e-17,-3.1062902256353955e-16,3.008617883085624e-15,-0.10324641899853362,1.5407439555097887e-33
422.00000000000006,1.975684201164756e-17,-3.3519945512832623e-16,-1.3397312787623121e-17,1.3531597094932529e-17,-1.8790186102102746e-17,1.9517130081658256e-17,-3.145813848298138e-16,2.9802013842414774e-15,-0.10555708969643379,0.0
423.0,1.8677248232835568e-17,-3.3864056994019563e-16,-1.3472261719941044e-17,1.3552699304553853e-17,-1.8618371607552557e-17,1.9419317626428774e-17,-3.190819381038711e-16,2.952119588117046e-15,-0.10808570878640845,3.0814879110195774e-33
424.00000000000006,1.799447357443673e-17,-3.4322019239749827e-16,-1.3546595130788474e-17,1.3581424072519787e-17,-1.8779173430619735e-17,1.954138100527004e-17,-3.2442868230667994e-16,2.924367775095943e-15,-0.11093976792848363,3.0814879110195774e-33
425.0,1.802973782153874e-17,-3.47518993333316e-16,-1.3434039010297449e-17,1.3402289958980489e-17,-1.9105837374761174e-17,1.9951186580516885e-17,-3.286756553573385e-16,2.8969413030224013e-15,-0.1134560976483813,1.5407439555097887e-33
426.00000000000006,1.841241538725663e-17,-3.5080323581280955e-16,-1.3244913660364897e-17,1.324008235655e-17,-1.9371049107474754e-17,2.0461752270178372e-17,-3.3130494856666417e-16,2.869835605751712e-15,-0.11544387696029147,1.5407439555097887e-33
427.00000000000017,1.9036520087564135e-17,-3.532744130351575e-16,-1.3015618856611558e-17,1.304299451967504e-17,-1.9364392219563667e-17,2.0658868216237196e-17,-3.329160412878563e-16,2.8430461917311456e-15,-0.11709835818219401,3.0814879110195774e-33
428.0,1.926132653089684e-17,-3.5513935509954094e-16,-1.2868195912895544e-17,1.2931053782782327e-17,-1.9393671793214218e-17,2.0388758449660672e-17,-3.3482008404231085e-16,2.8165686426106004e-15,-0.11887517278186242,0.0
429.0000000000001,1.914609682786943e-17,-3.562515705819346e-16,-1.3088585414356317e-17,1.318917387952283e-17,-1.9353063840593772e-17,1.990082919364232e-17,-3.364571199358501e-16,2.7903986118822702e-15,-0.12057672280337473,4.930380657631324e-32
430.00000000000006,1.888802653593292e-17,-3.5739734210418257e-16,-1.3411107050405168e-17,1.3512685270483102e-17,-1.89731464649548e-17,1.9310134720416556e-17,-3.3807074909270997e-16,2.7645318235487326e-15,-0.1222886082239923,0.0
431.0000000000001,1.9091620214642542e-17,-3.585781514189555e-16,-1.3180960881490147e-17,1.330036250894504e-17,-1.852729131227976e-17,1.8834701223537162e-17,-3.390597196656007e-16,2.7389640708187066e-15,-0.12379122576962173,1.5407439555097887e-33
432.0000000000001,1.9064240761878968e-17,-3.5984520103315096e-16,-1.3187245328504051e-17,1.3285128765450143e-17,-1.8401318663376747e-17,1.8860594971399476e-17,-3.4022380052630314e-16,2.713691214829917e-15,-0.1253730706968541,3.0814879110195774e-33
433.0000000000001,1.8965787340258912e-17,-3.623073169903351e-16,-1.3541123418775614e-17,1.3552903170678136e-17,-1.8650003423201648e-17,1.9071867650961955e-17,-3.429078856704134e-16,2.6887091833983998e-15,-0.127536249657538,3.0814879110195774e-33
434.0000000000001,1.91079221513179e-17,-3.6553575541828757e-16,-1.4018616744175964e-17,1.397268276229562e-17,-1.8808027255754675e-17,1.9063390670931868e-17,-3.462184038336728e-16,2.6640139697936598e-15,-0.1299611817953376,4.930380657631324e-32
435.0,1.9105899029285353e-17,-3.689654908069843e-16,-1.4662456057274932e-17,1.4587260909705648e-17,-1.8870309013471585e-17,1.902125096223202e-17,-3.4978384497650785e-16,2.6396016315390758e-15,-0.13251387663848313,0.0
436.0000000000001,2.0123511872590212e-17,-3.7081995762395907e-16,-1.514051066128485e-17,1.5049998222292794e-17,-1.8585296126732693e-17,1.8737278799577782e-17,-3.506349755175158e-16,2.6154682892369843e-15,-0.13406202512965937,4.930380657631324e-32
437.0000000000001,2.1172485834950218e-17,-3.7295077781126315e-16,-1.5604873348567067e-17,1.549053901350479e-17,-1.8433809652210094e-17,1.8455918936059088e-17,-3.5187051702752625e-16,2.5916101254178923e-15,-0.13577293651404754,4.930380657631324e-32
438.00000000000006,2.2088592180018326e-17,-3.747536173611203e-16,-1.5627201979839506e-17,1.5533282828711933e-17,-1.8341252967120144e-17,1.8505626234148092e-17,-3.525945710652016e-16,2.568023383413228e-15,-0.13730193165007665,0.0
439.00000000000006,2.267570176164505e-17,-3.767699748212404e-16,-1.553811511025027e-17,1.550595088331177e-17,-1.841136180298447e-17,1.8579187346018434e-17,-3.5395861174349984e-16,2.5447043662511434e-15,-0.1390961623824898,4.930380657631324e-32
440.00000000000006,2.2880007412253797e-17,-3.7783112053754586e-16,-1.5706729368252852e-17,1.566586841335142e-17,-1.86946599848083e-17,1.885005235843522e-17,-3.5483658170656655e-16,2.5216494355748177e-15,-0.1407160633435474,4.930380657631324e-32
441.0000000000001,2.262626127610399e-17,-3.78250328202609e-16,-1.583151890456553e-17,1.5792712646242155e-17,-1.8804683322399853e-17,1.9073559437208392e-17,-3.553939970700199e-16,2.4988550105827697e-15,-0.14222273623916132,0.0
442.0000000000001,2.2069827624207808e-17,-3.7894001305716146e-16,-1.5717282100664332e-17,1.569011356829179e-17,-1.8934371422366002e-17,1.9454135958522975e-17,-3.5637758942916923e-16,2.476317566990663e-15,-0.1439143323859936,4.930380657631324e-32
443.0000000000001,2.1312916416645887e-17,-3.796259623166308e-16,-1.5705891685163058e-17,1.5638373079066497e-17,-1.9207250284524096e-17,1.964700474934901e-17,-3.579408100412566e-16,2.45403363601413e-15,-0.14585815157066398,3.0814879110195774e-33
444.00000000000006,2.0951490805785882e-17,-3.804994971543852e-16,-1.5132733398917475e-17,1.5071201603051725e-17,-1.912422409147723e-17,1.9324062574161788e-17,-3.594096996617805e-16,2.4319998033721584e-15,-0.14778360555927297,4.930380657631324e-32
445.00000000000006,2.0631070078589843e-17,-3.8183464986636177e-16,-1.452421312803382e-17,1.449706840185714e-17,-1.9167856667259942e-17,1.9216833777847133e-17,-3.6118174740336145e-16,2.4102127083105582e-15,-0.14985471869681255,4.930380657631324e-32
446.00000000000006,2.025140345329952e-17,-3.8253893591629102e-16,-1.408941276967976e-17,1.4095656002466017e-17,-1.9281919244864268e-17,1.921091434398374e-17,-3.623522941310858e-16,2.3886690426450656e-15,-0.15169631609150805,3.0814879110195774e-33
447.00000000000006,1.9643265789633044e-17,-3.822248569012779e-16,-1.3878112889291425e-17,1.3923721699161134e-17,-1.9449016060581402e-17,1.918937676590956e-17,-3.6279562159644695e-16,2.367365549823656e-15,-0.15324866986573807,4.930380657631324e-32
448.0000000000001,1.880732396689883e-17,-3.817399632404468e-16,-1.3680318558264367e-17,1.3713566709191344e-17,-1.953506271029708e-17,1.916451186704801e-17,-3.6326994196587007e-16,2.346299024007616e-15,-0.15482678816674603,3.0814879110195774e-33
