wavelength_nm,face,normal,transmission_T,power_W,sourcepower_W,source_normalized_power
400.00000000000006,ic1_flux_top,+z,0.006105149229028784,2.253988700596214e-17,3.691946938625089e-15,0.006105149229028784
401.0000000000001,ic1_flux_top,+z,0.006669476377955226,2.43786506651547e-17,3.655257067216554e-15,0.006669476377955225
402.0000000000001,ic1_flux_top,+z,0.006990527228190356,2.52988706898452e-17,3.619021836839957e-15,0.006990527228190357
403.0000000000001,ic1_flux_top,+z,0.006820812510412221,2.4440570731393832e-17,3.5832345038196555e-15,0.006820812510412221
404.00000000000006,ic1_flux_top,+z,0.006723182255883924,2.3853100611662228e-17,3.5478884408922163e-15,0.006723182255883924
405.00000000000017,ic1_flux_top,+z,0.006430600105274766,2.2590551133614963e-17,3.5129771349154225e-15,0.006430600105274766
406.00000000000006,ic1_flux_top,+z,0.006619908496645206,2.302731320834922e-17,3.4784941846279072e-15,0.006619908496645206
407.0000000000001,ic1_flux_top,+z,0.006887001073775959,2.372181582503059e-17,3.4444332984580984e-15,0.006887001073775959
408.00000000000006,ic1_flux_top,+z,0.007206413917842276,2.4579552221030663e-17,3.4107882923813796e-15,0.007206413917842275
409.0,ic1_flux_top,+z,0.007418268337932066,2.5055595131090735e-17,3.3775530878241718e-15,0.007418268337932066
410.00000000000017,ic1_flux_top,+z,0.007543653401775659,2.523142130272163e-17,3.3447217096138784e-15,0.007543653401775658
411.0,ic1_flux_top,+z,0.00753064156564214,2.4943655828681035e-17,3.3122882839735953e-15,0.007530641565642141
412.0000000000001,ic1_flux_top,+z,0.007601155659015407,2.4933668324919393e-17,3.280247036560372e-15,0.007601155659015407
413.0000000000001,ic1_flux_top,+z,0.00769803464804137,2.5007776009984578e-17,3.248592290546181e-15,0.00769803464804137
414.00000000000006,ic1_flux_top,+z,0.007852674098107982,2.526455337343126e-17,3.217318464740372e-15,0.007852674098107982
415.0000000000001,ic1_flux_top,+z,0.008109149013457408,2.583915518131445e-17,3.186420071752719e-15,0.00810914901345741
416.0,ic1_flux_top,+z,0.007929264063997049,2.5023898775099667e-17,3.1558917161960944e-15,0.007929264063997049
417.00000000000006,ic1_flux_top,+z,0.007690220426904101,2.4037538029180872e-17,3.1257280929277357e-15,0.007690220426904101
418.00000000000006,ic1_flux_top,+z,0.0077229057981179,2.39095292968243e-17,3.0959239853283118e-15,0.007722905798117901
419.0000000000001,ic1_flux_top,+z,0.0076663670976536745,2.3508717400401056e-17,3.06647426361777e-15,0.007666367097653675
420.00000000000017,ic1_flux_top,+z,0.007463594401375829,2.266972670959021e-17,3.037373883207172e-15,0.007463594401375829
421.00000000000006,ic1_flux_top,+z,0.007038403125805241,2.11758655126634e-17,3.008617883085624e-15,0.007038403125805241
422.00000000000006,ic1_flux_top,+z,0.006629364752367593,1.975684201164756e-17,2.9802013842414774e-15,0.006629364752367593
423.0,ic1_flux_top,+z,0.006326724807496196,1.8677248232835568e-17,2.952119588117046e-15,0.006326724807496196
424.00000000000006,ic1_flux_top,+z,0.006153286781395465,1.799447357443673e-17,2.924367775095943e-15,0.006153286781395464
425.0,ic1_flux_top,+z,0.006223715269180005,1.802973782153874e-17,2.8969413030224013e-15,0.006223715269180005
426.00000000000006,ic1_flux_top,+z,0.006415843245639071,1.841241538725663e-17,2.869835605751712e-15,0.00641584324563907
427.00000000000017,ic1_flux_top,+z,0.006695818078134248,1.9036520087564135e-17,2.8430461917311456e-15,0.006695818078134249
428.0,ic1_flux_top,+z,0.006838578772589061,1.926132653089684e-17,2.8165686426106004e-15,0.006838578772589061
429.0000000000001,ic1_flux_top,+z,0.006861419994383664,1.914609682786943e-17,2.7903986118822702e-15,0.006861419994383664
430.00000000000006,ic1_flux_top,+z,0.006832269527535053,1.888802653593292e-17,2.7645318235487326e-15,0.006832269527535053
431.0000000000001,ic1_flux_top,+z,0.006970379939644789,1.9091620214642542e-17,2.7389640708187066e-15,0.006970379939644789
432.0000000000001,ic1_flux_top,+z,0.007025206352769888,1.9064240761878968e-17,2.713691214829917e-15,0.007025206352769888
433.0000000000001,ic1_flux_top,+z,0.00705386341422283,1.8965787340258912e-17,2.6887091833983998e-15,0.007053863414222829
434.0000000000001,ic1_flux_top,+z,0.0071726058376480285,1.91079221513179e-17,2.6640139697936598e-15,0.007172605837648028
435.0,ic1_flux_top,+z,0.007238175185603766,1.9105899029285353e-17,2.6396016315390758e-15,0.007238175185603766
436.0000000000001,ic1_flux_top,+z,0.00769403779636758,2.0123511872590212e-17,2.6154682892369843e-15,0.00769403779636758
437.0000000000001,ic1_flux_top,+z,0.008169626143722599,2.1172485834950218e-17,2.5916101254178923e-15,0.008169626143722599
438.00000000000006,ic1_flux_top,+z,0.008601398383942981,2.2088592180018326e-17,2.568023383413228e-15,0.008601398383942981
439.00000000000006,ic1_flux_top,+z,0.008910937577810219,2.267570176164505e-17,2.5447043662511434e-15,0.008910937577810219
440.00000000000006,ic1_flux_top,+z,0.009073429117254844,2.2880007412253797e-17,2.5216494355748177e-15,0.009073429117254846
441.0000000000001,ic1_flux_top,+z,0.009054651502500424,2.262626127610399e-17,2.4988550105827697e-15,0.009054651502500424
442.0000000000001,ic1_flux_top,+z,0.008912357574165294,2.2069827624207808e-17,2.476317566990663e-15,0.008912357574165294
443.0000000000001,ic1_flux_top,+z,0.008684850975092001,2.1312916416645887e-17,2.45403363601413e-15,0.008684850975092001
444.00000000000006,ic1_flux_top,+z,0.008614922902845221,2.0951490805785882e-17,2.4319998033721584e-15,0.008614922902845221
445.00000000000006,ic1_flux_top,+z,0.008559854492283057,2.0631070078589843e-17,2.4102127083105582e-15,0.008559854492283057
446.00000000000006,ic1_flux_top,+z,0.008478111907405288,2.025140345329952e-17,2.3886690426450656e-15,0.008478111907405288
447.00000000000006,ic1_flux_top,+z,0.00829752117964894,1.9643265789633044e-17,2.367365549823656e-15,0.00829752117964894
448.0000000000001,ic1_flux_top,+z,0.008015740438222074,1.880732396689883e-17,2.346299024007616e-15,0.008015740438222074
449.00000000000006,ic1_flux_top,+z,0.007666420071102807,1.7828001587301932e-17,2.3254663091710016e-15,0.007666420071102807
450.0000000000001,ic1_flux_top,+z,0.007269338898436769,1.6754839698654356e-17,2.3048642982180115e-15,0.007269338898436769
451.00000000000006,ic1_flux_top,+z,0.00687096668490089,1.5696654215573895e-17,2.2844899321179446e-15,0.00687096668490089
452.00000000000006,ic1_flux_top,+z,0.006602665708491854,1.4950681384675313e-17,2.264340199057309e-15,0.006602665708491854
453.0000000000001,ic1_flux_top,+z,0.006514272668421019,1.4620712618639863e-17,2.2444121336087315e-15,0.006514272668421018
454.0000000000001,ic1_flux_top,+z,0.006416305763932191,1.4274373500799755e-17,2.224702815916273e-15,0.00641630576393219
455.00000000000017,ic1_flux_top,+z,0.00638198901656128,1.4073621984281485e-17,2.2052093708968152e-15,0.0063819890165612795
456.0000000000001,ic1_flux_top,+z,0.00645284572479296,1.4105462392357064e-17,2.1859289674571662e-15,0.00645284572479296
457.00000000000006,ic1_flux_top,+z,0.006599232224433511,1.4299604535738686e-17,2.16685881772651e-15,0.006599232224433512
458.0000000000001,ic1_flux_top,+z,0.006849341803234107,1.47123600035454e-17,2.147996176303912e-15,0.006849341803234106
459.00000000000006,ic1_flux_top,+z,0.007166485864405087,1.525987311070961e-17,2.1293383395205208e-15,0.007166485864405087
460.0000000000001,ic1_flux_top,+z,0.007390121440504108,1.5599679091104888e-17,2.1108826447161572e-15,0.0073901214405041075
461.00000000000006,ic1_flux_top,+z,0.007520535115225539,1.573767084715072e-17,2.092626469529988e-15,0.007520535115225538
462.00000000000017,ic1_flux_top,+z,0.007702664358544519,1.597969507120678e-17,2.0745672312049533e-15,0.007702664358544519
463.0000000000001,ic1_flux_top,+z,0.007731002553067326,1.59003713963367e-17,2.0567023859057094e-15,0.007731002553067326
464.00000000000006,ic1_flux_top,+z,0.00768123418118822,1.5662262539184087e-17,2.0390294280497083e-15,0.007681234181188221
465.00000000000017,ic1_flux_top,+z,0.007644971389803003,1.545466048955746e-17,2.021545889651223e-15,0.007644971389803003
466.0000000000001,ic1_flux_top,+z,0.0077167837570308526,1.546635874946691e-17,2.004249339677988e-15,0.0077167837570308526
467.0000000000001,ic1_flux_top,+z,0.007887054741016064,1.5672661320954426e-17,1.9871373834201852e-15,0.007887054741016064
468.00000000000006,ic1_flux_top,+z,0.007931175739571738,1.5626063209753947e-17,1.970207661871544e-15,0.007931175739571738
469.00000000000006,ic1_flux_top,+z,0.007988900946939758,1.5605981276637662e-17,1.953457851122277e-15,0.007988900946939758
470.00000000000006,ic1_flux_top,+z,0.008082922211732508,1.5655696137055166e-17,1.9368856617635934e-15,0.008082922211732508
471.0,ic1_flux_top,+z,0.008164770968134498,1.5680351511607305e-17,1.920488838303566e-15,0.008164770968134498
472.0000000000001,ic1_flux_top,+z,0.00809737507565373,1.5419549232635564e-17,1.904265158594088e-15,0.00809737507565373
473.0,ic1_flux_top,+z,0.007957085176950417,1.502466716369601e-17,1.88821243326872e-15,0.007957085176950417
474.00000000000006,ic1_flux_top,+z,0.007819101350538283,1.463992634359146e-17,1.8723285051911517e-15,0.007819101350538283
475.0,ic1_flux_top,+z,0.007713985075750287,1.4321871465593442e-17,1.8566112489140965e-15,0.007713985075750288
476.00000000000006,ic1_flux_top,+z,0.0076570341695864005,1.4097048379836057e-17,1.8410585701483838e-15,0.007657034169586401
476.99999999999994,ic1_flux_top,+z,0.007715607004042255,1.4086139934544097e-17,1.825668405242035e-15,0.007715607004042254
478.0000000000001,ic1_flux_top,+z,0.007876609830619906,1.4260119424957196e-17,1.8104387206691044e-15,0.007876609830619908
479.0000000000001,ic1_flux_top,+z,0.00818091347836949,1.4687746281868083e-17,1.7953675125281303e-15,0.008180913478369488
480.00000000000006,ic1_flux_top,+z,0.008532967118124048,1.5192545249395572e-17,1.7804528060499094e-15,0.00853296711812405
481.00000000000006,ic1_flux_top,+z,0.00888655773328694,1.569092971891566e-17,1.7656926551144943e-15,0.00888655773328694
482.0000000000001,ic1_flux_top,+z,0.00922695882563293,1.6157190503355526e-17,1.7510851417771673e-15,0.00922695882563293
483.00000000000006,ic1_flux_top,+z,0.009512261586259065,1.6519263388760412e-17,1.7366283758032173e-15,0.009512261586259063
484.00000000000006,ic1_flux_top,+z,0.009682960778660323,1.6677161793731238e-17,1.7223204942113368e-15,0.009682960778660323
