candidate_id,x_position_um,dipole,runtime_s,signed_peak_angle_deg,peak_abs_angle_deg,angular_FWHM_deg,eta5,eta10,eta20,eta30,I_normal_0_5deg,I_offaxis_20_60deg,normal_offaxis_ratio,total_upward_power_proxy,extraction_success,extraction_mode,warnings,case_id,runtime_solve_fsp
R2_4B_OPT_06361,-1.4,x,14.27,29.98345323830849,29.98345323830849,4.120125267656295,0.11856736816883129,0.2176526157192636,0.3732963162350615,0.6190365070349094,7.762128897536956e-06,5.7455781790558504e-05,0.135097437640514,6.546597953059269e-05,True,farfield2d_farfieldangle,,R2_4D0_R2_4B_OPT_06361_453_xpos_m1400_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_m1400_x_solve.fsp
R2_4B_OPT_06361,-1.05,x,13.927,-37.79270198743,37.79270198743,2.420740717896514,0.10047736450824035,0.1663402645113417,0.32006433533101236,0.5823515778711932,9.962412900988356e-06,8.664204812911283e-05,0.11498358032975514,9.915081819419455e-05,True,farfield2d_farfieldangle,,R2_4D0_R2_4B_OPT_06361_453_xpos_m1050_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_m1050_x_solve.fsp
R2_4B_OPT_06361,-0.7,x,14.0,31.652248250197143,31.652248250197143,3.0965847288840678,0.11417903407144463,0.21763389580781667,0.411441859325547,0.6764961502322385,8.99586535893449e-06,8.0742057635552e-05,0.11141486385620011,7.8787366105283e-05,True,farfield2d_farfieldangle,,R2_4D0_R2_4B_OPT_06361_453_xpos_m0700_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_m0700_x_solve.fsp
R2_4B_OPT_06361,-0.35,x,13.97,-36.99898681462517,36.99898681462517,3.0710250322463963,0.10462168755426136,0.18747253487879836,0.300264007315891,0.4915006976275271,1.1123913554328164e-05,9.523111378069019e-05,0.11680965508757639,0.00010632512067403632,True,farfield2d_farfieldangle,,R2_4D0_R2_4B_OPT_06361_453_xpos_m0350_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_m0350_x_solve.fsp
R2_4B_OPT_06361,0.0,x,14.117,26.59774281007007,26.59774281007007,5.486426565952094,0.10416755260380756,0.1796435088591228,0.3142045718839357,0.6448219546978495,9.509820151647568e-06,5.315149306475693e-05,0.1789191535985887,9.129349700493936e-05,True,farfield2d_farfieldangle,,R2_4D0_R2_4B_OPT_06361_453_xpos_p0000_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_p0000_x_solve.fsp
R2_4B_OPT_06361,0.35,x,13.926,36.99898681462517,36.99898681462517,3.071025061658645,0.10462168459352451,0.1874725290744274,0.30026400939439035,0.4915007238313843,1.1123913004804472e-05,9.52311125904967e-05,0.11680965077703555,0.0001063251184304958,True,farfield2d_farfieldangle,,R2_4D0_R2_4B_OPT_06361_453_xpos_p0350_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_p0350_x_solve.fsp
R2_4B_OPT_06361,0.7,x,13.997,-31.652248250197143,31.652248250197143,3.0965832178835377,0.11417902705005831,0.21763386096343135,0.41144183512493826,0.6764961185816144,8.995863663719749e-06,8.074204345991136e-05,0.11141486242153655,7.87873561032867e-05,True,farfield2d_farfieldangle,,R2_4D0_R2_4B_OPT_06361_453_xpos_p0700_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_p0700_x_solve.fsp
R2_4B_OPT_06361,1.05,x,13.934,37.79270198743001,37.79270198743001,2.4207407249583,0.10047735918210604,0.1663402588731251,0.3200642993978068,0.582351554948011,9.962412522187932e-06,8.664205188164387e-05,0.11498357097771579,9.915081968000342e-05,True,farfield2d_farfieldangle,,R2_4D0_R2_4B_OPT_06361_453_xpos_p1050_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_p1050_x_solve.fsp
R2_4B_OPT_06361,1.4,x,14.009,-29.983453238308474,29.983453238308474,4.1201271415878615,0.11856737009214349,0.21765261655678425,0.3732963481625181,0.6190365544080522,7.762129095506496e-06,5.7455774678348194e-05,0.13509745780926002,6.546598013833175e-05,True,farfield2d_farfieldangle,,R2_4D0_R2_4B_OPT_06361_453_xpos_p1400_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_p1400_x_solve.fsp
R2_4B_OPT_06176,-1.4,x,16.007,11.513557402340235,11.513557402340235,2.219001972372551,0.058561017269582114,0.13373808020913702,0.39287292685853564,0.5218008663559134,2.2378225769054593e-06,3.269878107659608e-05,0.06843749226197196,3.821351952620252e-05,True,farfield2d_farfieldangle,,R2_4D0_R2_4B_OPT_06176_453_xpos_m1400_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06176_453_xpos_m1400_x_solve.fsp
