candidate_id,x_position_um,dipole,setup_fsp,runtime_solve_fsp,will_solve
R2_4B_OPT_06361,-1.4,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_m1400_x_solve.fsp,True
R2_4B_OPT_06361,-1.05,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_m1050_x_solve.fsp,True
R2_4B_OPT_06361,-0.7,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_m0700_x_solve.fsp,True
R2_4B_OPT_06361,-0.35,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_m0350_x_solve.fsp,True
R2_4B_OPT_06361,0.0,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_p0000_x_solve.fsp,True
R2_4B_OPT_06361,0.35,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_p0350_x_solve.fsp,True
R2_4B_OPT_06361,0.7,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_p0700_x_solve.fsp,True
R2_4B_OPT_06361,1.05,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_p1050_x_solve.fsp,True
R2_4B_OPT_06361,1.4,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06361_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06361_453_xpos_p1400_x_solve.fsp,True
R2_4B_OPT_06176,-1.4,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06176_453_xpos_m1400_x_solve.fsp,True
R2_4B_OPT_06176,-1.05,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06176_453_xpos_m1050_x_solve.fsp,True
R2_4B_OPT_06176,-0.7,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06176_453_xpos_m0700_x_solve.fsp,True
R2_4B_OPT_06176,-0.35,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06176_453_xpos_m0350_x_solve.fsp,True
R2_4B_OPT_06176,0.0,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06176_453_xpos_p0000_x_solve.fsp,True
R2_4B_OPT_06176,0.35,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06176_453_xpos_p0350_x_solve.fsp,True
R2_4B_OPT_06176,0.7,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06176_453_xpos_p0700_x_solve.fsp,True
R2_4B_OPT_06176,1.05,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06176_453_xpos_p1050_x_solve.fsp,True
R2_4B_OPT_06176,1.4,x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4c_variable_dbr_setup_only_fsp\runtime_fsp\R2_4C_R2_4B_OPT_06176_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4d0_variable_dbr_xline_xdipole_position_scout\runtime_solve_fsp\R2_4D0_R2_4B_OPT_06176_453_xpos_p1400_x_solve.fsp,True
