FWHM_nm,T450,T450_TE,T450_TM,T450_at_20deg,Tpeak,candidate_id,complex_index_reconstruction,defect_material_id,extrapolation_policy,formal_engineering_baseline,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,legacy_profile,low_index_material_id,material_model,material_policy_id,native_minus_legacy_T450,native_minus_legacy_peak_nm,normal_to_40_60_ratio,peak_wavelength_nm,propagation_direction,result_status,topology
7.5,0.8278414914430887,0.8278414914430887,0.8278414914430888,0.13504240658437083,0.8287235901899872,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,0.44839119207111766,11.0,39.359849393385474,450.25,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN
18.75,0.37945029937197106,0.379450299371971,0.3794502993719711,0.17034666376647672,0.8293081549321583,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,tio2_2p25_sio2_1p47,APCD_SIO2_NATIVE_M1,legacy_constant_index,MDC_NATIVE_M1,0.44839119207111766,11.0,3.6202216761733332,439.25,GaN -> reverse(stack) -> Air,historical_regression_comparison,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN
