R_TE,R_TM,T_TE,T_TM,T_avg,candidate_id,complex_index_reconstruction,defect_material_id,external_air_angle_deg,extrapolation_policy,formal_engineering_baseline,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,legacy_profile,low_index_material_id,material_model,material_policy_id,propagation_direction,result_status,topology,wavelength_nm
0.38013962905125454,0.38013962905125454,0.619860370948745,0.6198603709487448,0.6198603709487449,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,0,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN,448.0
0.3436232499568245,0.3436232499568246,0.6563767500431765,0.6563767500431764,0.6563767500431765,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,0,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN,448.25
0.30799151009304226,0.30799151009304226,0.692008489906959,0.6920084899069592,0.6920084899069591,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,0,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN,448.5
0.2742382528689023,0.2742382528689023,0.7257617471310978,0.7257617471310976,0.7257617471310978,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,0,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN,448.75
0.24347216781684838,0.24347216781684816,0.7565278321831522,0.7565278321831513,0.7565278321831518,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,0,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN,449.0
0.21685071167187878,0.21685071167187883,0.7831492883281225,0.7831492883281217,0.7831492883281221,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,0,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN,449.25
0.19548914125560793,0.19548914125560787,0.8045108587443929,0.8045108587443925,0.8045108587443928,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,0,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN,449.5
0.1803541626393043,0.1803541626393042,0.8196458373606952,0.8196458373606943,0.8196458373606947,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,0,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN,449.75
0.17215850855691114,0.1721585085569114,0.8278414914430887,0.8278414914430888,0.8278414914430887,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,0,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN,450.0
0.17127640981001188,0.17127640981001177,0.8287235901899871,0.8287235901899872,0.8287235901899872,MDC_NATIVE_M1_EXPLICIT_FAB_SEED_N3_L79_H45_C156,physical_principal_square_root,APCD_SIO2_NATIVE_M1,0,forbidden,False,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 45, ""L_defect_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,GaN -> reverse(stack) -> Air,native_m1_smoke_not_formal_baseline,Air / (L/H)^3 / L_defect / (H/L)^3 / GaN,450.25
