geometry_uid,exact_hash,subrole,parent_reference_geometry,broadband_status,projector_pass_count_9,failed_wavelengths,phase_450_deg,near_miss_promoted_to_strict
H1C1B_V2_013,d6ad22518feea3394bc517af8abfa35c63b2b3e468f8a27dc441195efe0dfd55,PHASE_GAP_TARGET,,CENTER_ONLY_COMPATIBLE,6,"[450.5, 451.0, 451.5]",72.68133641669061,False
H1C1B_V2_014,840a139895f1aaba3b9b5a93707d8e67c51fddb97f3e81fa32aeb07d2309d87e,PHASE_GAP_TARGET,,CENTER_ONLY_COMPATIBLE,2,"[451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",84.81659646042164,False
H1C1B_V2_015,6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7,PHASE_GAP_TARGET,,BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],87.71824309019712,False
H1C1B_V2_016,2271819096fbbbf17178eddfdc8d45fe8ed7c3bab39ebeb895083f64311079a3,PHASE_GAP_TARGET,,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",64.06707335498066,False
H1C1B_V2_017,110334309bbb3e8e459e99463db7b5417e867cb6c44169b04c42d1f95fd17cb3,PHASE_GAP_TARGET,,PARTIALLY_COMPATIBLE,4,"[450.0, 452.5, 453.0, 453.5, 454.0]",103.65356149922525,False
H1C1B_V2_018,1d7c9f385fd5d87d3bd56d3b681983bd0c5eb772998db39bfe4acd946d2d6f58,GLOBAL_COVERAGE_CONTROL,,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",,False
H1C1B_V2_019,50734036502b63dff37382d8ce0e7d69e2d40786dda10269f43ae4ca308296a7,GLOBAL_COVERAGE_CONTROL,,PARTIALLY_COMPATIBLE,5,"[450.0, 450.5, 451.0, 451.5]",120.75516500780458,False
H1C1B_V2_020,74a21bfa97eabc84c58bf553eb76abc2c14d566aee89ad5f5dd2200099d67ddd,GLOBAL_COVERAGE_CONTROL,,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",78.69528378294729,False
H1C1B_V2_021,dcd041c61c2dfadd64dc444e4dba8932e23eafd0955277c87b58c001c3cf35eb,GLOBAL_COVERAGE_CONTROL,,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",,False
H1C1B_V2_022,a6cdb424e8884a8b09b9de5c6df3cb5914aa81d8b34197ee7f7c812549543cc6,GLOBAL_COVERAGE_CONTROL,,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",70.48623792796081,False
H1C1B_V2_023,7402f3ddc7201adb41aa35a4f7e773c83d0c5a590a4c4d81ffc3d14711b11d75,GLOBAL_COVERAGE_CONTROL,,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",90.58377806694097,False
H1C1B_V2_024,6a9002b5986c70a1e29959b7510ec64cc624da706f29e06cbd5a04e32ec13ce6,GLOBAL_COVERAGE_CONTROL,,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",83.63422322423503,False
