geometry_uid,exact_hash,subrole,parent_reference_geometry,broadband_status,projector_pass_count_9,failed_wavelengths,phase_450_deg,near_miss_promoted_to_strict
H1C1B_V2_001,9b09f33f512b2331ff106e1054f7daecffbc23911d5740b24567851215d4684b,G18_RED_EDGE_RESCUE_PROJECTOR_PRESERVING,GLOBAL_018,CENTER_ONLY_COMPATIBLE,8,[454.0],109.37398595639968,False
H1C1B_V2_002,1223fccd0ea879a8b9b0942a1f977ff1fc2bd8e38b439dfb33388a977386db0c,G18_RED_EDGE_RESCUE_SECONDARY_COMPENSATION,GLOBAL_018,CENTER_ONLY_COMPATIBLE,8,[453.5],110.4120720801377,False
H1C1B_V2_003,82ae7eddd69475b1d8e7ad2af7c7ee4c26ebfe1d681a9ab10fcb0a162e307a71,G18_RED_EDGE_RESCUE_PHASE_PRESERVING,GLOBAL_018,PARTIALLY_COMPATIBLE,7,"[450.0, 450.5]",114.44160584082778,False
H1C1B_V2_004,04cb9d44d747b7ef318eaafa8f93a9794b396880c31fe27952273b4755e6fabf,G2_RED_EDGE_RESCUE_PROJECTOR_REPAIR,GLOBAL_002,CENTER_ONLY_COMPATIBLE,7,"[453.5, 454.0]",84.9849017737622,False
H1C1B_V2_005,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82,G2_RED_EDGE_RESCUE_STRONGER_COMPENSATION,GLOBAL_002,BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],88.88387739803653,False
H1C1B_V2_006,1409bb7ab8472fb10cb6dcb206ee2b7b5f1b5ad57cf12abd17ab888ea16fe477,G2_RED_EDGE_RESCUE_PHASE_DIVERSITY,GLOBAL_002,CENTER_ONLY_COMPATIBLE,7,"[453.5, 454.0]",84.65147549848405,False
H1C1B_V2_007,19738137aaa1e4b8261de1f1241432964e14358630b39713caad5dbdde72cb8d,C_PROJECTOR_FIRST_COMPENSATION,C,CENTER_ONLY_COMPATIBLE,3,"[450.5, 451.0, 451.5, 452.0, 452.5, 453.0]",112.98866621319257,False
H1C1B_V2_008,da6aaa5979114e372a353797bfe61f62caca78d25f460bd81b195c53ef83ea88,C_PHASE_REGION_PRESERVING_COMPENSATION,C,CENTER_ONLY_COMPATIBLE,4,"[451.5, 452.0, 452.5, 453.0, 453.5]",111.85244543628738,False
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,G6_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_006,BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],114.04081109321191,False
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,G6_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_006,BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],99.58328165695178,False
H1C1B_V2_011,1bcb3c662d7ac1db4b099402ea5570af6fe2e734e095c213b662a2d13b4de3b6,G15_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_015,INCOMPATIBLE,0,"[450.0, 450.5, 451.0, 451.5, 452.0, 452.5, 453.0, 453.5, 454.0]",,False
H1C1B_V2_012,9191ce264313547454e8730bd323ea9ae49244af138113c2fa5b75e1a627857b,G15_STRICT_NEIGHBOR_PHASE_DIVERSIFICATION,GLOBAL_015,BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],81.83347276769564,False
