geometry_uid,exact_hash,role,source,global_or_seed,phase_trajectory_deg,broadband_status,projector_pass_count,failed_wavelengths,worst_projector_error,median_projector_error,min_Txx,median_Txx,max_Txx,min_throughput,median_throughput,max_throughput,x_case_uid,y_case_uid,solver_entered_x,solver_entered_y,source_stage,strict_definition,near_miss_promoted_to_strict
H1C1B_V2_001,9b09f33f512b2331ff106e1054f7daecffbc23911d5740b24567851215d4684b,SELECTIVITY_FRONTIER,H1C1B_V2_LOCAL_EMPIRICAL_HYPOTHESIS,FRONTIER,"[109.37398595639968, 106.27594380624237, 102.85016521519776, 99.32382990471467, 95.5622182462323, 90.85595579928321, 84.77321021931652, 76.55675420082412, 61.87783211806078]",CENTER_ONLY_COMPATIBLE,8,[454.0],0.3135098231114207,0.07174411779308976,0.8661652184640637,0.9840448316569542,0.9971426083223032,0.49852972392767414,0.5276658705817591,0.6308649763859959,H1C1B_V2_001_Px,H1C1B_V2_001_Py,True,True,H1C1B_BROADBAND_ADAPTIVE,9/9 projector pass only,False
H1C1B_V2_002,1223fccd0ea879a8b9b0942a1f977ff1fc2bd8e38b439dfb33388a977386db0c,SELECTIVITY_FRONTIER,H1C1B_V2_LOCAL_EMPIRICAL_HYPOTHESIS,FRONTIER,"[110.4120720801377, 107.17444649485526, 103.98490446868948, 100.57766937449423, 96.5652859262616, 92.10270030415342, 86.91597119554052, 79.36832178037923, 67.11152144693011]",CENTER_ONLY_COMPATIBLE,8,[453.5],0.3768936100693917,0.05605408529855138,0.9314136694409139,0.9780730137488034,0.9995617306790165,0.4733999986369245,0.5204520263684581,0.7848362892392466,H1C1B_V2_002_Px,H1C1B_V2_002_Py,True,True,H1C1B_BROADBAND_ADAPTIVE,9/9 projector pass only,False
H1C1B_V2_003,82ae7eddd69475b1d8e7ad2af7c7ee4c26ebfe1d681a9ab10fcb0a162e307a71,SELECTIVITY_FRONTIER,H1C1B_V2_LOCAL_EMPIRICAL_HYPOTHESIS,FRONTIER,"[114.44160584082778, 111.68414768388266, 107.87116647930623, 104.33525804796074, 101.60498198191169, 97.5139609592473, 91.7556440385656, 86.7054496767538, 79.8780663135961]",PARTIALLY_COMPATIBLE,7,"[450.0, 450.5]",0.21129780145885413,0.0832925403596756,0.9529907769438936,0.9709153775345833,1.0316756789996553,0.4894213214025492,0.5392779540184773,0.6114242532775347,H1C1B_V2_003_Px,H1C1B_V2_003_Py,True,True,H1C1B_BROADBAND_ADAPTIVE,9/9 projector pass only,False
H1C1B_V2_004,04cb9d44d747b7ef318eaafa8f93a9794b396880c31fe27952273b4755e6fabf,SELECTIVITY_FRONTIER,H1C1B_V2_LOCAL_EMPIRICAL_HYPOTHESIS,FRONTIER,"[84.9849017737622, 78.28838499384835, 66.63047255095626, 23.642079211170653, 126.9298882472873, 101.79287013352888, 92.21003407582214, 87.84025504607052, 83.98074993148487]",CENTER_ONLY_COMPATIBLE,7,"[453.5, 454.0]",0.26597149496550754,0.08547895740192668,0.29123358708603464,0.8904647455622373,1.029351741482301,0.14749335492437732,0.49771477707328454,0.6065600582639458,H1C1B_V2_004_Px,H1C1B_V2_004_Py,True,True,H1C1B_BROADBAND_ADAPTIVE,9/9 projector pass only,False
H1C1B_V2_005,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82,SELECTIVITY_FRONTIER,H1C1B_V2_LOCAL_EMPIRICAL_HYPOTHESIS,FRONTIER,"[88.88387739803653, 80.0665881286842, 66.1051872543186, 30.38575177117724, 147.10161737912108, 114.35266318870049, 102.5686277330754, 95.73280593748382, 89.78621314989005]",BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],0.16950970137190957,0.07732586158374033,0.07149961831985245,0.7710213236287565,1.0094646616779355,0.039584551960884576,0.4178188655814009,0.5865580477766854,H1C1B_V2_005_Px,H1C1B_V2_005_Py,True,True,H1C1B_BROADBAND_ADAPTIVE,9/9 projector pass only,False
H1C1B_V2_006,1409bb7ab8472fb10cb6dcb206ee2b7b5f1b5ad57cf12abd17ab888ea16fe477,SELECTIVITY_FRONTIER,H1C1B_V2_LOCAL_EMPIRICAL_HYPOTHESIS,FRONTIER,"[84.65147549848405, 76.28634488924001, 61.67901113934414, 17.16651600032344, 120.1710907048734, 101.47026125847844, 91.66776950423434, 87.118007335073, 84.00308477232113]",CENTER_ONLY_COMPATIBLE,7,"[453.5, 454.0]",0.2632066479307513,0.08809949635675018,0.11339852081991605,0.898447466559694,1.005352555489907,0.058614677015728076,0.4982494123780505,0.6120202614599773,H1C1B_V2_006_Px,H1C1B_V2_006_Py,True,True,H1C1B_BROADBAND_ADAPTIVE,9/9 projector pass only,False
H1C1B_V2_007,19738137aaa1e4b8261de1f1241432964e14358630b39713caad5dbdde72cb8d,SELECTIVITY_FRONTIER,H1C1B_V2_LOCAL_EMPIRICAL_HYPOTHESIS,FRONTIER,"[112.98866621319257, 110.28702722996343, 107.25208597703204, 104.24500729761951, 101.19191677861266, 97.87712531034447, 94.44001228033954, 90.76717361452347, 86.5002278676767]",CENTER_ONLY_COMPATIBLE,3,"[450.5, 451.0, 451.5, 452.0, 452.5, 453.0]",0.47395894854462495,0.25503124359849094,0.9590320950194509,0.983409428279777,0.9965384388295677,0.5028247079658311,0.6625124604633772,0.9245695212724596,H1C1B_V2_007_Px,H1C1B_V2_007_Py,True,True,H1C1B_BROADBAND_ADAPTIVE,9/9 projector pass only,False
H1C1B_V2_008,da6aaa5979114e372a353797bfe61f62caca78d25f460bd81b195c53ef83ea88,SELECTIVITY_FRONTIER,H1C1B_V2_LOCAL_EMPIRICAL_HYPOTHESIS,FRONTIER,"[111.85244543628738, 108.62249313631264, 105.82176807686426, 102.92457547359055, 99.0435680241211, 95.18343210621288, 91.4436643765631, 85.44865832035646, 76.57477042386006]",CENTER_ONLY_COMPATIBLE,4,"[451.5, 452.0, 452.5, 453.0, 453.5]",0.4929400566894535,0.24325187532408044,0.9574563568506453,0.9783216828326758,1.0055533620864079,0.5022858934866878,0.64317441200034,0.9647002250318826,H1C1B_V2_008_Px,H1C1B_V2_008_Py,True,True,H1C1B_BROADBAND_ADAPTIVE,9/9 projector pass only,False
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,SELECTIVITY_FRONTIER,H1C1B_V2_LOCAL_EMPIRICAL_HYPOTHESIS,FRONTIER,"[114.04081109321191, 99.52944014301875, 92.28850113966564, 89.41684908648898, 82.90378472517136, 62.384351865604174, 95.29608357762623, 68.07944131233614, 59.67666917987361]",BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],0.15132501084260097,0.08952537789090664,0.6384879392021248,0.8868351905076438,1.0443989497240458,0.346227794317933,0.49353451390138103,0.5788898865998088,H1C1B_V2_009_Px,H1C1B_V2_009_Py,True,True,H1C1B_BROADBAND_ADAPTIVE,9/9 projector pass only,False
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,SELECTIVITY_FRONTIER,H1C1B_V2_LOCAL_EMPIRICAL_HYPOTHESIS,FRONTIER,"[99.58328165695178, 94.67007156898751, 90.92482178773611, 83.96446043286744, 74.71970379117329, 79.56905184015181, 69.20144960369328, 58.54381023763847, 41.0973587381834]",BROADBAND_PROJECTOR_COMPATIBLE_STRICT,9,[],0.13472293664637902,0.07926102795425916,0.5747444050650641,0.9724008116870992,1.0210755842288557,0.2976976125056778,0.5260012137104804,0.5785152563519145,H1C1B_V2_010_Px,H1C1B_V2_010_Py,True,True,H1C1B_BROADBAND_ADAPTIVE,9/9 projector pass only,False
