geometry_uid,exact_hash,major_role,subrole,parent_reference,wavelength_nm,phi_deg,projector_error,projector_margin,Txx,throughput
H1C1B_V2_005,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82,SELECTIVITY_FRONTIER,G2_RED_EDGE_RESCUE_STRONGER_COMPENSATION,GLOBAL_002,451.5,30.38575177117724,0.0723524243252156,0.11414371268322698,0.4869786149759124,0.26248040082553825
H1C1B_V2_005,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82,SELECTIVITY_FRONTIER,G2_RED_EDGE_RESCUE_STRONGER_COMPENSATION,GLOBAL_002,452.0,147.10161737912108,0.09687473044402906,0.08962140656441353,0.07149961831985245,0.039584551960884576
H1C1B_V2_005,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82,SELECTIVITY_FRONTIER,G2_RED_EDGE_RESCUE_STRONGER_COMPENSATION,GLOBAL_002,452.5,114.35266318870049,0.0010935442289102815,0.1854025927795323,0.49671223373089834,0.2486280025828192
H1C1B_V2_005,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82,SELECTIVITY_FRONTIER,G2_RED_EDGE_RESCUE_STRONGER_COMPENSATION,GLOBAL_002,453.0,102.5686277330754,0.0285065660568824,0.1579895709515602,0.7040389680995606,0.36234880417152815
H1C1B_V2_005,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82,SELECTIVITY_FRONTIER,G2_RED_EDGE_RESCUE_STRONGER_COMPENSATION,GLOBAL_002,453.5,95.73280593748382,0.07732586158374033,0.10917027542470226,0.7710213236287565,0.4178188655814009
H1C1B_V2_005,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82,SELECTIVITY_FRONTIER,G2_RED_EDGE_RESCUE_STRONGER_COMPENSATION,GLOBAL_002,454.0,89.78621314989005,0.14936242224866336,0.037133714759779224,0.8091207665846825,0.47559665111644617
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_006,450.0,114.04081109321191,0.15132501084260097,0.035171126165841615,0.8860455720797673,0.5220170167613112
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_006,450.5,99.52944014301875,0.1223562232315678,0.06413991377687478,0.9163576464291447,0.5220555712268937
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_006,451.0,92.28850113966564,0.11269458121187947,0.07380155579656311,1.0273042665233019,0.5788898865998088
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_006,451.5,89.41684908648898,0.09775571182407505,0.08874042518436753,1.0443989497240458,0.5787783660207572
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_006,452.0,82.90378472517136,0.08952537789090664,0.09697075911753594,0.8868351905076438,0.4870180722079387
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_006,452.5,62.384351865604174,0.08783575683501665,0.09866038017342593,0.8068518657622964,0.4422733470469753
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_006,453.0,95.29608357762623,0.0779366219573121,0.10855951505113048,0.6384879392021248,0.346227794317933
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_006,453.5,68.07944131233614,0.03370293332996521,0.15279320367847737,0.9538019061666518,0.49353451390138103
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,SELECTIVITY_FRONTIER,G6_STRICT_NEIGHBOR_ROBUSTNESS,GLOBAL_006,454.0,59.67666917987361,0.019966954572381623,0.16652918243606096,0.8690866290809316,0.44339659419429195
