monitor,wavelength_nm,z_nm,monitor_T_signed,raw_power_W,sourcepower_W,raw_over_sourcepower,path_C_available,path_A,path_B,path_C,path_AB_diff
N1_DIAG_PML_LOWER,445.0,-500.0,-0.2176661557388126,-2.047406928564132e-16,9.406179484425257e-16,-0.2176661557388126,False,-0.2176661557388126,-0.2176661557388126,nan,0.0
N1_DIAG_PML_LOWER,445.99999999999994,-500.0,-0.22404242298836108,-2.1075269217993254e-16,9.406820787279249e-16,-0.2240424229883611,False,-0.22404242298836108,-0.2240424229883611,nan,2.7755575615628914e-17
N1_DIAG_PML_LOWER,446.99999999999994,-500.0,-0.22184154363876787,-2.0869649612254807e-16,9.407457805215044e-16,-0.22184154363876787,False,-0.22184154363876787,-0.22184154363876787,nan,0.0
N1_DIAG_PML_LOWER,448.00000000000006,-500.0,-0.23816928966782958,-2.24071824968542e-16,9.408090576289282e-16,-0.23816928966782958,False,-0.23816928966782958,-0.23816928966782958,nan,0.0
N1_DIAG_PML_LOWER,449.0,-500.0,-0.3040018041905145,-2.8602675931155885e-16,9.408719138137389e-16,-0.3040018041905145,False,-0.3040018041905145,-0.3040018041905145,nan,0.0
N1_DIAG_PML_LOWER,450.0,-500.0,-0.2663127555269014,-2.505828202635347e-16,9.409343527979164e-16,-0.2663127555269014,False,-0.2663127555269014,-0.2663127555269014,nan,0.0
N1_DIAG_PML_LOWER,450.9999999999999,-500.0,-0.2566261127357411,-2.414842426518977e-16,9.40996378262427e-16,-0.25662611273574115,False,-0.2566261127357411,-0.25662611273574115,nan,5.551115123125783e-17
N1_DIAG_PML_LOWER,451.99999999999994,-500.0,-0.2443697360180431,-2.2996609353424647e-16,9.410579938477607e-16,-0.24436973601804307,False,-0.2443697360180431,-0.24436973601804307,nan,-2.7755575615628914e-17
N1_DIAG_PML_LOWER,453.00000000000006,-500.0,-0.242022891719873,-2.277723910005475e-16,9.411192031544703e-16,-0.24202289171987298,False,-0.242022891719873,-0.24202289171987298,nan,-2.7755575615628914e-17
N1_DIAG_PML_LOWER,453.9999999999999,-500.0,-0.2370516120791592,-2.231082385664201e-16,9.411800097436883e-16,-0.23705161207915923,False,-0.2370516120791592,-0.23705161207915923,nan,2.7755575615628914e-17
N1_DIAG_PML_LOWER,455.00000000000006,-500.0,-0.2313680728124926,-2.1777298136636432e-16,9.412404171376484e-16,-0.23136807281249258,False,-0.2313680728124926,-0.23136807281249258,nan,-2.7755575615628914e-17
N1_DIAG_LOWER_OUTSIDE,445.0,-110.0,0.7812348121971248,7.348434863007414e-16,9.406179484425257e-16,0.7812348121971248,False,0.7812348121971248,0.7812348121971248,nan,0.0
N1_DIAG_LOWER_OUTSIDE,445.99999999999994,-110.0,0.7747271844519121,7.287719783172572e-16,9.406820787279249e-16,0.7747271844519121,False,0.7747271844519121,0.7747271844519121,nan,0.0
N1_DIAG_LOWER_OUTSIDE,446.99999999999994,-110.0,0.7770209576164954,7.309791872544968e-16,9.407457805215044e-16,0.7770209576164954,False,0.7770209576164954,0.7770209576164954,nan,0.0
N1_DIAG_LOWER_OUTSIDE,448.00000000000006,-110.0,0.7610901665375193,7.160405223508076e-16,9.408090576289282e-16,0.7610901665375193,False,0.7610901665375193,0.7610901665375193,nan,0.0
N1_DIAG_LOWER_OUTSIDE,449.0,-110.0,0.6957386711343794,6.546009750244311e-16,9.408719138137389e-16,0.6957386711343795,False,0.6957386711343794,0.6957386711343795,nan,-1.1102230246251565e-16
N1_DIAG_LOWER_OUTSIDE,450.0,-110.0,0.7332236395997378,6.899153107829119e-16,9.409343527979164e-16,0.7332236395997378,False,0.7332236395997378,0.7332236395997378,nan,0.0
N1_DIAG_LOWER_OUTSIDE,450.9999999999999,-110.0,0.7425535349125371,6.987401870186599e-16,9.40996378262427e-16,0.742553534912537,False,0.7425535349125371,0.742553534912537,nan,1.1102230246251565e-16
N1_DIAG_LOWER_OUTSIDE,451.99999999999994,-110.0,0.7554985830993923,7.109679809663399e-16,9.410579938477607e-16,0.7554985830993923,False,0.7554985830993923,0.7554985830993923,nan,0.0
