wavelength_nm,linear_input,fdtd_status,fresh_run,result_fsp,runtime_s
447.25,x,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r2_dense_448nm_notch_check\_saved_fsp\BW1R2_B4INT_J1J2_D194_T90_PSI97_H525_447p25NM_XIN.fsp,43.886
447.25,y,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r2_dense_448nm_notch_check\_saved_fsp\BW1R2_B4INT_J1J2_D194_T90_PSI97_H525_447p25NM_YIN.fsp,41.927
447.75,x,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r2_dense_448nm_notch_check\_saved_fsp\BW1R2_B4INT_J1J2_D194_T90_PSI97_H525_447p75NM_XIN.fsp,41.895
447.75,y,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r2_dense_448nm_notch_check\_saved_fsp\BW1R2_B4INT_J1J2_D194_T90_PSI97_H525_447p75NM_YIN.fsp,43.766
448.25,x,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r2_dense_448nm_notch_check\_saved_fsp\BW1R2_B4INT_J1J2_D194_T90_PSI97_H525_448p25NM_XIN.fsp,41.787
448.25,y,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r2_dense_448nm_notch_check\_saved_fsp\BW1R2_B4INT_J1J2_D194_T90_PSI97_H525_448p25NM_YIN.fsp,43.859
448.75,x,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r2_dense_448nm_notch_check\_saved_fsp\BW1R2_B4INT_J1J2_D194_T90_PSI97_H525_448p75NM_XIN.fsp,45.929
448.75,y,ok,True,D:\project\blue_apcd_microled_metasurface\outputs\stage10_cp_bw1r2_dense_448nm_notch_check\_saved_fsp\BW1R2_B4INT_J1J2_D194_T90_PSI97_H525_448p75NM_YIN.fsp,43.828
