candidate_id,source_tables,top_pair_count,bottom_pair_count,cavity_spacer_nm,top_termination_nm,bottom_termination_nm,normal_offaxis_proxy,offaxis_20_60_penalty,offaxis_30_40_lobe_penalty,te_tm_offaxis_risk_guard_penalty,spectral_center_nm_proxy,spectral_fwhm_nm_proxy,angular_fwhm_deg_proxy,peak_abs_angle_deg_proxy,d5a_min_30_40_phase_margin_deg,tm_offaxis_resonance_crosses_453,center_only_false_positive_risk,source_position_stability_required_flag,center_vs_xline_mismatch_risk,hard_pass,hard_fail_reasons,v2_score
R2_4D2_OPT_12232,d2_top20,7,11,244.0,39.0,53.0,8.782271,1.0,1.0,0.0,448.5,3.846,10.657,6.0,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.3209287771532283
R2_4D2_OPT_12216,d2_top20,9,4,335.0,49.0,40.0,6.377918,1.0,1.0,0.0,449.0,6.785,6.315,6.0,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.363547379147066
D5_BASE_13461,d5_shortlist;d5_top20;d5a_manifest,10,12,182.0,0.0,113.0,133362492198.47276,0.6,1.0,1.0,453.0,missing,missing,missing,5.4221617729340625,True,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;TE_TM_offaxis_risk_guard_fail;30_40_lobe_penalty_high,-3.38
D5_BASE_13481,d5_top20;d5a_manifest,10,12,182.0,5.0,108.0,122123311926.56564,0.6,1.0,1.0,453.0,missing,missing,missing,2.481493799282428,True,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;TE_TM_offaxis_risk_guard_fail;30_40_lobe_penalty_high,-3.38
D5_BASE_14322,d5_top20;d5a_manifest,10,12,184.0,5.0,113.0,114714038202.57716,0.6,1.0,1.0,453.0,missing,missing,missing,-2.1094163175141656,True,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;TE_TM_offaxis_risk_guard_fail;30_40_lobe_penalty_high,-3.38
R2_4D2_OPT_13268,d2_top20,9,12,264.0,73.0,4.0,8.099615,1.0,1.0,0.0,448.0,4.444,11.49,6.0,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.3943570826693215
R2_4D2_OPT_12887,d2_top20,10,8,265.0,0,27.0,7.787948,1.0,1.0,0.0,448.0,4.5,10.868,6.5,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.405717971279599
R2_4D2_OPT_03742,d2_top20,8,12,331,58,80,7.526057,1.0,1.0,0.0,448.0,4.359,8.132,6.5,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.41562166452882
R2_4D2_OPT_13013,d2_top20,6,10,231.0,90,70.0,8.136453,1.0,1.0,0.0,447.75,3.969,10.025,7.0,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.4180432532719234
R2_4D2_OPT_12352,d2_top20,6,12,180,33.0,47.0,7.879081,1.0,1.0,0.0,447.75,4.645,10.803,6.5,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.427349623188354
D5_BASE_13881,d5_top20;d5a_manifest,10,12,183.0,0.0,113.0,118453489494.71773,0.6,1.0,1.0,452.5,missing,missing,missing,0.204194867037105,True,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;TE_TM_offaxis_risk_guard_fail;30_40_lobe_penalty_high,-3.4299999999999997
D5_BASE_08955,d5_top20;d5a_manifest,10,12,171.0,30.0,53.0,85386285633.70113,0.6,1.0,1.0,452.5,missing,missing,missing,1.7742403610457784,True,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;TE_TM_offaxis_risk_guard_fail;30_40_lobe_penalty_high,-3.4299999999999997
R2_4D2_OPT_12341,d2_top20,5,11,180,19.0,42.0,8.118308,1.0,1.0,0.0,447.5,4.905,11.479,6.0,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.4436896506892576
R2_4D2_OPT_12917,d2_top20,9,12,329.0,86.0,38.0,7.244869,1.0,1.0,0.0,447.5,4.676,10.222,7.5,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.4766463086209676
R2_4D2_OPT_12335,d2_top20,6,12,180,20.0,43.0,6.331443,1.0,1.0,0.0,447.75,4.828,10.718,7.5,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.490664865726417
R2_4D2_OPT_13010,d2_top20,8,11,228.0,86.0,69.0,7.388602,1.0,1.0,0.0,447.25,3.493,8.388,7.5,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.495958484563216
R2_4D2_OPT_12492,d2_top20,10,4,247.0,87.0,57.0,6.17639,1.0,1.0,0.0,447.75,5.217,6.516,7.0,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.4978435259028386
R2_4D2_OPT_12371,d2_top20,9,12,252.0,3.0,74.0,4.015853,1.0,1.0,0.0,448.0,3.513,10.047,9.0,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.5974814619261677
R2_4D2_OPT_12392,d2_top20,9,10,261.0,0,57.0,4.175538,1.0,1.0,0.0,458.75,3.827,10.444,9.0,missing,False,high,requires_tri_point_FDTD,high,False,center_only_false_positive_risk_high;30_40_lobe_penalty_high,-3.661191706407168
