D5_score,bottom_pair_count,bottom_termination_nm,candidate_id,cavity_spacer_nm,combined_accept,failure_mode,pass_level,scale_profile,score,shortlist_role,source_table,top_pair_count,top_termination_nm
,8,27.0,R2_4D2_OPT_12887,265.0,,spectral_peak_outside_450_456;30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,,-15.106419,,d2_top20,10,0
,12,74.0,R2_4D2_OPT_12371,252.0,,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,,-15.946866,,d2_top20,9,3.0
,4,40.0,R2_4D2_OPT_12216,335.0,,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,,-17.469013,,d2_top20,9,49.0
,12,38.0,R2_4D2_OPT_12917,329.0,,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,,-17.817777,,d2_top20,9,86.0
,5,31,R2_4D2_OPT_04463,233,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,,-19.291036,,d2_top20,7,76
,12,43.0,R2_4D2_OPT_12335,180,,peak_angle_gt7;spectral_peak_outside_450_456;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,,-19.448494,,d2_top20,6,20.0
,9,85.0,R2_4D2_OPT_12110,231.0,,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;normal_offaxis_ratio_below_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,,-19.625605,,d2_top20,9,89.0
,5,31.0,R2_4D2_OPT_04463,233.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-19.291036,,d3_near_pass,7,76.0
,4,38.0,R2_4D2_OPT_11775,337.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-21.474728,,d3_near_pass,9,40.0
,4,59.0,R2_4D2_OPT_12488,253.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-24.944722,,d3_near_pass,9,78.0
,4,82.0,R2_4D2_OPT_12312,323.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-27.531887,,d3_near_pass,7,70.0
,4,73.0,R2_4D2_OPT_12277,328.0,,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,,,-27.645491,,d3_near_pass,9,52.0
