"path","absolute_path","sha256","bytes"
"reports/lp_branch_2026_08_16_formal_closeout/01_CURRENT_STATUS.md","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\01_CURRENT_STATUS.md","D50D5957C40AD7E3A447C4B5743E1A85512B4ADE1184AC8D6247F13748BC7E74","1024"
"reports/lp_branch_2026_08_16_formal_closeout/02_STAGE_INVENTORY.csv","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\02_STAGE_INVENTORY.csv","1AAF091ACD4A726A4B3DB7EFA223385ACBC0DF51D13C3345DF67E20706959C27","8757"
"reports/lp_branch_2026_08_16_formal_closeout/03_PHYSICS_CONCLUSIONS.md","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\03_PHYSICS_CONCLUSIONS.md","9D5C814A9EB120A84188D8012B81F8E8289E5DE826792B7C3D108A04ED507593","878"
"reports/lp_branch_2026_08_16_formal_closeout/04_QUANTITATIVE_EVIDENCE.md","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\04_QUANTITATIVE_EVIDENCE.md","B9E7FE8742DCCD3C8DF642CF39E911A92A11079183F33067D7A432506621D7F0","1496"
"reports/lp_branch_2026_08_16_formal_closeout/05_DATASET_REGISTRY_INVENTORY.csv","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\05_DATASET_REGISTRY_INVENTORY.csv","D2274F175C7489B60AA0EF4AF82B4D6238DA7E03D41AA44514B8F44E5AE003CA","1946"
"reports/lp_branch_2026_08_16_formal_closeout/06_ML_MODEL_ARCHIVE.md","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\06_ML_MODEL_ARCHIVE.md","13B70CCBC6C18A0C098C602CC641195C41F45C18A5C8179306D10B950398AA0E","1694"
"reports/lp_branch_2026_08_16_formal_closeout/07_PAPER_A_HANDOFF.md","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\07_PAPER_A_HANDOFF.md","5850DAA8D6C7408171A737D3CDA4386D044E422DFEF99CD87E136CF46EEA2B07","1163"
"reports/lp_branch_2026_08_16_formal_closeout/08_REMOTE_WORKFLOW.md","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\08_REMOTE_WORKFLOW.md","A9B5D06DC7EBC7A783AEF3FC15B3AF92A93FA053F59561C462D2557A0A34F6BA","613"
"reports/lp_branch_2026_08_16_formal_closeout/09_SCHEDULER_AUTHORITY.md","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\09_SCHEDULER_AUTHORITY.md","CD7EBDA218694125190252139CD375A19A0942A6E0A3F5E86E83283C0EB3581E","569"
"reports/lp_branch_2026_08_16_formal_closeout/10_REOPEN_CONDITIONS.md","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\10_REOPEN_CONDITIONS.md","F14CCCC0C4AFAFA22926BCB0CAFA58A8127025C22BD9F17AAD9D2873A6D8CB6E","642"
"reports/lp_branch_2026_08_16_formal_closeout/11_PROVENANCE_MANIFEST.json","D:\project\worktrees\blue_apcd_lp_global_h_manifold_v1\reports/lp_branch_2026_08_16_formal_closeout\11_PROVENANCE_MANIFEST.json","BE32CD21809F25D7124A91E58094F84FA6661F8A8C8A11818FC3D4365E7F7AE2","2214"
