slot,geometry_id,geometry_hash,row_count,p_rows,s_rows,cnn_eta_plus1_mae,mlp_eta_plus1_mae,lf_eta_plus1_mae,cnn_eta_uncertainty_mean,quality_gate_all
U1,K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,22,11,11,0.20968923430057212,0.2621184382606007,0.41509605441852737,0.03758435730229725,True
U2,K6X_D100_D140_D145_D155_D225_D230,b3675b12a5a697a0cb36ebd8799b9f4e45182e7384a43255e7f003887d9785d6,22,11,11,0.46235914489428875,0.48421880157500274,0.07848803853825596,0.029475131474266,True
D1,K6X_D100_D200_D205_D210_D215_D220,be59997cf141c53a03303d7cf05734da8b1ae25d0a64f2927ab681a0f9ecc96b,22,11,11,0.5662419640066132,0.50846256652981,0.11742774144116014,0.02901730364696546,True
D2,K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,22,11,11,0.8299218659236902,0.7946400370650545,0.2704071557989601,0.022881698900495063,True
X1,K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,22,11,11,0.2119917712830812,0.17007197904276497,0.2792705006064115,0.015725075309588152,True
P1,K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,22,11,11,0.6109777268443022,0.5205397510475159,0.17266854829640435,0.008926711500283669,True
