geometry_id,geometry_hash,wavelength_nm,p_T_total,s_T_total,delta_s_minus_p_T_total,abs_delta_T_total,p_R_total,s_R_total,delta_s_minus_p_R_total,abs_delta_R_total,p_eta_plus1,s_eta_plus1,delta_s_minus_p_eta_plus1,abs_delta_eta_plus1,p_eta_0,s_eta_0,delta_s_minus_p_eta_0,abs_delta_eta_0,p_eta_minus1,s_eta_minus1,delta_s_minus_p_eta_minus1,abs_delta_eta_minus1,p_directionality,s_directionality,delta_s_minus_p_directionality,abs_delta_directionality
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,445,0.8541071177781783,0.8398897035107306,-0.014217414267447714,0.014217414267447714,0.14574390535878923,0.1599173898771283,0.01417348451833908,0.01417348451833908,0.5723249082978095,0.5835137532880088,0.011188844990199343,0.011188844990199343,0.011963960308042301,0.01092767508893958,-0.0010362852191027217,0.0010362852191027217,0.009503699433470021,0.0138767750271974,0.004373075593727379,0.004373075593727379,0.9836658092998765,0.9767710159946233,-0.006894793305253111,0.006894793305253111
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,446,0.8461344152133722,0.8497215186206453,0.0035871034072730845,0.0035871034072730845,0.1534247704051309,0.1504467220955512,-0.0029780483095796784,0.0029780483095796784,0.5667730378856092,0.5969194290161967,0.03014639113058748,0.03014639113058748,0.014093290509367487,0.013045273919867779,-0.0010480165894997083,0.0010480165894997083,0.011467823510195811,0.012738872102107108,0.0012710485919112963,0.0012710485919112963,0.9801677393006889,0.9791048984673217,-0.0010628408333671624,0.0010628408333671624
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,447,0.8192509102635384,0.8558821447703331,0.03663123450679473,0.03663123450679473,0.18050844071889155,0.1440918577952689,-0.036416582923622653,0.036416582923622653,0.5298544542145659,0.6069148611990657,0.07706040698449979,0.07706040698449979,0.020846992819094575,0.014715415302991449,-0.006131577516103126,0.006131577516103126,0.016734474875284285,0.0119530635651871,-0.004781411310097185,0.004781411310097185,0.9693838020042785,0.9806855985148359,0.011301796510557405,0.011301796510557405
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,448,0.7269062965457966,0.8595280127706865,0.13262171622488983,0.13262171622488983,0.2723518756966284,0.14061454667568368,-0.1317373290209447,0.1317373290209447,0.3792871151414751,0.6152264941939513,0.23593937905247614,0.23593937905247614,0.023967589062393834,0.015718335450381298,-0.008249253612012536,0.008249253612012536,0.021142944722381575,0.011503666477195546,-0.009639278245186029,0.009639278245186029,0.9471994067339249,0.9816449451469247,0.0344455384129998,0.0344455384129998
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,449,0.8198063686793358,0.8614459295258033,0.04163956084646758,0.04163956084646758,0.1795647262379819,0.1385987226103205,-0.040966003627661396,0.040966003627661396,0.5506960783734511,0.6227719863495941,0.07207590797614294,0.07207590797614294,0.0007478296841015277,0.01634130252052178,0.015593472836420253,0.015593472836420253,0.004296101561036591,0.011029834115020254,0.006733732553983663,0.006733732553983663,0.9922591673966583,0.982597345481061,-0.00966182191559728,0.00966182191559728
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,450,0.8360455951346621,0.8632785092361073,0.027232914101445127,0.027232914101445127,0.16362038637476806,0.13678693315261212,-0.02683345322215594,0.02683345322215594,0.5926708298290977,0.6292901841384309,0.03661935430933316,0.03661935430933316,0.0013072567104778616,0.016532416971571744,0.015225160261093882,0.015225160261093882,0.0038493238212511595,0.01063149564565153,0.006782171824400371,0.006782171824400371,0.9935470347519768,0.9833862549410128,-0.010160779810963971,0.010160779810963971
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,451,0.8348747526387473,0.8660564388261571,0.031181686187409796,0.031181686187409796,0.16467879739652816,0.13396647520702165,-0.030712322189506508,0.030712322189506508,0.6068207031065066,0.632802594660839,0.025981891554332393,0.025981891554332393,0.0028746874155690153,0.017174508838080506,0.01429982142251149,0.01429982142251149,0.004038981257104094,0.010019855940348902,0.0059808746832448086,0.0059808746832448086,0.9933880376124152,0.9844127162469543,-0.008975321365460975,0.008975321365460975
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,452,0.8296690746625012,0.8713951236559875,0.04172604899348631,0.04172604899348631,0.17010002385110798,0.12864682491620139,-0.04145319893490659,0.04145319893490659,0.6157062339379689,0.6346328811699318,0.018926647231962912,0.018926647231962912,0.004656401736088182,0.01827697313616435,0.013620571400076168,0.013620571400076168,0.0039044644373137823,0.009459872859624753,0.0055554084223109704,0.0055554084223109704,0.9936985199778637,0.9853128717868006,-0.008385648191063133,0.008385648191063133
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,453,0.8218083452935296,0.8770441031068316,0.05523575781330192,0.05523575781330192,0.17791940263934866,0.12299557660359631,-0.054923826035752354,0.054923826035752354,0.6229877104391418,0.6356649428299536,0.012677232390811755,0.012677232390811755,0.0070156487950027895,0.019823230830372823,0.012807582035370035,0.012807582035370035,0.0033842367665675617,0.00886603889448611,0.005481802127918548,0.005481802127918548,0.9945970812044428,0.9862442005956563,-0.008352880608786473,0.008352880608786473
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,454,0.8116997884210296,0.8830521378199566,0.07135234939892698,0.07135234939892698,0.18806066198107835,0.11705972841235984,-0.0710009335687185,0.0710009335687185,0.6291412116262127,0.6380561322208477,0.008914920594634945,0.008914920594634945,0.010524003754292657,0.021209860460669437,0.01068585670637678,0.01068585670637678,0.0024958044654465974,0.00845065081590984,0.005954846350463243,0.005954846350463243,0.9960486728898668,0.9869287515032471,-0.009119921386619656,0.009119921386619656
K6X_D100_D130_D135_D155_D160_D225,300fdbe1088aaa5f1740045c52520d3b1a7d01c07078bdea2526e26b7b9eb3d6,455,0.7988084687335582,0.8881339866738233,0.08932551794026511,0.08932551794026511,0.20115666857274306,0.11189633823963839,-0.08926033033310467,0.08926033033310467,0.6315916394353355,0.6403063771592482,0.008714737723912735,0.008714737723912735,0.016143731296580068,0.022518162894548135,0.006374431597968067,0.006374431597968067,0.001344937538753785,0.008061432790080503,0.006716495251326718,0.006716495251326718,0.9978750832426472,0.9875665746103117,-0.010308508632335456,0.010308508632335456
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,445,0.8027212895412202,0.6549415983582332,-0.14777969118298706,0.14777969118298706,0.19600795365889503,0.34724236093458416,0.15123440727568913,0.15123440727568913,0.008278878019326705,0.03251799738845464,0.02423911936912794,0.02423911936912794,0.6566215415370572,0.4699860832606417,-0.18663545827641553,0.18663545827641553,0.00610470733104562,0.03963045634760703,0.033525749016561406,0.033525749016561406,0.5755781898365419,0.4507095537683201,-0.12486863606822174,0.12486863606822174
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,446,0.7937894321193417,0.7587598436004644,-0.035029588518877275,0.035029588518877275,0.2056978320263652,0.2404505047431071,0.0347526727167419,0.0347526727167419,5.228681366895442e-05,0.02243497018075687,0.022382683367087916,0.022382683367087916,0.6894381387336883,0.6119423090559932,-0.07749582967769508,0.07749582967769508,0.005319301684634264,0.06008792911945042,0.054768627434816156,0.054768627434816156,0.009733957410451455,0.27186357206308814,0.2621296146526367,0.2621296146526367
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,447,0.7847599879269597,0.80054659527273,0.01578660734577031,0.01578660734577031,0.21493451055043886,0.1997363653275237,-0.015198145222915155,0.015198145222915155,0.0005653115033242296,0.03846492032479876,0.03789960882147453,0.03789960882147453,0.6717060816613869,0.6710631797012575,-0.0006429019601293939,0.0006429019601293939,0.012114625137806905,0.044787922564633126,0.03267329742682622,0.03267329742682622,0.04458314890079766,0.4620253073625849,0.4174421584617872,0.4174421584617872
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,448,0.7479624449289735,0.7902139766416234,0.04225153171264995,0.04225153171264995,0.25187248968157044,0.20971286086762148,-0.04215962881394897,0.04215962881394897,0.003396732339950668,0.04241164800807059,0.03901491566811992,0.03901491566811992,0.6181704145559418,0.6797048790087957,0.06153446445285393,0.06153446445285393,0.021764174931122718,0.03131373321965625,0.00954955828853353,0.00954955828853353,0.1350003918124118,0.5752652248357625,0.4402648330233507,0.4402648330233507
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,449,0.7319481421983346,0.7892873133220529,0.057339171123718335,0.057339171123718335,0.268085480037059,0.21041211592818762,-0.05767336410887139,0.05767336410887139,0.0014399836643919953,0.04659535420223541,0.04515537053784341,0.04515537053784341,0.6047307468593984,0.6833718952917774,0.07864114843237902,0.07864114843237902,0.023316995305241988,0.026706504645964614,0.003389509340722626,0.003389509340722626,0.05816475694220314,0.6356640190902825,0.5774992621480793,0.5774992621480793
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,450,0.7201820001807265,0.7946506869053298,0.07446868672460327,0.07446868672460327,0.27969502041212696,0.20566705238637153,-0.07402796802575543,0.07402796802575543,0.014641985926250026,0.05445813885514227,0.03981615292889225,0.03981615292889225,0.5487460562746839,0.6867623813675179,0.138016325092834,0.138016325092834,0.03921044055398711,0.023186761216964707,-0.016023679337022406,0.016023679337022406,0.27189092271679477,0.7013743182690465,0.42948339555225173,0.42948339555225173
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,451,0.7465487633308866,0.7754043139588349,0.028855550627948312,0.028855550627948312,0.2529157985817589,0.2241679640294857,-0.0287478345522732,0.0287478345522732,0.022683337002295335,0.06582457935226951,0.04314124234997418,0.04314124234997418,0.5744561201442054,0.6601987871017944,0.08574266695758892,0.08574266695758892,0.039639991116990486,0.018046966369800625,-0.02159302474718986,0.02159302474718986,0.36396222228183644,0.7848261145728269,0.42086389229099047,0.42086389229099047
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,452,0.38297415150024017,0.6242022093413295,0.24122805784108936,0.24122805784108936,0.6117578239838001,0.37623791515246213,-0.23551990883133794,0.23551990883133794,0.0021839196755752644,0.07579602226767808,0.07361210259210281,0.07361210259210281,0.1242320064045319,0.4858959708177391,0.3616639644132072,0.3616639644132072,0.05965823004288839,0.009911473650818119,-0.04974675639207027,0.04974675639207027,0.035314420431979764,0.8843569801614148,0.8490425597294351,0.8490425597294351
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,453,0.7449890122222477,0.26651568085487326,-0.4784733313673744,0.4784733313673744,0.25428084522041494,0.7338219713638774,0.47954112614346245,0.47954112614346245,0.03269823094228204,0.04761545269727765,0.014917221754995609,0.014917221754995609,0.6300985825367303,0.08016369103404365,-0.5499348915026867,0.5499348915026867,0.008595759592312745,0.014534155024022532,0.005938395431709787,0.005938395431709787,0.7918399389104452,0.7661424495356658,-0.025697489374779448,0.025697489374779448
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,454,0.7819841354430157,0.4125597178876785,-0.3694244175553372,0.3694244175553372,0.21827605111626075,0.5879058261967889,0.36962977508052813,0.36962977508052813,0.025739534409933953,0.026383250053723085,0.0006437156437891327,0.0006437156437891327,0.6839649896944164,0.2364328051265452,-0.44753218456787125,0.44753218456787125,0.005275746175453794,0.029853303960366916,0.02457755778491312,0.02457755778491312,0.8298984862984163,0.46914770145967327,-0.36075078483874307,0.36075078483874307
K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,455,0.7860331954597607,0.5925152165497583,-0.19351797891000244,0.19351797891000244,0.2133329511408107,0.4078767377935498,0.19454378665273914,0.19454378665273914,0.030165325254468505,0.04197002376464066,0.011804698510172153,0.011804698510172153,0.6864785526698127,0.4264718574336452,-0.26000669523616754,0.26000669523616754,0.0022781145907094236,0.031034334031171066,0.028756219440461642,0.028756219440461642,0.9297819651189662,0.5748975134063639,-0.3548844517126023,0.3548844517126023
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,445,0.8209820919210414,0.8400449841534848,0.019062892232443396,0.019062892232443396,0.1786737410794595,0.16040327716777114,-0.01827046391168835,0.01827046391168835,0.004667102390910194,0.03640650345549894,0.031739401064588744,0.031739401064588744,0.7474264146406144,0.7397332427826518,-0.0076931718579625885,0.0076931718579625885,0.0014363440512976118,0.007122149436667027,0.005685805385369415,0.005685805385369415,0.7646667231541985,0.8363802010066608,0.07171347785246229,0.07171347785246229
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,446,0.8093673854773495,0.8774353647208776,0.06806797924352803,0.06806797924352803,0.1902799162866384,0.12291358035114855,-0.06736633593548985,0.06736633593548985,0.006931307147826272,0.034341040265143015,0.027409733117316742,0.027409733117316742,0.7317393365581168,0.7787808812477511,0.047041544689634285,0.047041544689634285,0.0027242366653548104,0.007286425520644231,0.004562188855289421,0.004562188855289421,0.7178577697885985,0.8249611072136893,0.10710333742509082,0.10710333742509082
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,447,0.7955316469994199,0.8760425297507571,0.08051088275133722,0.08051088275133722,0.20436517425117517,0.12435983023137945,-0.08000534401979573,0.08000534401979573,0.015501741407022348,0.023623066244768197,0.00812132483774585,0.00812132483774585,0.7033779430318834,0.7998773386438717,0.09649939561198828,0.09649939561198828,0.00481768094478116,0.005822720513812201,0.0010050395690310411,0.0010050395690310411,0.7629026622228977,0.8022562425805967,0.03935358035769898,0.03935358035769898
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,448,0.7838247773998458,0.8620828750008611,0.07825809760101532,0.07825809760101532,0.21615966732864578,0.1384050625154302,-0.07775460481321558,0.07775460481321558,0.03507200801273225,0.017498854577985265,-0.017573153434746983,0.017573153434746983,0.6594761031962563,0.8006605151024891,0.14118441190623288,0.14118441190623288,0.00770047826166941,0.005137898276282238,-0.0025625799853871726,0.0025625799853871726,0.8199665501727458,0.7730284767714095,-0.04693807340133627,0.04693807340133627
K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,449,0.7769763487941743,0.8453088047418263,0.06833245594765203,0.06833245594765203,0.22301343232985157,0.15526894440282402,-0.06774448792702756,0.06774448792702756,0.04014810979038724,0.015982779187492722,-0.02416533060289452,0.02416533060289452,0.629894660912479,0.7889250876569174,0.15903042674443835,0.15903042674443835,0.005290237840683567,0.005005732369278071,-0.00028450547140549537,0.00028450547140549537,0.8835732785963789,0.761501316768542,-0.12207196182783686,0.12207196182783686
