## script_version
command: __h1d_version=version;
succeeded: False
values: {}

## script_selectall_names
command: selectall; __h1d_names=get("name");
succeeded: False
values: {}

## script_selectall_types
command: selectall; __h1d_types=get("type");
succeeded: False
values: {}

## script_getobjectnames
command: __h1d_names=getobjectnames;
succeeded: False
values: {}

## script_getobjects
command: __h1d_names=getobjects;
succeeded: False
values: {}

## script_getnumber
command: __h1d_number=getnumber;
succeeded: False
values: {}

## script_model_selectall
command: groupscope("::model"); selectall; __h1d_names=get("name");
succeeded: False
values: {}

## script_material_db
command: __h1d_materials=getmaterial;
succeeded: False
values: {}
