check,confirmed,evidence
source_dipole_or_mqw,false,object/raw introspection text token scan
plane_wave_only,false,object/raw introspection text token scan
blue_450_453,false,object/raw introspection text token scan
sio2_tio2,false,object/raw introspection text token scan
thickness_100_52,false,object/raw introspection text token scan
m8,false,object/raw introspection text token scan
