candidate_id,canonical_hash_D4A,canonical_hash_builder,canonical_hash_FSP,match
NP_K6X_125_135_150_175_190_210,aaaa5bfab2f727cca9c07754e4449cbadf70b91cdac90e6fbdd87f136a6e4b80,aaaa5bfab2f727cca9c07754e4449cbadf70b91cdac90e6fbdd87f136a6e4b80,aaaa5bfab2f727cca9c07754e4449cbadf70b91cdac90e6fbdd87f136a6e4b80,True
NP_K6X_100_115_130_145_155_185,fb8040eee58b07c912d5cf3e91d740f2142621d314e0c7dd3de715c0ffc6655a,fb8040eee58b07c912d5cf3e91d740f2142621d314e0c7dd3de715c0ffc6655a,fb8040eee58b07c912d5cf3e91d740f2142621d314e0c7dd3de715c0ffc6655a,True
NP_K6X_130_145_155_180_195_230,e19151cf96b6a4930e1a4871bc8d794f37b4f2517df9c49ca91c9e83ef6320dd,e19151cf96b6a4930e1a4871bc8d794f37b4f2517df9c49ca91c9e83ef6320dd,e19151cf96b6a4930e1a4871bc8d794f37b4f2517df9c49ca91c9e83ef6320dd,True
