candidate_id,phase_bin,object_full_path,x_nm,y_nm,z_min_nm,z_max_nm,diameter_nm,material,expected_x_nm,expected_diameter_nm,match
NP_K6X_125_135_150_175_190_210,0,::model::TiO2_pillar_0,-725.0,0.0,0.0,500.0,125.00000000000001,APCD_TIO2_NATIVE_M1,-725,125,True
NP_K6X_125_135_150_175_190_210,1,::model::TiO2_pillar_1,-435.0,0.0,0.0,500.0,135.0,APCD_TIO2_NATIVE_M1,-435,135,True
NP_K6X_125_135_150_175_190_210,2,::model::TiO2_pillar_2,-145.00000000000003,0.0,0.0,500.0,150.00000000000003,APCD_TIO2_NATIVE_M1,-145,150,True
NP_K6X_125_135_150_175_190_210,3,::model::TiO2_pillar_3,145.00000000000003,0.0,0.0,500.0,175.00000000000003,APCD_TIO2_NATIVE_M1,145,175,True
NP_K6X_125_135_150_175_190_210,4,::model::TiO2_pillar_4,435.0,0.0,0.0,500.0,190.0,APCD_TIO2_NATIVE_M1,435,190,True
NP_K6X_125_135_150_175_190_210,5,::model::TiO2_pillar_5,725.0,0.0,0.0,500.0,210.0,APCD_TIO2_NATIVE_M1,725,210,True
NP_K6X_100_115_130_145_155_185,0,::model::TiO2_pillar_0,-725.0,0.0,0.0,500.0,100.00000000000001,APCD_TIO2_NATIVE_M1,-725,100,True
NP_K6X_100_115_130_145_155_185,1,::model::TiO2_pillar_1,-435.0,0.0,0.0,500.0,115.00000000000001,APCD_TIO2_NATIVE_M1,-435,115,True
NP_K6X_100_115_130_145_155_185,2,::model::TiO2_pillar_2,-145.00000000000003,0.0,0.0,500.0,130.0,APCD_TIO2_NATIVE_M1,-145,130,True
NP_K6X_100_115_130_145_155_185,3,::model::TiO2_pillar_3,145.00000000000003,0.0,0.0,500.0,145.00000000000003,APCD_TIO2_NATIVE_M1,145,145,True
NP_K6X_100_115_130_145_155_185,4,::model::TiO2_pillar_4,435.0,0.0,0.0,500.0,155.0,APCD_TIO2_NATIVE_M1,435,155,True
NP_K6X_100_115_130_145_155_185,5,::model::TiO2_pillar_5,725.0,0.0,0.0,500.0,185.0,APCD_TIO2_NATIVE_M1,725,185,True
NP_K6X_130_145_155_180_195_230,0,::model::TiO2_pillar_0,-725.0,0.0,0.0,500.0,130.0,APCD_TIO2_NATIVE_M1,-725,130,True
NP_K6X_130_145_155_180_195_230,1,::model::TiO2_pillar_1,-435.0,0.0,0.0,500.0,145.00000000000003,APCD_TIO2_NATIVE_M1,-435,145,True
NP_K6X_130_145_155_180_195_230,2,::model::TiO2_pillar_2,-145.00000000000003,0.0,0.0,500.0,155.0,APCD_TIO2_NATIVE_M1,-145,155,True
NP_K6X_130_145_155_180_195_230,3,::model::TiO2_pillar_3,145.00000000000003,0.0,0.0,500.0,180.00000000000003,APCD_TIO2_NATIVE_M1,145,180,True
NP_K6X_130_145_155_180_195_230,4,::model::TiO2_pillar_4,435.0,0.0,0.0,500.0,195.0,APCD_TIO2_NATIVE_M1,435,195,True
NP_K6X_130_145_155_180_195_230,5,::model::TiO2_pillar_5,725.0,0.0,0.0,500.0,230.00000000000003,APCD_TIO2_NATIVE_M1,725,230,True
