case_id,source_setup_fsp,runtime_solve_fsp,dipole_orientation,will_solve,status
R2_2D_R2_1_00223_453_center_x,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2c_rcled_fdtd_smoke_setup_only\runtime_fsp\R2_2C_R2_1_00223_453_center_x_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2d_rcled_fdtd_smoke_solve\runtime_solve_fsp\R2_2D_R2_1_00223_453_center_x_solve.fsp,x,True,
R2_2D_R2_1_00223_453_center_z_outofplane,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2c_rcled_fdtd_smoke_setup_only\runtime_fsp\R2_2C_R2_1_00223_453_center_z_outofplane_setup_only.fsp,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2d_rcled_fdtd_smoke_solve\runtime_solve_fsp\R2_2D_R2_1_00223_453_center_z_outofplane_solve.fsp,z_outofplane,True,
R2_2C_R2_1_00223_453_center_y,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2c_rcled_fdtd_smoke_setup_only\runtime_fsp\R2_2C_R2_1_00223_453_center_y_setup_only.fsp,,y_invalid_cavity_normal,False,INVALID_DO_NOT_SOLVE
