case_id,candidate_id,wavelength_nm,dipole_orientation,runtime_s,total_upward_power_proxy,angular_peak_angle_deg_at_453,peak_abs_angle_deg_at_453,angular_FWHM_deg_at_453,eta5,eta10,eta20,eta30,I_normal_0_5deg,I_offaxis_20_30deg,normal_offaxis_ratio,spectral_FWHM_nm,status,extraction_mode,runtime_solve_fsp
R2_2D_R2_1_00223_453_center_x,R2_1_00223,453.0,x,11.044,0.0001412162815838825,-36.35570123691935,36.35570123691935,3.31297398600433,0.01782454088105273,0.07505761465547105,0.14374432556835853,0.16683668814952873,2.5171153841621678e-06,1.3382234901884966e-05,0.18809379768155296,not_extracted_single_wavelength_smoke,extracted,farfield2d_farfieldangle,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2d_rcled_fdtd_smoke_solve\runtime_solve_fsp\R2_2D_R2_1_00223_453_center_x_solve.fsp
R2_2D_R2_1_00223_453_center_z_outofplane,R2_1_00223,453.0,z_outofplane,7.655,0.0005438058470094622,1.1752334630566317,1.1752334630566317,5.206302552821195,0.08443963989821525,0.1389666929121419,0.21117538714749987,0.2626342798747035,4.591876989602292e-05,0.0001068152734640024,0.42988955050045263,not_extracted_single_wavelength_smoke,extracted,farfield2d_farfieldangle,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2d_rcled_fdtd_smoke_solve\runtime_solve_fsp\R2_2D_R2_1_00223_453_center_z_outofplane_solve.fsp
