comparison,scope,wavelength_nm,metric,new,reference,delta
IAR-C2-OC80_minus_IAR-C2,exact_450_nm,450.0,DoLP_pair,0.06311605829309251,0.05600966931862566,0.007106388974466853
IAR-C2-OC80_minus_IAR-C2,exact_450_nm,450.0,C_source,0.15779717827861017,0.1351456237312985,0.022651554547311686
IAR-C2-OC80_minus_IAR-C2,exact_450_nm,450.0,C_angular,0.11063189965254655,0.11234041616696946,-0.0017085165144229142
IAR-C2-OC80_minus_IAR-C2,exact_450_nm,450.0,full_angle_pair_DoLP,0.06982656553943821,0.07064290303777752,-0.0008163374983393146
IAR-C2-OC80_minus_IAR-C2,exact_450_nm,450.0,upward_source_normalized_power_pair,0.007426853480693007,0.00741511779393364,1.1735686759366953e-05
IAR-C2-OC80_minus_IAR-C2,exact_450_nm,450.0,useful_LP_axisfree_pair,1.9502723797637547,1.9307222273499556,0.019550152413799093
IAR-C2-OC80_minus_IAR-C2,exact_450_nm,450.0,useful_LP_over_S0_pair,0.5315580291465463,0.5280048346593128,0.0035531944872334575
IAR-C2-OC80_minus_IAR-C2,exact_450_nm,450.0,normal_5deg_DoLP,0.20368996486265184,0.15657188116863333,0.047118083694018514
IAR-C2-OC80_minus_IAR-C2,exact_450_nm,450.0,normal_10deg_DoLP,0.3795214904299401,0.3992607376447969,-0.019739247214856814
IAR-C2-OC80_minus_IAR-C2,exact_450_nm,450.0,normal_20deg_DoLP,0.2974723358212731,0.30773205111366647,-0.01025971529239339
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,445.0,DoLP_pair,0.039054706925404185,0.030222649255705978,0.008832057669698207
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,446.0,DoLP_pair,0.04095841824083555,0.031025582685288502,0.009932835555547047
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,447.0,DoLP_pair,0.0446235649733852,0.034636808651883066,0.009986756321502137
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,448.0,DoLP_pair,0.053761651944058464,0.044266198494886055,0.009495453449172409
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,449.0,DoLP_pair,0.06168684753040191,0.05353974478026378,0.008147102750138135
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,450.0,DoLP_pair,0.06311605829309251,0.05600966931862566,0.007106388974466853
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,451.0,DoLP_pair,0.06665013914903957,0.06201772215179679,0.004632416997242782
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,452.0,DoLP_pair,0.06885600945531842,0.06487809997189382,0.003977909483424594
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,453.0,DoLP_pair,0.054539993110951986,0.049228259064644606,0.00531173404630738
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,454.0,DoLP_pair,0.03348809600827498,0.02746392063753137,0.006024175370743609
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,455.0,DoLP_pair,0.023115692218892696,0.018739496445320688,0.004376195773572008
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,445.0,C_source,0.0896688817547337,0.06819286100262952,0.021476020752104183
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,446.0,C_source,0.09402225153852252,0.06969319012797585,0.024329061410546665
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,447.0,C_source,0.10397930659323017,0.07860826961472034,0.02537103697850983
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,448.0,C_source,0.12754768565075447,0.10174720868086196,0.025800476969892516
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,449.0,C_source,0.15066259072851015,0.12631779583806604,0.02434479489044411
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,450.0,C_source,0.15779717827861017,0.1351456237312985,0.022651554547311686
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,451.0,C_source,0.17204346081328892,0.1546148569008084,0.017428603912480523
IAR-C2-OC80_minus_IAR-C2,diagnostic_445_455_nm,452.0,C_source,0.1842292140648778,0.16802282876362098,0.016206385301256815
