wavelength_nm,target_bin_deg,candidate_id,dimer_case_id,fdtd_status,selected_phase_deg,phase_error_to_target_deg,Tx,y_leakage,conversion_to_leakage_ratio,matrix_error,pass_flag,source_stage_or_source_file
449,240,H500DIMER12A_002_B240_x_pair_swap_G85_O-28,H500DIMER12A_002_B240_x_pair_swap_G85_O-28_3B4_WL449NM,ok,209.493910,30.506090,0.890712,0.081696,10.902810,0.302855,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
450,240,H500DIMER12A_002_B240_x_pair_swap_G85_O-28,H500DIMER12A_002_B240_x_pair_swap_G85_O-28_3B4_WL450NM,ok,229.416423,10.583577,0.760663,0.095391,7.974163,0.354135,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
451,240,H500DIMER12A_002_B240_x_pair_swap_G85_O-28,H500DIMER12A_002_B240_x_pair_swap_G85_O-28_3B4_WL451NM,ok,223.994277,16.005723,0.433359,0.102687,4.220184,0.486784,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
449,240,H500DIMER12A_003_B240_x_pair_swap_G95_O-28,H500DIMER12A_003_B240_x_pair_swap_G95_O-28_3B4_WL449NM,ok,194.147860,45.852140,0.920005,0.084422,10.897709,0.302943,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
450,240,H500DIMER12A_003_B240_x_pair_swap_G95_O-28,H500DIMER12A_003_B240_x_pair_swap_G95_O-28_3B4_WL450NM,ok,228.289695,11.710305,0.740069,0.098384,7.522228,0.364610,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
451,240,H500DIMER12A_003_B240_x_pair_swap_G95_O-28,H500DIMER12A_003_B240_x_pair_swap_G95_O-28_3B4_WL451NM,ok,223.572954,16.427046,0.415128,0.107724,3.853636,0.509410,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
449,240,H500DIMER12A_006_B240_x_pair_swap_G80_O-28,H500DIMER12A_006_B240_x_pair_swap_G80_O-28_3B4_WL449NM,ok,208.482459,31.517541,0.862008,0.091190,9.452898,0.325259,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
450,240,H500DIMER12A_006_B240_x_pair_swap_G80_O-28,H500DIMER12A_006_B240_x_pair_swap_G80_O-28_3B4_WL450NM,ok,225.161043,14.838957,0.744654,0.095648,7.785388,0.358407,true,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
451,240,H500DIMER12A_006_B240_x_pair_swap_G80_O-28,H500DIMER12A_006_B240_x_pair_swap_G80_O-28_3B4_WL451NM,ok,223.606878,16.393122,0.436834,0.102862,4.246788,0.485257,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
449,240,H500DIMER12A_007_B240_x_pair_swap_G100_O-28,H500DIMER12A_007_B240_x_pair_swap_G100_O-28_3B4_WL449NM,ok,198.065221,41.934779,0.926186,0.086293,10.733088,0.305243,false,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
