candidate_id,case_count,complete_451_452_453,worst_ratio,worst_Tx,worst_matrix_error,max_phase_error_deg,best_pass_level,near_miss,failed_gates,selectivity_improvement_vs_a3,matrix_improvement_vs_a3,score
H600B240MECH_009_diag_pair_J1J2_G40,3,true,5.157216,0.835876,0.481903,25.892659,loose,false,ratio;phase,5.076045,0.510196,5.570285
H600B240MECH_010_diag_pair_J2J1_G40,3,true,5.161239,0.837292,0.480907,27.666785,loose,false,ratio;phase,5.080005,0.511192,5.524912
H600B240MECH_005_y_pair_J1J2_G100,3,true,1.619093,0.979153,0.785955,11.749740,fail,false,ratio;matrix,1.593610,0.206144,2.438952
H600B240MECH_007_y_pair_J1J2_G100,3,true,1.619093,0.979153,0.785955,11.749740,fail,false,ratio;matrix,1.593610,0.206144,2.438952
H600B240MECH_006_y_pair_J2J1_G100,3,true,1.619098,0.979157,0.785952,12.710653,fail,false,ratio;matrix,1.593615,0.206147,2.410140
H600B240MECH_008_y_pair_J2J1_G100,3,true,1.619098,0.979157,0.785952,12.710653,fail,false,ratio;matrix,1.593615,0.206147,2.410140
H600B240MECH_001_x_pair_J1J2_G120,3,true,1.041182,0.997927,0.980025,39.647504,fail,false,ratio;matrix;phase,1.024795,0.012074,0.867586
H600B240MECH_003_x_pair_J1J2_G120,3,true,1.041182,0.997927,0.980025,39.647504,fail,false,ratio;matrix;phase,1.024795,0.012074,0.867586
H600B240MECH_002_x_pair_J2J1_G120,3,true,1.041183,0.997927,0.980025,40.320869,fail,false,ratio;matrix;phase,1.024795,0.012074,0.847386
H600B240MECH_004_x_pair_J2J1_G120,3,true,1.041183,0.997927,0.980025,40.320869,fail,false,ratio;matrix;phase,1.024795,0.012074,0.847386
H600B240MECH_011_diag_pair_J1J2_G60,3,true,0.034137,0.013598,9.742757,38.860622,fail,false,ratio;Tx;matrix;phase,0.033600,-8.750658,-10.847243
H600B240MECH_012_diag_pair_J2J1_G60,3,true,0.015405,0.006136,14.545494,35.177342,fail,false,ratio;Tx;matrix;phase,0.015163,-13.553395,-15.573137
