tuple_id,mode,offset_deg,slot_0_candidate_id,slot_60_candidate_id,slot_120_candidate_id,slot_180_candidate_id,slot_240_candidate_id,slot_300_candidate_id,min_worst_ratio,min_worst_Tx,max_worst_matrix_error,max_candidate_phase_span_deg,max_relative_phase_error_deg,rms_relative_phase_error_deg,worst_wavelength_nm,tuple_pass_flag,failed_gates,recommendation
offset_221,global_offset_relabel,221.000000,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,3.523155,0.391807,0.532763,138.750059,82.736201,34.588754,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_281,global_offset_relabel,281.000000,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,3.523155,0.391807,0.532763,138.750059,82.736201,34.588754,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_341,global_offset_relabel,341.000000,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,3.523155,0.391807,0.532763,138.750059,82.736201,34.588754,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_040,global_offset_relabel,40.000000,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,3.523155,0.388795,0.532763,138.750059,83.736201,34.800613,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_100,global_offset_relabel,100.000000,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,3.523155,0.388795,0.532763,138.750059,83.736201,34.800613,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_160,global_offset_relabel,160.000000,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,3.523155,0.388795,0.532763,138.750059,83.736201,34.800613,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_220,global_offset_relabel,220.000000,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,3.523155,0.388795,0.532763,138.750059,83.736201,34.800613,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_280,global_offset_relabel,280.000000,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,3.523155,0.388795,0.532763,138.750059,83.736201,34.800613,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_340,global_offset_relabel,340.000000,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER2F_026_B240_x_pair_swap_G90_O-28,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,3.523155,0.388795,0.532763,138.750059,83.736201,34.800613,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_070,global_offset_relabel,70.000000,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER12A_005_B240_x_pair_swap_G90_O-26,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,3.523155,0.391807,0.532763,138.750059,85.013858,39.932251,449,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
