candidate_id,original_target_bin_deg,mean_selected_phase_deg,nearest_nominal_slot_deg,distance_to_nearest_nominal_slot_deg,candidate_pass_flag,failed_gates
H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,120,140.767598,120,20.767598,true,
H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,120,139.328610,120,19.328610,true,
H500DIMER2H_007_B120_y_pair_noswap_G24_O-30,120,139.874739,120,19.874739,true,
H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,0,354.230557,0,5.769443,false,missing_449_450_451
H500DIMER2B_006_B180_x_pair_swap_G60_O-20,60,65.662437,60,5.662437,false,missing_449_450_451
H500DIMER2C_026_B240_x_pair_swap_G60_O-20,180,193.469214,180,13.469214,false,missing_449_450_451
H500DIMER2C_004_B120_x_pair_swap_G60_O-20,120,32.966847,60,27.033153,false,ratio
H500DIMER12A_004_B240_x_pair_swap_G90_O-30,240,218.224119,240,21.775881,false,ratio;Tx
H500DIMER2D_006_B240_x_pair_swap_G80_O-30,300,310.449981,300,10.449981,false,ratio;matrix_error
H500DIMER12A_005_B240_x_pair_swap_G90_O-26,240,220.986177,240,19.013823,false,ratio;Tx;matrix_error
H500DIMER2F_026_B240_x_pair_swap_G90_O-28,240,219.555554,240,20.444446,false,ratio;Tx;matrix_error
H500DIMER12A_001_B240_x_pair_swap_G90_O-28,240,219.555554,240,20.444446,false,ratio;Tx;matrix_error
H500DIMER12D_001_B300_x_pair_swap_G70_O-30,300,312.824924,300,12.824924,false,ratio;matrix_error
