candidate_id,axis,pair_swap,G_nm,O_nm,transform_rule,confidence,status
H500DIMER2D_006_B240_x_pair_swap_G80_O-30,x,true,80,-30,suffix_only,medium,partial_base_only
H500DIMER12D_001_B300_x_pair_swap_G70_O-30,x,true,70,-30,suffix_only,medium,partial_base_only
H500DIMER12D_004_B300_x_pair_swap_G80_O-40,x,true,80,-40,suffix_only,medium,partial_base_only
