candidate_id,source_candidate_id,case_count,complete_451_452_453,worst_ratio,worst_Tx,worst_matrix_error,max_phase_error_deg,best_pass_level,near_miss,failed_gates,selectivity_vs_a1_b300,matrix_delta_vs_a1_b300,score
H600B300PULL_002_FROM_H500DIMER12D_004_B300_x_pair_swap_G80_O-40,H500DIMER12D_004_B300_x_pair_swap_G80_O-40,3,true,11.278722,0.752180,0.297811,144.596581,fail,true,phase,1.232889,0.032823,8.147374
H600B300PULL_005_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,H500DIMER12D_003_B300_x_pair_swap_G90_O-30,3,true,9.148207,0.956956,0.330634,99.860401,fail,true,phase,1.000000,0.000000,7.735673
H600B300PULL_006_FROM_H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,3,true,7.677013,0.952918,0.360924,92.575534,fail,true,phase,0.839182,-0.030290,6.444659
H600B300PULL_004_FROM_H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,3,true,7.945334,0.752968,0.354796,144.034639,fail,true,phase,0.868513,-0.024162,4.775435
H600B300PULL_001_FROM_H500DIMER12D_002_B300_x_pair_swap_G80_O-30,H500DIMER12D_002_B300_x_pair_swap_G80_O-30,3,true,3.436597,0.775726,0.539458,141.431182,fail,true,ratio;matrix;phase,0.375658,-0.208824,0.205656
H600B300PULL_003_FROM_H500DIMER12D_005_B300_x_pair_swap_G80_O-20,H500DIMER12D_005_B300_x_pair_swap_G80_O-20,3,true,2.833655,0.888379,0.594069,129.214158,fail,false,ratio;matrix;phase,0.309750,-0.263435,0.139919
