candidate_id,source_candidate_id,geometry_family,min_phase_deg,max_phase_deg,phase_span_deg,nearest_bins,phase_by_wavelength,worst_ratio,worst_Tx,worst_matrix_error,max_phase_error_to_300_deg,best_pass_level,near_miss,failure_mode
H600B300PULL_002_FROM_H500DIMER12D_004_B300_x_pair_swap_G80_O-40,H500DIMER12D_004_B300_x_pair_swap_G80_O-40,x_pair_swap_G80_O-40,49.414944,84.596581,35.181637,60,451:84.597->60;452:64.253->60;453:49.415->60,11.278722,0.75218,0.297811,144.59658100000001,fail,true,phase_only
H600B300PULL_005_FROM_H500DIMER12D_003_B300_x_pair_swap_G90_O-30,H500DIMER12D_003_B300_x_pair_swap_G90_O-30,x_pair_swap_G90_O-30,22.239089,39.860401,17.621312000000003,0;60,451:39.860->60;452:34.624->60;453:22.239->0,9.148207,0.956956,0.330634,99.86040100000002,fail,true,phase_only
H600B300PULL_004_FROM_H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,H500DIMER12D_006_B300_x_pair_noswap_G80_O-30,x_pair_swap_noswap_G80_O-30,48.58334,84.034639,35.451299,60,451:84.035->60;452:64.245->60;453:48.583->60,7.945334,0.752968,0.354796,144.03463899999997,fail,true,phase_only
H600B300PULL_006_FROM_H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,H500DIMER12D_007_B300_x_pair_noswap_G100_O-24,x_pair_swap_noswap_G100_O-24,16.387397,32.575534,16.188136999999998,0;60,451:32.576->60;452:18.861->0;453:16.387->0,7.677013,0.952918,0.360924,92.575534,fail,true,phase_only
H600B300PULL_001_FROM_H500DIMER12D_002_B300_x_pair_swap_G80_O-30,H500DIMER12D_002_B300_x_pair_swap_G80_O-30,x_pair_swap_G80_O-30,47.018918,81.431182,34.41226400000001,60,451:81.431->60;452:60.849->60;453:47.019->60,3.436597,0.775726,0.539458,141.43118200000004,fail,true,mixed
H600B300PULL_003_FROM_H500DIMER12D_005_B300_x_pair_swap_G80_O-20,H500DIMER12D_005_B300_x_pair_swap_G80_O-20,x_pair_swap_G80_O-20,40.094942,69.214158,29.119215999999994,60,451:69.214->60;452:53.375->60;453:40.095->60,2.833655,0.888379,0.594069,129.214158,fail,false,mixed
