phase_bin_deg,candidate_id,before_available_wavelengths,missing_before,planned_missing_cases,after_available_wavelengths,evidence_completed
0,H500DIMER2C_029_B240_x_pair_noswap_G60_O-20,449;451,450,1,449;450;451,true
60,H500DIMER2B_006_B180_x_pair_swap_G60_O-20,449;451,450,1,449;450;451,true
180,H500DIMER2C_026_B240_x_pair_swap_G60_O-20,449;451,450,1,449;450;451,true
