run_reason,target_bin_deg,candidate_id,dimer_case_id,wavelength_nm,source_stage_or_source_file
expanded_240_300,240,H500DIMER12A_009_B240_x_pair_swap_G90_O-24,H500DIMER12A_009_B240_x_pair_swap_G90_O-24_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_016_B240_x_pair_swap_G90_O-36,H500DIMER12A_016_B240_x_pair_swap_G90_O-36_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_016_B240_x_pair_swap_G90_O-36,H500DIMER12A_016_B240_x_pair_swap_G90_O-36_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_016_B240_x_pair_swap_G90_O-36,H500DIMER12A_016_B240_x_pair_swap_G90_O-36_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_012_B240_x_pair_swap_G85_O-32,H500DIMER12A_012_B240_x_pair_swap_G85_O-32_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_012_B240_x_pair_swap_G85_O-32,H500DIMER12A_012_B240_x_pair_swap_G85_O-32_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,240,H500DIMER12A_012_B240_x_pair_swap_G85_O-32,H500DIMER12A_012_B240_x_pair_swap_G85_O-32_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10a_h500_lp_240bin_single_dimer_refinement\stage12_10a_240bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_002_B300_x_pair_swap_G80_O-30,H500DIMER12D_002_B300_x_pair_swap_G80_O-30_3B4_WL449NM,449,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_002_B300_x_pair_swap_G80_O-30,H500DIMER12D_002_B300_x_pair_swap_G80_O-30_3B4_WL450NM,450,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
expanded_240_300,300,H500DIMER12D_002_B300_x_pair_swap_G80_O-30,H500DIMER12D_002_B300_x_pair_swap_G80_O-30_3B4_WL451NM,451,D:\project\blue_apcd_microled_metasurface\outputs\stage12_10d_h500_lp_300bin_single_dimer_refinement\stage12_10d_300bin_candidate_plan.csv
