height_nm,planned_cases,ok_cases,failed_cases,strict_cases,loose_cases,fail_cases,complete_sixbin_451_452_453,worst_ratio,worst_Tx,worst_matrix_error,max_phase_error_deg,bottleneck_bins,recommendation
600,18,18,0,0,0,18,false,0.411377,0.346464,1.559151,140.470709,0;60;120;180;240;300,refine H600
650,18,18,0,0,0,18,false,0.008260,0.007644,11.002901,161.170161,0;60;120;180;240;300,refine H650
700,6,6,0,0,0,6,false,0.764872,0.760859,1.143419,136.495370,240;300,scout H700 more only if H600/H650 fail
