source_file,match_count
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1a3b_external_outputs_geometry_recovery\lp_ml1a3b_external_file_index.csv,2960
D:\project\blue_apcd_microled_metasurface_wt_stage11_4a0\reports\stage11_4a0_lp_hnew_candidate_space_inventory.csv,1250
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1a2_geometry_provenance_recovery\lp_ml1a2_manifest_with_recovered_geometry.csv,1226
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1a2_geometry_provenance_recovery\lp_ml1a2_unresolved_sources.csv,1226
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1a_seed_manifest_dryrun\lp_ml1a_rejected_candidates.csv,1226
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1a_seed_manifest_dryrun\lp_ml1a_seed_manifest.csv,1226
D:\project\blue_apcd_microled_metasurface_wt_stage11_4a0\reports\stage11_4a0_lp_hnew_existing_data_inventory.csv,853
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_hnew_all_candidates_unified.csv,661
D:\project\blue_apcd_microled_metasurface\outputs\stage12_11a_h500_lp_k6_phase_origin_search\stage12_11a_phase_coverage_map.csv,580
D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_3b3_lp_h500_repaired_tuple_ranking.csv,489
D:\project\blue_apcd_microled_metasurface\reports\stage11_3b3_lp_h500_repaired_tuple_ranking.csv,489
D:\project\blue_apcd_microled_metasurface_wt_stage11_4a0\reports\stage11_3b3_lp_h500_repaired_tuple_ranking.csv,489
D:\project\blue_apcd_microled_metasurface_wt_stage11_4a0\reports\stage11_4a0_lp_hnew_planned_cases_stage11_4a1.csv,453
D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_3b4_lp_h500_repaired_tuple_after_expansion.csv,430
D:\project\blue_apcd_microled_metasurface\reports\stage11_3b4_lp_h500_repaired_tuple_after_expansion.csv,430
D:\project\blue_apcd_microled_metasurface_wt_stage11_4a0\reports\stage11_3b4_lp_h500_repaired_tuple_after_expansion.csv,430
D:\project\blue_apcd_microled_metasurface\outputs\stage11_3a_h500_lp_spectral_robust_phase_library_audit\stage11_3a_candidate_pool.csv,418
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml0_existing_data_audit\lp_hnew_b240_b300_diagnosis.csv,388
D:\project\blue_apcd_microled_metasurface\outputs\stage12_11a_h500_lp_k6_phase_origin_search\stage12_11a_candidate_pool.csv,241
D:\project\blue_apcd_microled_metasurface\outputs\stage12_11a_h500_lp_k6_phase_origin_search\stage12_11a_phase_origin_scan.csv,205
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1a3b_external_outputs_geometry_recovery\lp_ml1a3b_candidate_geometry_recovered.csv,134
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1a3b_external_outputs_geometry_recovery\lp_ml1a3b_unresolved_sources.csv,134
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1a2_geometry_provenance_recovery\lp_ml1a2_geometry_lookup.csv,128
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1a3_git_history_geometry_reconstruction\lp_ml1a3_candidate_geometry_recovered.csv,128
D:\project\worktrees\blue_apcd_lp_stage11_4\outputs\lp_ml1a3_git_history_geometry_reconstruction\lp_ml1a3_unresolved_sources.csv,128
D:\project\worktrees\blue_apcd_lp_stage11_4\reports\stage11_3b4_lp_h500_240_300_expanded_candidates.csv,120
D:\project\blue_apcd_microled_metasurface\reports\stage11_3b4_lp_h500_240_300_expanded_candidates.csv,120
D:\project\blue_apcd_microled_metasurface_wt_stage11_4a0\reports\stage11_3b4_lp_h500_240_300_expanded_candidates.csv,120
D:\project\blue_apcd_microled_metasurface\outputs\stage12_12a_h500_lp_6bin_spectral_audit\stage12_12a_6bin_spectral_results.csv,112
D:\project\blue_apcd_microled_metasurface\outputs\stage12_12a_h500_lp_6bin_spectral_audit\stage12_12a_6bin_spectral_run_matrix.csv,112
D:\project\blue_apcd_microled_metasurface\outputs\stage12_12a_h500_lp_6bin_spectral_audit\stage12_12a_raw_dimer_spectral_results.csv,112
