wavelength_nm,T_total,R_total,closure,residual
445.0,0.772601038089443,0.2266336126787597,0.9992346507682027,0.0007653492317972743
445.99999999999994,0.7767999810940471,0.2149066546396288,0.9917066357336759,0.008293364266324071
446.99999999999994,0.7914984128212268,0.20654356207749197,0.9980419748987188,0.0019580251012812355
448.00000000000006,0.7966918265220448,0.1969305464388587,0.9936223729609035,0.006377627039096445
449.0,0.8074936515259246,0.1904595757454484,0.9979532272713729,0.00204677272862705
450.0,0.8132458269390839,0.1815062781284073,0.9947521050674912,0.005247894932508823
450.9999999999999,0.8209431943348905,0.17723757639117793,0.9981807707260684,0.0018192292739315774
451.99999999999994,0.8277712248262012,0.16784701803745,0.9956182428636513,0.004381757136348752
453.00000000000006,0.8326023563213449,0.16545810062432678,0.9980604569456717,0.00193954305432828
453.9999999999999,0.844053019856823,0.15380443459201404,0.997857454448837,0.0021425455511629443
455.00000000000006,0.8693911227850826,0.11403130769514702,0.9834224304802296,0.016577569519770408
