case_id,attempt_id,wavelength_nm,actual_monitor_wavelength_nm,monitor_index,transmission_T,sourcepower,formal_negative_T
BF08_x,attempt_003,435.0,435.00000000000006,10,-6948.538507181775,2.3652018815462696e-16,True
BF08_x,attempt_003,436.0,436.00000000000006,12,-15939.744045885647,2.36570792783579e-16,True
BF08_x,attempt_003,437.0,437.0,14,-1435.8649704744978,2.366210538944842e-16,True
BF08_x,attempt_003,438.0,438.00000000000006,16,-487.77306500556944,2.366709745814554e-16,True
BF08_x,attempt_003,439.0,438.99999999999994,18,-242.6204373690567,2.3672055790393985e-16,True
BF08_x,attempt_003,440.0,440.00000000000006,20,-148.4323141962165,2.367698068871827e-16,True
BF08_x,attempt_003,441.0,440.99999999999994,22,-97.01326408518317,2.368187245226837e-16,True
BF08_x,attempt_003,442.0,442.0,24,-67.33496765763765,2.3686731376864663e-16,True
BF08_x,attempt_003,443.0,443.0,26,-54.29583854027992,2.369155775504218e-16,True
BF08_x,attempt_003,444.0,444.0,28,-37.24245913216451,2.3696351876094186e-16,True
BF08_x,attempt_003,445.0,445.00000000000006,30,-34.33397362836772,2.3701114026115065e-16,True
BF08_x,attempt_003,446.0,445.99999999999994,32,-24.180248826037705,2.370584448804258e-16,True
BF08_x,attempt_003,447.0,447.00000000000006,34,-23.373861576404398,2.371054354169942e-16,True
BF08_x,attempt_003,448.0,448.0,36,-18.809075158432485,2.3715211463834216e-16,True
BF08_x,attempt_003,449.0,449.0,38,-16.506329267220238,2.371984852816185e-16,True
BF08_x,attempt_003,450.0,450.0000000000001,40,-14.342592400376223,2.3724455005403145e-16,True
BF08_x,attempt_003,451.0,450.99999999999994,42,-13.042941782418504,2.3729031163323987e-16,True
BF08_x,attempt_003,452.0,452.0,44,-11.545507284690572,2.3733577266773914e-16,True
BF08_x,attempt_003,453.0,453.00000000000006,46,-9.131651540875867,2.3738093577723926e-16,True
BF08_x,attempt_003,454.0,453.99999999999994,48,-8.331945252549435,2.3742580355303973e-16,True
BF08_x,attempt_003,455.0,455.00000000000006,50,-8.505382897939372,2.374703785583969e-16,True
BF08_x,attempt_003,456.0,456.0,52,-7.901931387275507,2.375146633288862e-16,True
BF08_x,attempt_003,457.0,457.0,54,-6.516203781656149,2.375586603727601e-16,True
BF08_x,attempt_003,458.0,458.0,56,-5.330855340698238,2.376023721712988e-16,True
BF08_x,attempt_003,459.0,459.0,58,-4.538126972692089,2.376458011791573e-16,True
BF08_x,attempt_003,460.0,460.00000000000006,60,-4.077241136939546,2.376889498247063e-16,True
BF08_x,attempt_003,461.0,460.99999999999994,62,-3.761610755420396,2.3773182051036883e-16,True
BF08_x,attempt_003,462.0,461.99999999999994,64,-3.4804673233650276,2.377744156129507e-16,True
BF08_x,attempt_003,463.0,463.0,66,-3.2209700431206376,2.378167374839678e-16,True
BF08_x,attempt_003,464.0,464.00000000000006,68,-3.051457387508905,2.3785878844996657e-16,True
BF08_x,attempt_003,465.0,465.00000000000006,70,-3.088539421536494,2.379005708128412e-16,True
BF08_y,attempt_003,435.0,435.00000000000006,10,-6.9227083798707,2.3652018815462696e-16,True
BF08_y,attempt_003,436.0,436.00000000000006,12,-16.142663332825247,2.36570792783579e-16,True
BF08_y,attempt_003,437.0,437.0,14,-1.3400531520906511,2.366210538944842e-16,True
BF08_y,attempt_003,438.0,438.00000000000006,16,-0.19320972887501023,2.366709745814554e-16,True
BF08_y,attempt_003,439.0,438.99999999999994,18,0.2302626656429034,2.3672055790393985e-16,False
BF08_y,attempt_003,440.0,440.00000000000006,20,0.47192435980852776,2.367698068871827e-16,False
BF08_y,attempt_003,441.0,440.99999999999994,22,0.6368675518225545,2.368187245226837e-16,False
BF08_y,attempt_003,442.0,442.0,24,0.5086511267816938,2.3686731376864663e-16,False
BF08_y,attempt_003,443.0,443.0,26,0.8242895689835774,2.369155775504218e-16,False
BF08_y,attempt_003,444.0,444.0,28,0.8662584648691656,2.3696351876094186e-16,False
BF08_y,attempt_003,445.0,445.00000000000006,30,0.8989194981314005,2.3701114026115065e-16,False
BF08_y,attempt_003,446.0,445.99999999999994,32,0.9261042625657613,2.370584448804258e-16,False
BF08_y,attempt_003,447.0,447.00000000000006,34,0.9449940742704767,2.371054354169942e-16,False
BF08_y,attempt_003,448.0,448.0,36,0.9615255783885338,2.3715211463834216e-16,False
BF08_y,attempt_003,449.0,449.0,38,0.9712986751482655,2.371984852816185e-16,False
BF08_y,attempt_003,450.0,450.0000000000001,40,0.9852298806354907,2.3724455005403145e-16,False
BF08_y,attempt_003,451.0,450.99999999999994,42,0.9864785398341689,2.3729031163323987e-16,False
BF08_y,attempt_003,452.0,452.0,44,0.954941284365843,2.3733577266773914e-16,False
BF08_y,attempt_003,453.0,453.00000000000006,46,0.26157022014969183,2.3738093577723926e-16,False
BF08_y,attempt_003,454.0,453.99999999999994,48,0.634896792585459,2.3742580355303973e-16,False
BF08_y,attempt_003,455.0,455.00000000000006,50,0.8465102236493179,2.374703785583969e-16,False
BF08_y,attempt_003,456.0,456.0,52,0.900999551227478,2.375146633288862e-16,False
BF08_y,attempt_003,457.0,457.0,54,0.9239049712693644,2.375586603727601e-16,False
BF08_y,attempt_003,458.0,458.0,56,0.9238107062185299,2.376023721712988e-16,False
BF08_y,attempt_003,459.0,459.0,58,0.9954706259437461,2.376458011791573e-16,False
BF08_y,attempt_003,460.0,460.00000000000006,60,0.9588274142543437,2.376889498247063e-16,False
BF08_y,attempt_003,461.0,460.99999999999994,62,0.9487254876913767,2.3773182051036883e-16,False
BF08_y,attempt_003,462.0,461.99999999999994,64,0.9385408794605586,2.377744156129507e-16,False
BF08_y,attempt_003,463.0,463.0,66,0.9252443200425292,2.378167374839678e-16,False
BF08_y,attempt_003,464.0,464.00000000000006,68,0.9066131401252326,2.3785878844996657e-16,False
BF08_y,attempt_003,465.0,465.00000000000006,70,0.8798385065549063,2.379005708128412e-16,False
