order_index,object_name,material,refractive_index_material_name,z_min_nm,z_max_nm,thickness_nm,source_x_span_nm,source_y_span_nm,model_x_span_nm,model_y_span_nm
0,OUJIZI_DBR_00_SiO2,sio222,sio222,0.0,99.99999999999999,99.99999999999999,6000.0,5000.0,3000.0,1200.0
1,OUJIZI_DBR_00_TiO2,tio22,tio22,99.99999999999999,152.0,52.0,6000.0,5000.0,3000.0,1200.0
2,OUJIZI_DBR_01_SiO2,sio222,sio222,152.0,252.0,99.99999999999999,6000.0,5000.0,3000.0,1200.0
3,OUJIZI_DBR_01_TiO2,tio22,tio22,252.0,304.0,52.0,6000.0,5000.0,3000.0,1200.0
4,OUJIZI_DBR_02_SiO2,sio222,sio222,304.0,404.0,99.99999999999999,6000.0,5000.0,3000.0,1200.0
5,OUJIZI_DBR_02_TiO2,tio22,tio22,404.0,456.0,52.0,6000.0,5000.0,3000.0,1200.0
6,OUJIZI_DBR_03_SiO2,sio222,sio222,456.0,556.0,99.99999999999999,6000.0,5000.0,3000.0,1200.0
7,OUJIZI_DBR_03_TiO2,tio22,tio22,556.0,608.0,52.0,6000.0,5000.0,3000.0,1200.0
8,OUJIZI_DBR_04_SiO2,sio222,sio222,608.0,708.0,99.99999999999999,6000.0,5000.0,3000.0,1200.0
9,OUJIZI_DBR_04_TiO2,tio22,tio22,708.0,760.0,52.0,6000.0,5000.0,3000.0,1200.0
10,OUJIZI_DBR_05_SiO2,sio222,sio222,760.0,860.0,99.99999999999999,6000.0,5000.0,3000.0,1200.0
11,OUJIZI_DBR_05_TiO2,tio22,tio22,860.0,912.0,52.0,6000.0,5000.0,3000.0,1200.0
12,OUJIZI_DBR_06_SiO2,sio222,sio222,912.0,1012.0,99.99999999999999,6000.0,5000.0,3000.0,1200.0
13,OUJIZI_DBR_06_TiO2,tio22,tio22,1012.0,1064.0,52.0,6000.0,5000.0,3000.0,1200.0
14,OUJIZI_DBR_07_SiO2,sio222,sio222,1064.0,1164.0,99.99999999999999,6000.0,5000.0,3000.0,1200.0
15,OUJIZI_DBR_07_TiO2,tio22,tio22,1164.0,1216.0,52.0,6000.0,5000.0,3000.0,1200.0
16,OUJIZI_DBR_08_SiO2_terminal,sio222,sio222,1216.0,1316.0,99.99999999999999,6000.0,5000.0,3000.0,1200.0
