case_id,orientation,enabled,disabled,result_fsp,status,runtime_seconds,result_size_bytes
RCLED_MDC_BLUE_OUJIZI_CENTER_X_T100FS,x,gan_dbr_only_center_x_dipole,gan_dbr_only_center_y_dipole,D:\project\blue_apcd_microled_metasurface\outputs\stage_rcled_mdc_blue_oujizi_dbr_only\_saved_fsp\RCLED_MDC_BLUE_OUJIZI_CENTER_X_T100FS.fsp,ok,2350.9168661001604,102652565
RCLED_MDC_BLUE_OUJIZI_CENTER_Y_T100FS,y,gan_dbr_only_center_y_dipole,gan_dbr_only_center_x_dipole,D:\project\blue_apcd_microled_metasurface\outputs\stage_rcled_mdc_blue_oujizi_dbr_only\_saved_fsp\RCLED_MDC_BLUE_OUJIZI_CENTER_Y_T100FS.fsp,ok,2354.5913272998296,102652565
