case_id,data_mode,prop_axis,monitor_name,P_total_solid_angle_proxy,eta_5deg,eta_10deg,eta_20deg,eta_30deg,x_cut_peak_deg,x_cut_fwhm_deg,y_cut_peak_deg,y_cut_fwhm_deg,orientation,fsp_path,monitor_type,monitor_z_nm,farfield_shape
RCLED_MDC_BLUE_OUJIZI_CENTER_X_T100FS,farfield3d,3,top_field_monitor_zprop,1.0757014164589352e-13,0.004749682597608142,0.0638191642147344,0.1788718881842435,0.2265498010880234,44.80515000647102,142.27909944797727,8.102220331075529,20.880266839550174,x,D:\project\blue_apcd_microled_metasurface\outputs\stage_rcled_mdc_blue_oujizi_dbr_only\_saved_fsp\RCLED_MDC_BLUE_OUJIZI_CENTER_X_T100FS.fsp,2D Z-normal,2316.0,"[150, 150]"
RCLED_MDC_BLUE_OUJIZI_CENTER_Y_T100FS,farfield3d,3,top_field_monitor_zprop,5.942438171842018e-14,0.034320060714753624,0.1142619841614733,0.26226826173468076,0.3198121970781578,0.38453831980483877,11.555638110838416,-1.1536842560038256,31.944026627319605,y,D:\project\blue_apcd_microled_metasurface\outputs\stage_rcled_mdc_blue_oujizi_dbr_only\_saved_fsp\RCLED_MDC_BLUE_OUJIZI_CENTER_Y_T100FS.fsp,2D Z-normal,2316.0,"[150, 150]"
