rank,diameters_nm,phase_fit_RMS_band_max,maximum_phase_error_over_band,maximum_step_drift_peak_to_peak,amplitude_CV_band_max,minimum_T_over_band,all_legacy_engineering_gates_pass
1,"100,105,110,115,120,125",74.76969909667969,113.94316101074219,10.651773452758789,0.004409011919051409,0.9682270884513855,False
2,"100,105,110,115,145,150",44.450958251953125,77.6143798828125,15.938240051269531,0.0031712339259684086,0.9744033217430115,False
3,"100,105,110,145,150,185",36.06396484375,66.24148559570312,17.041133880615234,0.002526699798181653,0.9798742532730103,False
4,"100,105,115,145,150,185",30.64118766784668,50.78679656982422,17.041133880615234,0.0034106201492249966,0.9744033217430115,False
5,"100,105,120,145,150,185",25.31912612915039,33.0178337097168,17.041133880615234,0.004393803421407938,0.9703324437141418,False
6,"100,105,125,145,150,185",21.308544158935547,32.43179702758789,17.041133880615234,0.005092844367027283,0.9682270884513855,False
7,"100,110,115,145,150,185",29.06129264831543,53.359004974365234,17.041133880615234,0.003577141324058175,0.9744033217430115,False
8,"100,110,120,145,150,185",22.988088607788086,35.59004592895508,17.041133880615234,0.004484332632273436,0.9703324437141418,False
9,"100,110,125,145,150,185",17.89672088623047,24.121644973754883,17.041133880615234,0.005139755550771952,0.9682270884513855,False
10,"100,110,125,145,150,190",21.421628952026367,33.79730987548828,18.264352798461914,0.005010722670704126,0.9679381847381592,False
11,"100,110,130,145,150,185",17.037811279296875,27.467899322509766,17.041133880615234,0.00542896194383502,0.964765727519989,False
12,"100,115,120,145,150,185",21.923952102661133,38.68098068237305,17.041133880615234,0.004881592001765966,0.9703324437141418,False
13,"100,115,125,145,150,185",16.62417984008789,26.107065200805664,17.041133880615234,0.00544539513066411,0.9682270884513855,False
14,"100,115,125,145,155,185",12.456195831298828,22.00804328918457,17.041133880615234,0.006629680283367634,0.9550254940986633,False
15,"100,115,130,145,150,185",14.75510025024414,30.20266342163086,17.041133880615234,0.005705724935978651,0.964765727519989,False
16,"100,115,130,145,155,185",8.089579582214355,13.707109451293945,17.041133880615234,0.006837165914475918,0.9550254940986633,True
17,"100,115,130,145,155,190",11.763056755065918,22.0704402923584,18.264352798461914,0.006593901198357344,0.9550254940986633,False
