tolerance_variant,source_position,cone_deg,included_cases,avg_cone_power_total,avg_cone_power_R,avg_cone_power_L,avg_DoCP_RminusL,avg_L_fraction,avg_R_fraction,note
TOL_SIZE_ALL_P2,center,5.0,B4_4_TOL_SIZE_ALL_P2_CENTER_X_T100FS;B4_4_TOL_SIZE_ALL_P2_CENTER_Y_T100FS,7.313100878826353e-12,1.644455108121859e-12,5.668645770704494e-12,-0.5502714551954137,0.7751357275977068,0.22486427240229326,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,center,10.0,B4_4_TOL_SIZE_ALL_P2_CENTER_X_T100FS;B4_4_TOL_SIZE_ALL_P2_CENTER_Y_T100FS,2.9558997602372466e-11,6.461755901166577e-12,2.309724170120589e-11,-0.5627892401433842,0.7813946200716921,0.21860537992830795,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,center,20.0,B4_4_TOL_SIZE_ALL_P2_CENTER_X_T100FS;B4_4_TOL_SIZE_ALL_P2_CENTER_Y_T100FS,1.1311302146261339e-10,2.8118972574625256e-11,8.499404888798813e-11,-0.5028163475604925,0.7514081737802463,0.24859182621975368,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,center,30.0,B4_4_TOL_SIZE_ALL_P2_CENTER_X_T100FS;B4_4_TOL_SIZE_ALL_P2_CENTER_Y_T100FS,2.0033154103846927e-10,5.836163603755381e-11,1.4196990500091545e-10,-0.4173495023796902,0.708674751189845,0.29132524881015487,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,x_plus_q,5.0,B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_X_T100FS;B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_Y_T100FS,3.124241089684436e-12,4.453816715099923e-13,2.678859418174444e-12,-0.7148864900467858,0.8574432450233929,0.14255675497660716,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,x_plus_q,10.0,B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_X_T100FS;B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_Y_T100FS,1.4784153230587975e-11,2.6439464646099906e-12,1.2140206765977986e-11,-0.6423269668039232,0.8211634834019617,0.17883651659803848,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,x_plus_q,20.0,B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_X_T100FS;B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_Y_T100FS,5.806503380846602e-11,1.802789461115031e-11,4.003713919731571e-11,-0.3790447217987566,0.6895223608993782,0.3104776391006217,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,x_plus_q,30.0,B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_X_T100FS;B4_4_TOL_SIZE_ALL_P2_X_PLUS_Q_Y_T100FS,1.1220160142755393e-10,4.59068322423422e-11,6.629476918521173e-11,-0.18170807442560047,0.5908540372128003,0.4091459627871998,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,x_minus_q,5.0,B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_X_T100FS;B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_Y_T100FS,3.5650556445271017e-12,7.416739769890128e-13,2.8233816675380887e-12,-0.5839201118066168,0.7919600559033084,0.20803994409669152,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,x_minus_q,10.0,B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_X_T100FS;B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_Y_T100FS,1.557503423964392e-11,4.203143312349827e-12,1.137189092729409e-11,-0.4602717082121906,0.7301358541060953,0.26986414589390467,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,x_minus_q,20.0,B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_X_T100FS;B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_Y_T100FS,5.819657339475668e-11,1.6534282037240078e-11,4.16622913575166e-11,-0.4317781589962214,0.7158890794981106,0.28411092050188924,Incoherent x/y power sum; no field addition.
TOL_SIZE_ALL_P2,x_minus_q,30.0,B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_X_T100FS;B4_4_TOL_SIZE_ALL_P2_X_MINUS_Q_Y_T100FS,1.0693679415061432e-10,3.225886712248491e-11,7.467792702812941e-11,-0.3966741311311399,0.69833706556557,0.30166293443443004,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,center,5.0,B4_4_TOL_J1_YP2_CENTER_X_T100FS;B4_4_TOL_J1_YP2_CENTER_Y_T100FS,6.895602513658136e-12,1.4430172839779272e-12,5.452585229680209e-12,-0.5814673826921608,0.7907336913460804,0.2092663086539196,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,center,10.0,B4_4_TOL_J1_YP2_CENTER_X_T100FS;B4_4_TOL_J1_YP2_CENTER_Y_T100FS,2.8265794079318095e-11,5.92372923725363e-12,2.2342064842064467e-11,-0.5808552754165868,0.7904276377082934,0.20957236229170667,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,center,20.0,B4_4_TOL_J1_YP2_CENTER_X_T100FS;B4_4_TOL_J1_YP2_CENTER_Y_T100FS,1.1033773348268582e-10,2.7384661053592194e-11,8.295307242909362e-11,-0.5036211060491035,0.7518105530245517,0.24818944697544826,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,center,30.0,B4_4_TOL_J1_YP2_CENTER_X_T100FS;B4_4_TOL_J1_YP2_CENTER_Y_T100FS,1.9736448213108814e-10,5.8143287260251826e-11,1.392211948708363e-10,-0.41080293037089155,0.7054014651854458,0.29459853481455417,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,x_plus_q,5.0,B4_4_TOL_J1_YP2_X_PLUS_Q_X_T100FS;B4_4_TOL_J1_YP2_X_PLUS_Q_Y_T100FS,3.1478344128322375e-12,4.8922476368638e-13,2.6586096491458576e-12,-0.6891674087480326,0.8445837043740163,0.15541629562598375,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,x_plus_q,10.0,B4_4_TOL_J1_YP2_X_PLUS_Q_X_T100FS;B4_4_TOL_J1_YP2_X_PLUS_Q_Y_T100FS,1.4700168258685927e-11,2.707748478741118e-12,1.1992419779944807e-11,-0.6316030631634186,0.8158015315817093,0.18419846841829063,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,x_plus_q,20.0,B4_4_TOL_J1_YP2_X_PLUS_Q_X_T100FS;B4_4_TOL_J1_YP2_X_PLUS_Q_Y_T100FS,5.7074295457260396e-11,1.7325574811589668e-11,3.974872064567073e-11,-0.3928764368343793,0.6964382184171897,0.3035617815828104,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,x_plus_q,30.0,B4_4_TOL_J1_YP2_X_PLUS_Q_X_T100FS;B4_4_TOL_J1_YP2_X_PLUS_Q_Y_T100FS,1.0996677039381838e-10,4.417192130030533e-11,6.579484909351305e-11,-0.19663147072311607,0.598315735361558,0.401684264638442,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,x_minus_q,5.0,B4_4_TOL_J1_YP2_X_MINUS_Q_X_T100FS;B4_4_TOL_J1_YP2_X_MINUS_Q_Y_T100FS,3.740517332230615e-12,7.423796318581495e-13,2.998137700372465e-12,-0.6030604507770373,0.8015302253885186,0.19846977461148133,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,x_minus_q,10.0,B4_4_TOL_J1_YP2_X_MINUS_Q_X_T100FS;B4_4_TOL_J1_YP2_X_MINUS_Q_Y_T100FS,1.629279063926508e-11,4.322027337438918e-12,1.1970763301826159e-11,-0.46945524150749496,0.7347276207537474,0.26527237924625247,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,x_minus_q,20.0,B4_4_TOL_J1_YP2_X_MINUS_Q_X_T100FS;B4_4_TOL_J1_YP2_X_MINUS_Q_Y_T100FS,6.017367404806152e-11,1.7094947509721885e-11,4.3078726538339634e-11,-0.431813071740711,0.7159065358703555,0.2840934641296445,Incoherent x/y power sum; no field addition.
TOL_J1_YP2,x_minus_q,30.0,B4_4_TOL_J1_YP2_X_MINUS_Q_X_T100FS;B4_4_TOL_J1_YP2_X_MINUS_Q_Y_T100FS,1.104631839991844e-10,3.356941728352212e-11,7.689376671566229e-11,-0.3922062343636596,0.6961031171818298,0.30389688281817023,Incoherent x/y power sum; no field addition.
TOL_J1_ROT_M1,center,5.0,B4_4_TOL_J1_ROT_M1_CENTER_X_T100FS;B4_4_TOL_J1_ROT_M1_CENTER_Y_T100FS,6.993129899737181e-12,1.4758397002114312e-12,5.5172901995257496e-12,-0.5779172641232084,0.7889586320616042,0.21104136793839579,Incoherent x/y power sum; no field addition.
TOL_J1_ROT_M1,center,10.0,B4_4_TOL_J1_ROT_M1_CENTER_X_T100FS;B4_4_TOL_J1_ROT_M1_CENTER_Y_T100FS,2.8627915259173296e-11,6.044710722970186e-12,2.258320453620311e-11,-0.5777051407169254,0.7888525703584627,0.2111474296415373,Incoherent x/y power sum; no field addition.
TOL_J1_ROT_M1,center,20.0,B4_4_TOL_J1_ROT_M1_CENTER_X_T100FS;B4_4_TOL_J1_ROT_M1_CENTER_Y_T100FS,1.1136049181070687e-10,2.7572924608408727e-11,8.378756720229815e-11,-0.5047987996447103,0.7523993998223552,0.24760060017764488,Incoherent x/y power sum; no field addition.
