wavelength_nm,direct_offset_deg,direct_rms_deg,direct_max_deg,conjugate_offset_deg,conjugate_rms_deg,conjugate_max_deg
445,17.035762999487453,4.124693044320485,8.699594120969294,-116.06225725692293,95.13875974106993,127.43383841504289
446,16.712649392004845,3.734431822427611,7.822458566502718,-156.47540400617453,98.39554991138947,150.70853952105665
447,16.445946651796984,3.3673050559193984,6.978623336993252,-174.87364993345196,102.56159496581209,165.2136472476206
448,16.165893113912873,3.0300717009952036,6.188438454905793,174.10710230972873,104.7740414181882,172.16159169422986
449,15.950497574340114,2.7102309847924833,5.422209234276465,165.75282979910583,106.19376207407662,176.79483634876829
450,15.740424297780391,2.4163997483830273,4.702779160985784,159.05807677435524,106.9805270988971,179.7011835421029
451,15.5729313866411,2.1487029849964006,4.005247113278017,152.89096747288178,106.42286542633835,177.73115844046995
452,15.382622534683215,1.913987697435554,3.3942380267444037,147.32761108763924,105.7821601145461,175.71229459018699
453,15.26926408054956,1.6985616762526727,2.732261514706238,142.13152388932005,105.2353577621283,174.00957385097325
454,15.136590442501959,1.5277422880357223,2.1614191518090706,137.00566387313737,104.71093192548078,172.5776854232712
455,15.037036772076657,1.3833328104056803,2.15693452212318,132.09416025560367,104.24132586262891,173.10352564750428
