case,diameter_nm,wavelength_nm,T_total,R_total,residual
P1D2_CORRECTED_BLANK_X,,445.0,0.9767060535866547,0.020400730733392353,0.002893215679952904
P1D2_CORRECTED_BLANK_X,,445.99999999999994,0.9767124328726599,0.020410621206480656,0.0028769459208594916
P1D2_CORRECTED_BLANK_X,,446.99999999999994,0.9767204836752864,0.020419153105535888,0.0028603632191777015
P1D2_CORRECTED_BLANK_X,,448.00000000000006,0.9767204373597048,0.0204444926035884,0.002835070036706782
P1D2_CORRECTED_BLANK_X,,449.0,0.9767156580749412,0.020478587197171428,0.0028057547278873655
P1D2_CORRECTED_BLANK_X,,450.0,0.9767162724457071,0.020502334097923847,0.002781393456369019
P1D2_CORRECTED_BLANK_X,,450.9999999999999,0.9767230210002347,0.020516648042553116,0.002760330957212214
P1D2_CORRECTED_BLANK_X,,451.99999999999994,0.9767265792469281,0.020539382495993606,0.0027340382570783216
P1D2_CORRECTED_BLANK_X,,453.00000000000006,0.9767220775744465,0.020576254086956406,0.0027016683385970817
P1D2_CORRECTED_BLANK_X,,453.9999999999999,0.9767159111528272,0.020613060151058325,0.002671028696114488
P1D2_CORRECTED_BLANK_X,,455.00000000000006,0.9767153665294921,0.020639060707013546,0.0026455727634943638
