case,diameter_nm,wavelength_nm,T_total,R_total,residual
P1D2_CORRECTED_BLANK_X,,445.0,0.9767060535866547,0.020400730733392353,0.002893215679952904
P1D2_CORRECTED_BLANK_X,,445.99999999999994,0.9767124328726599,0.020410621206480656,0.0028769459208594916
P1D2_CORRECTED_BLANK_X,,446.99999999999994,0.9767204836752864,0.020419153105535888,0.0028603632191777015
P1D2_CORRECTED_BLANK_X,,448.00000000000006,0.9767204373597048,0.0204444926035884,0.002835070036706782
P1D2_CORRECTED_BLANK_X,,449.0,0.9767156580749412,0.020478587197171428,0.0028057547278873655
P1D2_CORRECTED_BLANK_X,,450.0,0.9767162724457071,0.020502334097923847,0.002781393456369019
P1D2_CORRECTED_BLANK_X,,450.9999999999999,0.9767230210002347,0.020516648042553116,0.002760330957212214
P1D2_CORRECTED_BLANK_X,,451.99999999999994,0.9767265792469281,0.020539382495993606,0.0027340382570783216
P1D2_CORRECTED_BLANK_X,,453.00000000000006,0.9767220775744465,0.020576254086956406,0.0027016683385970817
P1D2_CORRECTED_BLANK_X,,453.9999999999999,0.9767159111528272,0.020613060151058325,0.002671028696114488
P1D2_CORRECTED_BLANK_X,,455.00000000000006,0.9767153665294921,0.020639060707013546,0.0026455727634943638
D100,100,445.0,0.9917117270681908,0.007173543340163526,0.0011147295916457004
D100,100,445.99999999999994,0.9921270005689525,0.006842836777854222,0.0010301626531932454
D100,100,446.99999999999994,0.9925366239830493,0.006546966569589542,0.0009164094473611429
D100,100,448.00000000000006,0.9927947598798894,0.006256611057524156,0.0009486290625864337
D100,100,449.0,0.9930255478342448,0.005971533788837649,0.0010029183769175581
D100,100,450.0,0.9933613800265981,0.005718316642342531,0.0009203033310593405
D100,100,450.9999999999999,0.9936831989247754,0.005494805726624198,0.0008219953486003897
D100,100,451.99999999999994,0.9938662158614394,0.0052778369404232065,0.0008559471981373764
D100,100,453.00000000000006,0.9940206444265184,0.005071473945016787,0.0009078816284648281
D100,100,453.9999999999999,0.9942667533875055,0.004896403758483475,0.0008368428540110493
D100,100,455.00000000000006,0.9945050045057257,0.004747875693890294,0.0007471198003840525
D130,130,445.0,0.9562642153147083,0.04246202559282491,0.0012737590924668044
