diameter_nm,wavelength_nm,legacy_T,corrected_T,abs_delta_T,legacy_magnitude,corrected_magnitude,scaled_relative_residual
100,445,0.9880930533180492,0.9917117270681908,0.0036186737501415767,0.9859643534427598,1.0069293166658595,0.005283249854612005
130,445,0.9662857293866461,0.9562642153147083,0.010021514071937854,0.9750265010751382,0.9887687836024331,0.0017737146580858844
145,445,0.9923204509140618,0.9940490205894709,0.0017285696754090196,0.9880710934925969,1.0081157234523943,0.004321752312623853
155,445,0.9550254935175246,0.9499203597382859,0.005105133779238713,0.9693273127708049,0.9854820091191574,0.0007576642323077342
180,445,0.9950123965692519,0.9906507248546584,0.004361671714593451,0.9894129303292518,1.00639041146573,0.001243208361282941
230,445,0.8559038374273635,0.8307695015813638,0.025134335845999778,0.9176466868580974,0.9216082042974126,0.0113979517655141
100,446,0.9885528373476534,0.9921270005689525,0.0035741632212991092,0.9862873871591411,1.0071480531978512,0.0024765205916010614
130,446,0.9647657522628914,0.9603151818021003,0.0044505704607911145,0.9743483066483937,0.9908699247846833,0.0016408941786444863
145,446,0.9937845949444151,0.9950311813683708,0.0012465864239556979,0.9888936094425027,1.0086208988630803,0.0012966510211447199
155,446,0.9614039416212767,0.9636518537508025,0.0022479121295257976,0.9726507638457663,0.9925929467579012,0.0018405915159460948
180,446,0.9955119936089535,0.9916329770438431,0.0038790165651103603,0.9897519038661259,1.0068968613580427,0.0012816887507016363
230,446,0.857567401925862,0.8511437816908131,0.0064236202350489435,0.9186255373263804,0.9328491264268137,0.003086984478974821
100,447,0.9890171990631302,0.9925366239830493,0.0035194249199190786,0.9866215802472081,1.00736239124226,0.0014393953218453457
130,447,0.968440315865932,0.9603575096008897,0.00808280626504232,0.9763060741084497,0.9908984197424854,0.004519644825594736
145,447,0.9951632931339089,0.9961462264672777,0.0009829333333687407,0.989682638393418,1.0091920816544082,0.00015528035187592756
155,447,0.9660588093704953,0.9681337788044755,0.0020749694339802227,0.9751038447834471,0.9949021340197698,0.0007348938362996183
180,447,0.9961687686689753,0.9941054744512914,0.0020632942176839197,0.990180867037656,1.0081587366826203,0.0013715437132523342
