wavelength_nm,top_W,bottom_W,xminus_W,xplus_W,yminus_W,yplus_W,net_outward_W,sourcepower_W,net_over_sourcepower,max_T_times_sourcepower_vs_power_abs_error_W
400.00000000000006,2.2471632707386244e-17,-2.973971806308154e-16,-1.1313201065048036e-17,1.0922871242236165e-17,-1.5809160494411542e-17,1.677762835114978e-17,-2.743474098895028e-16,3.691946938625089e-15,-0.07430968387418699,1.5407439555097887e-33
401.0000000000001,2.4549970602251333e-17,-2.994611124603107e-16,-1.1819934635489397e-17,1.1537550529806385e-17,-1.620214553593727e-17,1.7153661853018837e-17,-2.742420096466608e-16,3.655257067216554e-15,-0.07502673672565899,3.0814879110195774e-33
402.0000000000001,2.57133694449664e-17,-3.0242330499227906e-16,-1.2179527284983085e-17,1.2098903398665836e-17,-1.6909714254003253e-17,1.7711385082106873e-17,-2.7598888860552627e-16,3.619021836839957e-15,-0.07626063092410437,4.930380657631324e-32
403.0000000000001,2.5050934796478804e-17,-3.0254668320295485e-16,-1.159209406256536e-17,1.1729685632991738e-17,-1.6835763026481194e-17,1.730925756353114e-17,-2.7688466229899974e-16,3.5832345038196555e-15,-0.0772722695106464,3.0814879110195774e-33
404.00000000000006,2.4594972425410127e-17,-3.0218319917201187e-16,-1.0825722219394847e-17,1.0951142664446655e-17,-1.6713905891464278e-17,1.7037461653163904e-17,-2.771392505398503e-16,3.5478884408922163e-15,-0.07811385706089334,3.0814879110195774e-33
405.00000000000017,2.3639266212042688e-17,-3.0170791371930666e-16,-1.009124853069051e-17,1.0232706828891009e-17,-1.6565797866888538e-17,1.6731733317012395e-17,-2.777612537589396e-16,3.5129771349154225e-15,-0.07906719659467037,0.0
406.00000000000006,2.3744504758282955e-17,-3.0230575521024608e-16,-9.670996562439692e-18,9.841087085574441e-18,-1.6462141862719047e-17,1.643856205147754e-17,-2.784147397400699e-16,3.4784941846279072e-15,-0.08003886882158229,1.5407439555097887e-33
407.0000000000001,2.39327796709854e-17,-3.034079477337298e-16,-1.0063549684107907e-17,1.0206528382994321e-17,-1.648726284008906e-17,1.655768003111178e-17,-2.7926177217283528e-16,3.4444332984580984e-15,-0.08107626072998624,3.0814879110195774e-33
408.00000000000006,2.4508334352930415e-17,-3.0463906970068e-16,-1.0153712112986268e-17,1.0215888985818124e-17,-1.6481807256405795e-17,1.682238375427281e-17,-2.7972798197705072e-16,3.4107882923813796e-15,-0.08201270732688816,3.0814879110195774e-33
409.0,2.4819123320932732e-17,-3.076873906959174e-16,-1.0366350814257008e-17,1.0419918969603482e-17,-1.697292923162367e-17,1.717712188010016e-17,-2.826105065711617e-16,3.3775530878241718e-15,-0.08367315012455366,4.930380657631324e-32
410.00000000000017,2.4929017538182683e-17,-3.1187629315116886e-16,-1.0964316113776807e-17,1.0971696475521511e-17,-1.7483180732541996e-17,1.744129294848164e-17,-2.8698178303530184e-16,3.3447217096138784e-15,-0.08580139334474904,1.5407439555097887e-33
411.0,2.48145021496663e-17,-3.155757446369026e-16,-1.1578939626158197e-17,1.1542380184947409e-17,-1.7389143352382356e-17,1.7366377562931096e-17,-2.908205677178983e-16,3.3122882839735953e-15,-0.08780050007272151,3.0814879110195774e-33
412.0000000000001,2.517563626256607e-17,-3.183804395963971e-16,-1.1984008915812985e-17,1.1916660074250706e-17,-1.768437440596098e-17,1.7670604537072094e-17,-2.9328592204428223e-16,3.280247036560372e-15,-0.08940970566406435,3.0814879110195774e-33
413.0000000000001,2.5364133090657078e-17,-3.191339609427114e-16,-1.240926044996076e-17,1.2327503087193324e-17,-1.8283544887795674e-17,1.8560424292267775e-17,-2.935747058103496e-16,3.248592290546181e-15,-0.0903698216192563,3.0814879110195774e-33
414.00000000000006,2.5172573680211673e-17,-3.187036890506648e-16,-1.2547138590277569e-17,1.2376300838375568e-17,-1.9049404322147326e-17,1.952989680731115e-17,-2.9322146063719125e-16,3.217318464740372e-15,-0.09113846324219985,3.0814879110195774e-33
