rank,candidate_id
1,LP_H500_D4_B120_A_CM-5
2,LP_H500_D4_B120_A_CM-4
3,LP_H500_D4_B120_A_CM-3
4,LP_H500_D4_B120_B_CM-3
5,LP_H500_D4_B120_A_CM-2
6,LP_H500_D4_B120_B_CM-2
7,LP_H500_D4_B120_A_CM-1
8,LP_H500_D4_B120_B_CM-1
